"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","14.97","0.008167","14.98","0.0003921","0.0002846","0"
"0.0125","12.71","0.008444","12.71","0.000574","0.0003487","0"
"0.015","11.1","0.008647","11.11","0.0007849","0.0004108","0"
"0.0175","9.907","0.008803","9.916","0.001024","0.0004712","0"
"0.02","8.974","0.008926","8.983","0.001289","0.0005299","0"
"0.025","7.61","0.009107","7.619","0.001896","0.000643","0"
"0.03","6.657","0.009237","6.666","0.002599","0.0007511","0"
"0.035","5.95","0.009334","5.959","0.003394","0.0008547","0"
"0.04","5.404","0.009415","5.414","0.004276","0.0009546","0"
"0.045","4.969","0.009482","4.978","0.00524","0.001051","0"
"0.05","4.613","0.00954","4.623","0.006283","0.001144","0"
"0.055","4.317","0.009593","4.327","0.007402","0.001235","0"
"0.06","4.067","0.009642","4.076","0.008594","0.001323","0"
"0.07","3.666","0.009733","3.675","0.01118","0.001492","0"
"0.08","3.358","0.009821","3.368","0.01403","0.001654","0"
"0.09","3.115","0.009909","3.125","0.01712","0.001808","0"
"0.1","2.917","0.01","2.927","0.02042","0.001957","0"
"0.125","2.557","0.01025","2.567","0.02958","0.002307","0"
"0.15","2.312","0.01052","2.323","0.03985","0.002633","0"
"0.175","2.136","0.01081","2.147","0.05106","0.00294","0"
"0.2","2.004","0.01113","2.015","0.06309","0.003233","0"
"0.25","1.821","0.01182","1.832","0.0892","0.003784","0"
"0.3","1.701","0.01258","1.713","0.1175","0.004303","0"
"0.35","1.618","0.0134","1.631","0.1474","0.004799","0"
"0.4","1.558","0.01427","1.572","0.1787","0.00528","0"
"0.45","1.514","0.01519","1.529","0.2109","0.005749","0"
"0.5","1.48","0.01616","1.497","0.244","0.006211","0"
"0.55","1.455","0.01716","1.472","0.2777","0.006667","0"
"0.6","1.435","0.0182","1.453","0.3119","0.007119","0"
"0.7","1.408","0.02036","1.428","0.3814","0.008015","0"
"0.8","1.391","0.02264","1.414","0.4518","0.008905","0"
"0.9","1.381","0.02502","1.406","0.5227","0.009794","0"
"1","1.376","0.02748","1.404","0.5939","0.01068","0"
"1.25","1.375","0.03399","1.409","0.7718","0.01291","0"
"1.5","1.383","0.04094","1.424","0.9483","0.01517","0"
"1.75","1.394","0.04822","1.442","1.123","0.01744","0"
"2","1.407","0.05581","1.463","1.295","0.01973","0"
"2.5","1.434","0.07168","1.505","1.632","0.02436","0"
"3","1.46","0.08831","1.548","1.959","0.02903","0"
"3.5","1.484","0.1056","1.589","2.278","0.0337","0"
"4","1.506","0.1233","1.629","2.589","0.03837","0"
"4.5","1.526","0.1415","1.668","2.892","0.04303","0"
"5","1.545","0.16","1.705","3.189","0.04766","0"
"5.5","1.562","0.1789","1.741","3.479","0.05227","0"
"6","1.579","0.1981","1.777","3.763","0.05684","0"
"7","1.608","0.2373","1.845","4.315","0.06588","0"
"8","1.634","0.2773","1.911","4.848","0.07476","0"
"9","1.657","0.3181","1.975","5.363","0.08347","0"
"10","1.678","0.3595","2.037","5.861","0.092","0"
"12.5","1.722","0.4651","2.187","7.045","0.1126","0"
"15","1.759","0.5733","2.332","8.151","0.132","0"
"17.5","1.79","0.6833","2.474","9.192","0.1505","0"
"20","1.818","0.7949","2.613","10.18","0.168","0"
"25","1.864","1.021","2.885","12","0.2004","0"
"30","1.901","1.251","3.152","13.65","0.2296","0.000638"
"35","1.931","1.484","3.415","15.18","0.2563","0.02311"
"40","1.956","1.718","3.674","16.59","0.2807","0.06443"
"45","1.977","1.954","3.931","17.9","0.3031","0.1144"
"50","1.995","2.192","4.187","19.13","0.3238","0.168"
"55","2.011","2.43","4.441","20.29","0.3431","0.2226"
"60","2.025","2.67","4.695","21.39","0.361","0.2769"
"70","2.05","3.152","5.202","23.41","0.3934","0.382"
"80","2.071","3.637","5.708","25.25","0.422","0.4807"
"90","2.089","4.125","6.214","26.92","0.4474","0.5729"
"100","2.105","4.614","6.719","28.47","0.4702","0.6589"
"125","2.138","5.845","7.982","31.88","0.5183","0.851"
"150","2.164","7.083","9.247","34.79","0.5569","1.018"
"175","2.185","8.326","10.51","37.32","0.5887","1.166"
"200","2.204","9.573","11.78","39.57","0.6155","1.301"
"250","2.234","12.08","14.31","43.41","0.6583","1.541"
"300","2.257","14.59","16.85","46.63","0.6911","1.754"
"350","2.275","17.11","19.38","49.4","0.7174","1.947"
"400","2.291","19.63","21.92","51.82","0.7389","2.125"
"450","2.304","22.16","24.46","53.98","0.7569","2.29"
"500","2.315","24.69","27","55.92","0.7722","2.444"
"550","2.325","27.22","29.54","57.69","0.7854","2.587"
"600","2.334","29.75","32.09","59.32","0.797","2.721"
"700","2.349","34.83","37.18","62.21","0.8163","2.966"
"800","2.361","39.9","42.27","64.73","0.8319","3.184"
"900","2.372","44.99","47.36","66.96","0.8447","3.38"
"1000","2.382","50.07","52.45","68.97","0.8554","3.558"
