"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.613","0.02126","8.634","0.0008084","0.001207","0"
"0.0125","7.519","0.02345","7.542","0.001119","0.001523","0"
"0.015","6.706","0.02526","6.732","0.001471","0.001841","0"
"0.0175","6.077","0.02682","6.104","0.001861","0.00216","0"
"0.02","5.575","0.02817","5.603","0.002289","0.002479","0"
"0.025","4.819","0.03048","4.849","0.003252","0.003114","0"
"0.03","4.275","0.0324","4.308","0.004348","0.003746","0"
"0.035","3.864","0.03406","3.898","0.005571","0.004373","0"
"0.04","3.541","0.03554","3.577","0.006912","0.004993","0"
"0.045","3.28","0.03687","3.317","0.008365","0.005608","0"
"0.05","3.065","0.0381","3.103","0.009924","0.006217","0"
"0.055","2.884","0.03924","2.924","0.01159","0.00682","0"
"0.06","2.73","0.04031","2.771","0.01334","0.007417","0"
"0.07","2.481","0.04227","2.523","0.01713","0.008594","0"
"0.08","2.288","0.04405","2.332","0.02126","0.009748","0"
"0.09","2.135","0.04569","2.18","0.0257","0.01088","0"
"0.1","2.009","0.04721","2.057","0.03042","0.01199","0"
"0.125","1.778","0.05067","1.829","0.04336","0.01466","0"
"0.15","1.62","0.05374","1.674","0.05768","0.01721","0"
"0.175","1.506","0.05655","1.563","0.07316","0.01963","0"
"0.2","1.42","0.0592","1.479","0.08962","0.02194","0"
"0.25","1.3","0.0642","1.365","0.1249","0.02627","0.004003"
"0.3","1.222","0.06904","1.291","0.1627","0.03028","0.01111"
"0.35","1.168","0.07379","1.242","0.2022","0.03402","0.01859"
"0.4","1.129","0.07853","1.208","0.2431","0.03755","0.02638"
"0.45","1.101","0.0833","1.184","0.2849","0.0409","0.0344"
"0.5","1.079","0.08809","1.168","0.3275","0.04411","0.04263"
"0.55","1.064","0.09291","1.156","0.3705","0.04718","0.05102"
"0.6","1.051","0.09777","1.149","0.4139","0.05014","0.05955"
"0.7","1.035","0.1076","1.143","0.5012","0.05579","0.07695"
"0.8","1.026","0.1175","1.144","0.5887","0.06112","0.09469"
"0.9","1.021","0.1276","1.149","0.676","0.06621","0.1127"
"1","1.02","0.1378","1.158","0.7627","0.0711","0.1308"
"1.25","1.023","0.164","1.187","0.9761","0.08262","0.1764"
"1.5","1.031","0.1908","1.222","1.184","0.0934","0.2218"
"1.75","1.041","0.2183","1.26","1.385","0.1036","0.2667"
"2","1.052","0.2464","1.298","1.581","0.1134","0.3108"
"2.5","1.073","0.3038","1.377","1.955","0.1318","0.3965"
"3","1.093","0.3626","1.456","2.308","0.149","0.479"
"3.5","1.111","0.4227","1.533","2.642","0.1652","0.5585"
"4","1.126","0.4838","1.61","2.961","0.1806","0.6352"
"4.5","1.141","0.5458","1.687","3.264","0.1952","0.7092"
"5","1.154","0.6086","1.762","3.554","0.2091","0.7805"
"5.5","1.165","0.6722","1.837","3.832","0.2225","0.8491"
"6","1.176","0.7363","1.912","4.098","0.2352","0.9153"
"7","1.195","0.8665","2.061","4.602","0.2592","1.041"
"8","1.211","0.9987","2.21","5.071","0.2814","1.157"
"9","1.225","1.133","2.358","5.509","0.3019","1.267"
"10","1.237","1.268","2.506","5.92","0.3211","1.369"
"12.5","1.263","1.612","2.876","6.851","0.3637","1.6"
"15","1.284","1.964","3.248","7.668","0.4004","1.803"
"17.5","1.301","2.32","3.621","8.397","0.4322","1.983"
"20","1.316","2.681","3.996","9.054","0.4602","2.146"
"25","1.339","3.413","4.753","10.2","0.5073","2.43"
"30","1.358","4.157","5.515","11.18","0.5455","2.673"
"35","1.373","4.91","6.283","12.02","0.5774","2.887"
"40","1.386","5.67","7.056","12.78","0.6043","3.078"
"45","1.397","6.435","7.832","13.45","0.6275","3.251"
"50","1.407","7.206","8.613","14.06","0.6477","3.409"
"55","1.416","7.981","9.396","14.61","0.6654","3.555"
"60","1.423","8.759","10.18","15.12","0.6812","3.69"
"70","1.437","10.32","11.76","16.04","0.7081","3.935"
"80","1.448","11.9","13.35","16.83","0.7302","4.153"
"90","1.458","13.48","14.94","17.54","0.7488","4.348"
"100","1.466","15.07","16.54","18.18","0.7646","4.525"
"125","1.484","19.07","20.55","19.53","0.7957","4.909"
"150","1.498","23.08","24.58","20.64","0.8187","5.229"
"175","1.51","27.11","28.62","21.58","0.8365","5.504"
"200","1.52","31.14","32.66","22.4","0.8508","5.745"
"250","1.536","39.24","40.77","23.77","0.8722","6.154"
"300","1.549","47.35","48.89","24.89","0.8878","6.493"
"350","1.56","55.47","57.03","25.83","0.8996","6.783"
"400","1.569","63.6","65.17","26.65","0.909","7.036"
"450","1.577","71.74","73.32","27.37","0.9165","7.261"
"500","1.584","79.89","81.47","28.02","0.9228","7.462"
"550","1.59","88.04","89.63","28.61","0.9282","7.646"
"600","1.596","96.2","97.8","29.14","0.9327","7.814"
"700","1.606","112.5","114.1","30.09","0.9402","8.112"
"800","1.615","128.9","130.5","30.9","0.946","8.372"
"900","1.623","145.2","146.8","31.63","0.9507","8.602"
"1000","1.629","161.6","163.2","32.27","0.9546","8.808"
