"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","18.62","0.001815","18.63","0.0003033","5.437E-05","0.00051"
"0.0125","15.64","0.001819","15.64","0.0004504","6.488E-05","0.0007492"
"0.015","13.56","0.001823","13.56","0.0006226","7.496E-05","0.001031"
"0.0175","12.02","0.001827","12.02","0.0008187","8.472E-05","0.001354"
"0.02","10.83","0.001831","10.84","0.001038","9.419E-05","0.001718"
"0.025","9.113","0.00184","9.115","0.001544","0.0001125","0.002564"
"0.03","7.923","0.001849","7.925","0.002134","0.00013","0.00356"
"0.035","7.047","0.001859","7.049","0.002804","0.0001469","0.004701"
"0.04","6.375","0.00187","6.376","0.003551","0.0001634","0.005978"
"0.045","5.841","0.00188","5.843","0.004371","0.0001794","0.007387"
"0.05","5.407","0.001891","5.409","0.005262","0.0001951","0.00892"
"0.055","5.047","0.001902","5.049","0.006219","0.0002104","0.01057"
"0.06","4.743","0.001914","4.744","0.007242","0.0002253","0.01234"
"0.07","4.257","0.001937","4.259","0.009471","0.0002545","0.01619"
"0.08","3.887","0.001962","3.889","0.01193","0.0002826","0.02043"
"0.09","3.594","0.001987","3.596","0.01461","0.00031","0.02504"
"0.1","3.358","0.002014","3.36","0.01749","0.0003366","0.02997"
"0.125","2.926","0.002085","2.928","0.02549","0.0004005","0.04354"
"0.15","2.634","0.00216","2.636","0.03451","0.0004614","0.05858"
"0.175","2.424","0.002241","2.426","0.04442","0.00052","0.07478"
"0.2","2.266","0.002326","2.269","0.05509","0.0005769","0.09188"
"0.25","2.046","0.002507","2.049","0.07836","0.0006865","0.128"
"0.3","1.901","0.002704","1.904","0.1037","0.0007924","0.1658"
"0.35","1.8","0.002914","1.803","0.1308","0.0008961","0.2043"
"0.4","1.726","0.003137","1.729","0.1591","0.0009985","0.2432"
"0.45","1.67","0.003372","1.673","0.1885","0.0011","0.2819"
"0.5","1.627","0.003618","1.631","0.2188","0.001202","0.3204"
"0.55","1.593","0.003875","1.597","0.2498","0.001304","0.3583"
"0.6","1.566","0.004139","1.571","0.2814","0.001406","0.3956"
"0.7","1.527","0.004693","1.532","0.3459","0.001612","0.4682"
"0.8","1.501","0.005277","1.506","0.4118","0.001821","0.5379"
"0.9","1.483","0.005886","1.489","0.4786","0.002033","0.6047"
"1","1.471","0.00652","1.477","0.546","0.002248","0.6687"
"1.25","1.455","0.008201","1.463","0.7162","0.002799","0.8178"
"1.5","1.45","0.01","1.46","0.8873","0.00337","0.9534"
"1.75","1.451","0.0119","1.463","1.058","0.003958","1.078"
"2","1.455","0.01388","1.469","1.229","0.004562","1.194"
"2.5","1.466","0.01806","1.484","1.568","0.00581","1.405"
"3","1.477","0.02247","1.5","1.903","0.007104","1.596"
"3.5","1.489","0.02707","1.516","2.234","0.008434","1.772"
"4","1.499","0.03182","1.531","2.563","0.009795","1.936"
"4.5","1.508","0.03672","1.545","2.888","0.01118","2.09"
"5","1.517","0.04174","1.559","3.21","0.01259","2.235"
"5.5","1.525","0.04687","1.572","3.529","0.01402","2.372"
"6","1.532","0.05211","1.584","3.846","0.01546","2.502"
"7","1.544","0.06283","1.607","4.473","0.0184","2.743"
"8","1.555","0.07386","1.628","5.091","0.02138","2.962"
"9","1.564","0.08514","1.649","5.701","0.02439","3.161"
"10","1.572","0.09664","1.669","6.304","0.02743","3.344"
"12.5","1.589","0.1262","1.715","7.782","0.03509","3.743"
"15","1.602","0.1566","1.759","9.221","0.0428","4.079"
"17.5","1.613","0.1878","1.801","10.63","0.0505","4.368"
"20","1.623","0.2194","1.842","12","0.05815","4.622"
"25","1.639","0.284","1.923","14.65","0.07323","5.051"
"30","1.652","0.3499","2.002","17.2","0.08792","5.404"
"35","1.663","0.4166","2.079","19.65","0.1022","5.705"
"40","1.672","0.4841","2.156","22.01","0.116","5.967"
"45","1.68","0.5523","2.232","24.29","0.1293","6.198"
"50","1.687","0.6209","2.308","26.5","0.1422","6.406"
"55","1.694","0.69","2.384","28.63","0.1547","6.594"
"60","1.7","0.7595","2.46","30.69","0.1667","6.766"
"70","1.711","0.8995","2.61","34.64","0.1896","7.071"
"80","1.72","1.041","2.761","38.36","0.211","7.336"
"90","1.728","1.183","2.911","41.89","0.2311","7.57"
"100","1.735","1.325","3.061","45.24","0.25","7.78"
"125","1.751","1.685","3.436","52.95","0.2926","8.223"
"150","1.763","2.048","3.811","59.85","0.3296","8.587"
"175","1.774","2.412","4.186","66.11","0.3621","8.894"
"200","1.783","2.779","4.561","71.83","0.391","9.16"
"250","1.798","3.516","5.314","81.97","0.4401","9.605"
"300","1.811","4.256","6.067","90.77","0.4805","9.969"
"350","1.821","5","6.821","98.54","0.5144","10.28"
"400","1.83","5.746","7.576","105.5","0.5434","10.54"
"450","1.838","6.494","8.332","111.8","0.5685","10.78"
"500","1.845","7.242","9.088","117.5","0.5905","10.99"
"550","1.852","7.993","9.845","122.8","0.6099","11.18"
"600","1.858","8.744","10.6","127.7","0.6273","11.35"
"700","1.868","10.25","12.12","136.5","0.6571","11.66"
"800","1.878","11.76","13.64","144.3","0.6818","11.93"
"900","1.886","13.27","15.15","151.3","0.7026","12.16"
"1000","1.893","14.78","16.67","157.5","0.7204","12.37"
