"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.458","0.02064","8.478","0.0008225","0.001196","0.0004684"
"0.0125","7.383","0.02273","7.406","0.001139","0.001507","0.0005963"
"0.015","6.585","0.02446","6.609","0.001497","0.00182","0.0007283"
"0.0175","5.967","0.02594","5.993","0.001895","0.002134","0.0008645"
"0.02","5.473","0.02724","5.5","0.002331","0.002447","0.001005"
"0.025","4.73","0.02942","4.76","0.003311","0.003071","0.001297"
"0.03","4.197","0.03125","4.228","0.004429","0.003691","0.001605"
"0.035","3.793","0.03282","3.825","0.005674","0.004304","0.001927"
"0.04","3.476","0.03421","3.51","0.007041","0.004912","0.002265"
"0.045","3.219","0.03548","3.255","0.008521","0.005514","0.002616"
"0.05","3.008","0.03663","3.045","0.01011","0.006109","0.002981"
"0.055","2.831","0.03771","2.868","0.0118","0.006698","0.003359"
"0.06","2.679","0.03872","2.718","0.0136","0.007282","0.00375"
"0.07","2.434","0.04057","2.475","0.01746","0.008431","0.004569"
"0.08","2.245","0.04226","2.287","0.02167","0.009557","0.005436"
"0.09","2.094","0.0438","2.138","0.02619","0.01066","0.006348"
"0.1","1.971","0.04524","2.016","0.03101","0.01174","0.007302"
"0.125","1.744","0.0485","1.792","0.04421","0.01435","0.009859"
"0.15","1.589","0.05139","1.64","0.05883","0.01683","0.01264"
"0.175","1.476","0.05404","1.53","0.07463","0.01919","0.01562"
"0.2","1.392","0.05652","1.448","0.09144","0.02144","0.01877"
"0.25","1.274","0.06124","1.335","0.1275","0.02565","0.02553"
"0.3","1.197","0.06579","1.263","0.1661","0.02955","0.03279"
"0.35","1.144","0.0703","1.214","0.2065","0.03319","0.04046"
"0.4","1.106","0.07479","1.181","0.2483","0.03662","0.04846"
"0.45","1.078","0.07931","1.158","0.2911","0.03987","0.05674"
"0.5","1.058","0.08386","1.142","0.3346","0.04299","0.06525"
"0.55","1.042","0.08843","1.13","0.3786","0.04597","0.07397"
"0.6","1.03","0.09306","1.123","0.423","0.04886","0.08285"
"0.7","1.014","0.1024","1.117","0.5123","0.05435","0.101"
"0.8","1.005","0.1119","1.117","0.6019","0.05955","0.1196"
"0.9","1.001","0.1216","1.122","0.6912","0.06452","0.1384"
"1","0.9991","0.1313","1.13","0.78","0.0693","0.1573"
"1.25","1.002","0.1564","1.158","0.9986","0.08058","0.2047"
"1.5","1.01","0.1823","1.192","1.211","0.09116","0.2518"
"1.75","1.02","0.2087","1.229","1.418","0.1012","0.2981"
"2","1.031","0.2357","1.266","1.618","0.1108","0.3435"
"2.5","1.051","0.2911","1.342","2.002","0.129","0.432"
"3","1.07","0.3478","1.418","2.364","0.146","0.5174"
"3.5","1.087","0.4058","1.493","2.708","0.1621","0.5998"
"4","1.103","0.4648","1.568","3.034","0.1774","0.6792"
"4.5","1.117","0.5246","1.641","3.346","0.1919","0.7556"
"5","1.129","0.5853","1.714","3.644","0.2058","0.8289"
"5.5","1.14","0.6466","1.787","3.93","0.2191","0.8992"
"6","1.151","0.7086","1.859","4.204","0.2318","0.9667"
"7","1.169","0.8342","2.003","4.722","0.2557","1.094"
"8","1.185","0.9618","2.147","5.204","0.2778","1.212"
"9","1.199","1.091","2.29","5.655","0.2983","1.322"
"10","1.211","1.222","2.433","6.079","0.3174","1.425"
"12.5","1.237","1.554","2.791","7.037","0.3601","1.656"
"15","1.257","1.893","3.15","7.88","0.3967","1.858"
"17.5","1.274","2.237","3.511","8.631","0.4285","2.038"
"20","1.288","2.586","3.873","9.309","0.4566","2.199"
"25","1.311","3.292","4.603","10.49","0.5038","2.482"
"30","1.329","4.01","5.339","11.5","0.5421","2.724"
"35","1.345","4.736","6.08","12.38","0.574","2.936"
"40","1.357","5.469","6.826","13.15","0.6011","3.125"
"45","1.368","6.207","7.575","13.85","0.6244","3.297"
"50","1.378","6.951","8.329","14.48","0.6446","3.454"
"55","1.386","7.698","9.084","15.05","0.6625","3.599"
"60","1.394","8.448","9.842","15.58","0.6784","3.734"
"70","1.407","9.958","11.37","16.52","0.7054","3.978"
"80","1.419","11.48","12.9","17.35","0.7277","4.195"
"90","1.428","13","14.43","18.08","0.7463","4.389"
"100","1.437","14.54","15.97","18.74","0.7623","4.566"
"125","1.454","18.39","19.84","20.14","0.7936","4.948"
"150","1.468","22.26","23.72","21.29","0.8168","5.267"
"175","1.48","26.14","27.62","22.27","0.8347","5.541"
"200","1.489","30.03","31.52","23.12","0.8491","5.781"
"250","1.505","37.84","39.34","24.53","0.8708","6.189"
"300","1.518","45.66","47.17","25.69","0.8865","6.528"
"350","1.528","53.49","55.02","26.67","0.8984","6.817"
"400","1.538","61.33","62.87","27.52","0.9079","7.07"
"450","1.545","69.18","70.73","28.27","0.9156","7.294"
"500","1.552","77.04","78.59","28.94","0.9219","7.496"
"550","1.559","84.9","86.46","29.55","0.9273","7.679"
"600","1.564","92.77","94.33","30.1","0.9319","7.846"
"700","1.574","108.5","110.1","31.08","0.9395","8.145"
"800","1.583","124.3","125.9","31.93","0.9453","8.404"
"900","1.59","140","141.6","32.68","0.9501","8.634"
"1000","1.597","155.8","157.4","33.35","0.954","8.84"
