"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","19.99","0.00315","19.99","0.0002845","8.74E-05","0.002143"
"0.0125","16.82","0.003161","16.82","0.0004214","0.0001045","0.002761"
"0.015","14.6","0.003168","14.61","0.0005813","0.0001208","0.00341"
"0.0175","12.96","0.003172","12.96","0.0007634","0.0001365","0.00409"
"0.02","11.69","0.003176","11.69","0.0009667","0.0001518","0.0048"
"0.025","9.849","0.003184","9.852","0.001435","0.0001809","0.006307"
"0.03","8.572","0.003194","8.575","0.00198","0.0002088","0.007927"
"0.035","7.631","0.003204","7.635","0.0026","0.0002356","0.009655"
"0.04","6.908","0.003215","6.911","0.003289","0.0002614","0.01149"
"0.045","6.334","0.003228","6.337","0.004045","0.0002865","0.01342"
"0.05","5.866","0.003241","5.869","0.004866","0.000311","0.01544"
"0.055","5.478","0.003255","5.481","0.005748","0.0003348","0.01756"
"0.06","5.15","0.00327","5.153","0.00669","0.0003581","0.01976"
"0.07","4.626","0.003303","4.629","0.008742","0.0004033","0.02442"
"0.08","4.226","0.003337","4.229","0.01101","0.0004468","0.02939"
"0.09","3.91","0.003375","3.913","0.01347","0.0004889","0.03464"
"0.1","3.654","0.003414","3.657","0.01611","0.0005299","0.04015"
"0.125","3.187","0.003523","3.19","0.02346","0.0006278","0.05495"
"0.15","2.871","0.00364","2.874","0.03174","0.0007208","0.071"
"0.175","2.643","0.003764","2.647","0.04082","0.0008099","0.08807"
"0.2","2.472","0.003896","2.476","0.05059","0.0008959","0.106"
"0.25","2.234","0.004179","2.238","0.07191","0.001061","0.1437"
"0.3","2.076","0.004489","2.081","0.09513","0.00122","0.1832"
"0.35","1.966","0.00482","1.971","0.1198","0.001374","0.2238"
"0.4","1.886","0.005173","1.891","0.1458","0.001526","0.265"
"0.45","1.826","0.005545","1.831","0.1727","0.001677","0.3065"
"0.5","1.779","0.005935","1.785","0.2003","0.001827","0.3479"
"0.55","1.742","0.00634","1.749","0.2286","0.001976","0.3892"
"0.6","1.713","0.006759","1.72","0.2575","0.002127","0.4301"
"0.7","1.67","0.007637","1.678","0.3164","0.002428","0.5104"
"0.8","1.641","0.008559","1.65","0.3765","0.002733","0.5884"
"0.9","1.622","0.009523","1.631","0.4375","0.003042","0.6637"
"1","1.608","0.01053","1.619","0.4991","0.003355","0.7364"
"1.25","1.59","0.01318","1.603","0.6544","0.004155","0.9063"
"1.5","1.584","0.01602","1.6","0.8106","0.004981","1.061"
"1.75","1.585","0.01901","1.604","0.9667","0.005831","1.202"
"2","1.588","0.02213","1.61","1.122","0.006702","1.331"
"2.5","1.599","0.0287","1.628","1.431","0.008497","1.561"
"3","1.612","0.03561","1.648","1.736","0.01035","1.76"
"3.5","1.625","0.04281","1.668","2.038","0.01225","1.936"
"4","1.637","0.05026","1.688","2.336","0.01418","2.094"
"4.5","1.649","0.05792","1.707","2.631","0.01615","2.237"
"5","1.66","0.06576","1.726","2.922","0.01813","2.368"
"5.5","1.67","0.07378","1.744","3.21","0.02014","2.489"
"6","1.679","0.08193","1.761","3.495","0.02216","2.602"
"7","1.696","0.09865","1.795","4.058","0.02625","2.807"
"8","1.71","0.1158","1.826","4.61","0.03036","2.991"
"9","1.723","0.1334","1.857","5.153","0.0345","3.158"
"10","1.735","0.1513","1.886","5.688","0.03866","3.312"
"12.5","1.758","0.1971","1.955","6.989","0.04904","3.652"
"15","1.777","0.2444","2.021","8.247","0.05935","3.945"
"17.5","1.792","0.2927","2.084","9.465","0.06955","4.203"
"20","1.804","0.3417","2.146","10.65","0.07959","4.433"
"25","1.824","0.4417","2.266","12.91","0.09913","4.832"
"30","1.84","0.5435","2.384","15.06","0.1179","5.167"
"35","1.853","0.6466","2.5","17.11","0.1358","5.457"
"40","1.865","0.7508","2.615","19.07","0.153","5.711"
"45","1.874","0.8559","2.73","20.94","0.1694","5.937"
"50","1.883","0.9617","2.844","22.73","0.185","6.141"
"55","1.89","1.068","2.959","24.46","0.2","6.326"
"60","1.897","1.175","3.073","26.11","0.2143","6.495"
"70","1.91","1.391","3.3","29.25","0.2412","6.797"
"80","1.92","1.608","3.528","32.18","0.2659","7.06"
"90","1.929","1.826","3.756","34.93","0.2887","7.292"
"100","1.938","2.046","3.984","37.51","0.3099","7.501"
"125","1.955","2.598","4.553","43.38","0.3566","7.943"
"150","1.969","3.155","5.124","48.55","0.3961","8.305"
"175","1.981","3.714","5.695","53.18","0.4302","8.612"
"200","1.991","4.276","6.268","57.36","0.4599","8.878"
"250","2.009","5.405","7.414","64.69","0.5093","9.323"
"300","2.023","6.54","8.563","70.96","0.549","9.686"
"350","2.034","7.678","9.713","76.44","0.5816","9.994"
"400","2.045","8.82","10.86","81.3","0.6091","10.26"
"450","2.054","9.964","12.02","85.68","0.6326","10.5"
"500","2.062","11.11","13.17","89.65","0.653","10.71"
"550","2.069","12.26","14.33","93.29","0.6709","10.9"
"600","2.076","13.4","15.48","96.64","0.6867","11.07"
"700","2.088","15.7","17.79","102.7","0.7136","11.38"
"800","2.098","18.01","20.11","107.9","0.7356","11.65"
"900","2.107","20.31","22.42","112.7","0.7539","11.88"
"1000","2.115","22.62","24.74","116.9","0.7696","12.09"
