"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","13.52","0.01153","13.54","0.0004456","0.0004365","0.002526"
"0.0125","11.55","0.01211","11.56","0.0006462","0.0005391","0.003228"
"0.015","10.14","0.01255","10.15","0.0008775","0.0006396","0.00396"
"0.0175","9.08","0.0129","9.093","0.001138","0.0007379","0.004723"
"0.02","8.249","0.01319","8.262","0.001427","0.0008342","0.005516"
"0.025","7.026","0.01363","7.04","0.002085","0.001021","0.007197"
"0.03","6.166","0.01397","6.18","0.002845","0.001201","0.009008"
"0.035","5.525","0.01423","5.539","0.003702","0.001374","0.01095"
"0.04","5.028","0.01444","5.043","0.004649","0.001542","0.01303"
"0.045","4.631","0.01463","4.646","0.005683","0.001705","0.01524"
"0.05","4.306","0.01479","4.321","0.0068","0.001863","0.0176"
"0.055","4.034","0.01493","4.049","0.007997","0.002017","0.02008"
"0.06","3.804","0.01506","3.819","0.009269","0.002167","0.02271"
"0.07","3.434","0.01529","3.449","0.01203","0.002456","0.02835"
"0.08","3.15","0.01549","3.165","0.01506","0.002732","0.03447"
"0.09","2.924","0.01569","2.94","0.01834","0.002997","0.04101"
"0.1","2.741","0.01588","2.757","0.02186","0.003252","0.04789"
"0.125","2.405","0.01635","2.421","0.03157","0.003854","0.06609"
"0.15","2.176","0.01683","2.193","0.04245","0.004415","0.08493"
"0.175","2.011","0.01732","2.029","0.05432","0.004943","0.1038"
"0.2","1.887","0.01783","1.905","0.06705","0.005444","0.1224"
"0.25","1.714","0.01892","1.733","0.09467","0.006385","0.1586"
"0.3","1.6","0.0201","1.62","0.1246","0.007265","0.1934"
"0.35","1.521","0.02135","1.542","0.1562","0.008103","0.2271"
"0.4","1.464","0.02268","1.486","0.1893","0.00891","0.2599"
"0.45","1.421","0.02409","1.445","0.2234","0.009694","0.2918"
"0.5","1.388","0.02555","1.414","0.2584","0.01046","0.3228"
"0.55","1.363","0.02707","1.39","0.2941","0.01122","0.3532"
"0.6","1.343","0.02864","1.372","0.3303","0.01196","0.3828"
"0.7","1.315","0.03191","1.347","0.4039","0.01344","0.4402"
"0.8","1.298","0.03534","1.333","0.4786","0.01489","0.4952"
"0.9","1.286","0.03891","1.325","0.5539","0.01634","0.5481"
"1","1.279","0.04261","1.322","0.6294","0.01779","0.5992"
"1.25","1.273","0.05238","1.325","0.8185","0.0214","0.7194"
"1.5","1.275","0.06278","1.338","1.006","0.02504","0.8309"
"1.75","1.28","0.07368","1.354","1.192","0.0287","0.9351"
"2","1.288","0.085","1.373","1.375","0.03238","1.033"
"2.5","1.304","0.1086","1.412","1.735","0.03979","1.212"
"3","1.32","0.1333","1.453","2.084","0.04722","1.373"
"3.5","1.334","0.1589","1.493","2.423","0.05463","1.519"
"4","1.348","0.1851","1.533","2.753","0.062","1.652"
"4.5","1.361","0.2119","1.573","3.075","0.06931","1.774"
"5","1.372","0.2393","1.611","3.39","0.07654","1.887"
"5.5","1.383","0.267","1.65","3.696","0.08369","1.992"
"6","1.392","0.2952","1.688","3.996","0.09076","2.09"
"7","1.41","0.3527","1.763","4.576","0.1046","2.268"
"8","1.425","0.4113","1.836","5.131","0.118","2.427"
"9","1.439","0.4709","1.909","5.665","0.1311","2.572"
"10","1.451","0.5313","1.982","6.179","0.1437","2.704"
"12.5","1.476","0.6854","2.161","7.387","0.1736","2.994"
"15","1.496","0.8428","2.339","8.499","0.2012","3.243"
"17.5","1.512","1.003","2.515","9.529","0.2267","3.462"
"20","1.526","1.165","2.691","10.49","0.2504","3.659"
"25","1.549","1.493","3.042","12.24","0.2929","4.002"
"30","1.566","1.826","3.393","13.79","0.33","4.295"
"35","1.581","2.163","3.743","15.19","0.3626","4.55"
"40","1.593","2.502","4.095","16.47","0.3916","4.777"
"45","1.603","2.844","4.447","17.64","0.4176","4.981"
"50","1.613","3.187","4.8","18.72","0.4411","5.165"
"55","1.621","3.533","5.153","19.73","0.4623","5.334"
"60","1.628","3.879","5.508","20.67","0.4817","5.489"
"70","1.641","4.577","6.218","22.38","0.5159","5.767"
"80","1.652","5.279","6.931","23.9","0.5451","6.01"
"90","1.662","5.984","7.646","25.27","0.5703","6.226"
"100","1.67","6.692","8.362","26.52","0.5925","6.421"
"125","1.688","8.471","10.16","29.23","0.6376","6.838"
"150","1.702","10.26","11.96","31.5","0.6724","7.181"
"175","1.714","12.06","13.77","33.44","0.7002","7.475"
"200","1.724","13.86","15.58","35.15","0.723","7.731"
"250","1.741","17.47","19.22","38.03","0.7584","8.162"
"300","1.754","21.1","22.86","40.41","0.7848","8.517"
"350","1.766","24.73","26.5","42.44","0.8053","8.819"
"400","1.775","28.38","30.15","44.21","0.8218","9.082"
"450","1.784","32.02","33.8","45.78","0.8355","9.315"
"500","1.791","35.67","37.46","47.18","0.8469","9.523"
"550","1.798","39.32","41.12","48.46","0.8566","9.712"
"600","1.804","42.97","44.78","49.62","0.8651","9.885"
"700","1.815","50.29","52.1","51.69","0.879","10.19"
"800","1.825","57.61","59.43","53.48","0.8901","10.46"
"900","1.833","64.93","66.77","55.07","0.899","10.69"
"1000","1.841","72.27","74.11","56.49","0.9065","10.9"
