"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","14.16","0.01059","14.17","0.0004215","0.0003845","0.002827"
"0.0125","12.07","0.01108","12.08","0.0006133","0.0004741","0.003606"
"0.015","10.58","0.01144","10.59","0.0008348","0.0005616","0.004414"
"0.0175","9.462","0.01173","9.474","0.001085","0.0006469","0.005252"
"0.02","8.587","0.01196","8.599","0.001362","0.0007304","0.006119"
"0.025","7.303","0.01231","7.315","0.001995","0.000892","0.007942"
"0.03","6.402","0.01257","6.414","0.002727","0.001047","0.009883"
"0.035","5.731","0.01278","5.744","0.003553","0.001197","0.01194"
"0.04","5.212","0.01294","5.225","0.004467","0.001341","0.01412"
"0.045","4.797","0.01308","4.81","0.005465","0.001481","0.0164"
"0.05","4.458","0.01321","4.471","0.006544","0.001617","0.0188"
"0.055","4.175","0.01332","4.188","0.007701","0.001748","0.0213"
"0.06","3.935","0.01341","3.948","0.008931","0.001877","0.0239"
"0.07","3.55","0.01359","3.564","0.0116","0.002124","0.02937"
"0.08","3.254","0.01375","3.268","0.01454","0.00236","0.03515"
"0.09","3.02","0.01391","3.034","0.01772","0.002587","0.0412"
"0.1","2.83","0.01406","2.844","0.02112","0.002805","0.04745"
"0.125","2.481","0.01445","2.496","0.03054","0.003318","0.06363"
"0.15","2.244","0.01485","2.259","0.0411","0.003797","0.08017"
"0.175","2.073","0.01528","2.089","0.05263","0.004247","0.09671"
"0.2","1.945","0.01572","1.961","0.065","0.004675","0.1131"
"0.25","1.766","0.01668","1.782","0.09183","0.005479","0.1452"
"0.3","1.648","0.01772","1.666","0.1209","0.006233","0.1764"
"0.35","1.566","0.01884","1.585","0.1517","0.006952","0.2067"
"0.4","1.507","0.02003","1.527","0.1839","0.007646","0.2363"
"0.45","1.463","0.02128","1.484","0.2171","0.008321","0.2653"
"0.5","1.429","0.02259","1.452","0.2512","0.008984","0.2938"
"0.55","1.403","0.02395","1.427","0.286","0.009638","0.3217"
"0.6","1.382","0.02536","1.408","0.3213","0.01028","0.3492"
"0.7","1.353","0.02829","1.382","0.393","0.01156","0.4029"
"0.8","1.335","0.03137","1.366","0.4658","0.01283","0.4552"
"0.9","1.323","0.03458","1.357","0.5393","0.0141","0.506"
"1","1.315","0.0379","1.353","0.6131","0.01536","0.5555"
"1.25","1.308","0.04669","1.355","0.7978","0.01853","0.6741"
"1.5","1.31","0.05605","1.366","0.9817","0.02173","0.7856"
"1.75","1.315","0.06586","1.381","1.164","0.02497","0.8903"
"2","1.322","0.07606","1.398","1.344","0.02823","0.9888"
"2.5","1.338","0.09737","1.435","1.697","0.03481","1.169"
"3","1.354","0.1197","1.473","2.041","0.04143","1.329"
"3.5","1.369","0.1427","1.511","2.376","0.04806","1.474"
"4","1.382","0.1664","1.549","2.702","0.05467","1.605"
"4.5","1.395","0.1907","1.586","3.021","0.06125","1.725"
"5","1.407","0.2154","1.622","3.333","0.06778","1.836"
"5.5","1.417","0.2406","1.658","3.638","0.07425","1.94"
"6","1.427","0.2661","1.693","3.937","0.08066","2.036"
"7","1.445","0.3181","1.763","4.515","0.09326","2.213"
"8","1.46","0.3713","1.832","5.072","0.1056","2.372"
"9","1.474","0.4254","1.899","5.608","0.1175","2.517"
"10","1.486","0.4802","1.966","6.125","0.1292","2.652"
"12.5","1.51","0.6201","2.13","7.346","0.157","2.95"
"15","1.53","0.7631","2.293","8.477","0.1829","3.209"
"17.5","1.546","0.9086","2.454","9.531","0.207","3.439"
"20","1.559","1.056","2.615","10.52","0.2295","3.646"
"25","1.581","1.355","2.936","12.32","0.2704","4.005"
"30","1.598","1.658","3.255","13.94","0.3063","4.31"
"35","1.611","1.964","3.576","15.4","0.3383","4.574"
"40","1.623","2.273","3.897","16.74","0.3668","4.806"
"45","1.633","2.584","4.218","17.97","0.3926","5.014"
"50","1.642","2.897","4.54","19.12","0.4159","5.202"
"55","1.651","3.212","4.863","20.18","0.4371","5.373"
"60","1.658","3.528","5.186","21.18","0.4566","5.53"
"70","1.671","4.163","5.834","22.99","0.491","5.811"
"80","1.682","4.803","6.484","24.62","0.5206","6.057"
"90","1.691","5.445","7.136","26.09","0.5463","6.276"
"100","1.7","6.09","7.79","27.43","0.569","6.472"
"125","1.717","7.711","9.428","30.34","0.6154","6.893"
"150","1.731","9.342","11.07","32.79","0.6514","7.241"
"175","1.743","10.98","12.72","34.89","0.6803","7.538"
"200","1.753","12.62","14.37","36.74","0.7041","7.796"
"250","1.77","15.92","17.69","39.87","0.7412","8.232"
"300","1.783","19.22","21.01","42.46","0.769","8.59"
"350","1.794","22.54","24.33","44.67","0.7907","8.894"
"400","1.804","25.86","27.66","46.6","0.8082","9.159"
"450","1.812","29.18","30.99","48.3","0.8227","9.392"
"500","1.82","32.51","34.33","49.83","0.8348","9.601"
"550","1.827","35.84","37.67","51.22","0.8452","9.791"
"600","1.833","39.17","41.01","52.5","0.8543","9.964"
"700","1.844","45.85","47.69","54.76","0.8691","10.27"
"800","1.853","52.52","54.38","56.72","0.881","10.54"
"900","1.862","59.21","61.07","58.45","0.8906","10.77"
"1000","1.869","65.89","67.76","60.01","0.8987","10.98"
