"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.56","0.01716","10.58","0.0005966","0.0007946","0.000168"
"0.0125","9.101","0.01853","9.119","0.000852","0.001001","0.000215"
"0.015","8.043","0.01964","8.062","0.001144","0.001207","0.0002638"
"0.0175","7.237","0.02055","7.258","0.001472","0.001411","0.0003145"
"0.02","6.602","0.02134","6.623","0.001833","0.001613","0.0003671"
"0.025","5.658","0.02262","5.681","0.002651","0.002011","0.0004775"
"0.03","4.989","0.02365","5.013","0.00359","0.002401","0.000595"
"0.035","4.488","0.02451","4.512","0.004644","0.002783","0.0007191"
"0.04","4.097","0.02526","4.122","0.005805","0.003158","0.0008498"
"0.045","3.783","0.02593","3.809","0.007068","0.003526","0.0009867"
"0.05","3.525","0.02653","3.552","0.008429","0.003888","0.00113"
"0.055","3.309","0.02708","3.336","0.009882","0.004243","0.001279"
"0.06","3.126","0.02759","3.153","0.01142","0.004592","0.001433"
"0.07","2.831","0.02852","2.859","0.01476","0.005274","0.001759"
"0.08","2.603","0.02936","2.633","0.01841","0.005936","0.002106"
"0.09","2.423","0.03012","2.453","0.02235","0.006578","0.002472"
"0.1","2.276","0.03083","2.306","0.02656","0.007203","0.002858"
"0.125","2.005","0.03245","2.038","0.03813","0.008695","0.003898"
"0.15","1.821","0.0339","1.855","0.05102","0.0101","0.005038"
"0.175","1.689","0.03524","1.724","0.06502","0.01142","0.00627"
"0.2","1.589","0.03653","1.626","0.07997","0.01268","0.007587"
"0.25","1.45","0.03904","1.489","0.1122","0.01502","0.01046"
"0.3","1.359","0.04158","1.401","0.1469","0.01718","0.01365"
"0.35","1.297","0.04418","1.341","0.1834","0.0192","0.01715"
"0.4","1.252","0.04686","1.299","0.2213","0.02111","0.02098"
"0.45","1.219","0.04963","1.269","0.2603","0.02294","0.02515"
"0.5","1.194","0.0525","1.247","0.3001","0.02471","0.02969"
"0.55","1.175","0.05543","1.231","0.3404","0.02643","0.0346"
"0.6","1.161","0.05843","1.219","0.3813","0.0281","0.03986"
"0.7","1.141","0.06462","1.206","0.4638","0.03133","0.05133"
"0.8","1.13","0.07103","1.201","0.5469","0.03446","0.06382"
"0.9","1.124","0.07764","1.201","0.6302","0.03751","0.07703"
"1","1.121","0.08442","1.205","0.7133","0.0405","0.09072"
"1.25","1.122","0.1021","1.224","0.9193","0.04775","0.1261"
"1.5","1.13","0.1207","1.25","1.121","0.05479","0.1619"
"1.75","1.139","0.1399","1.279","1.319","0.06167","0.1975"
"2","1.15","0.1597","1.31","1.512","0.06841","0.2326"
"2.5","1.172","0.2007","1.373","1.885","0.08156","0.3009"
"3","1.193","0.2431","1.436","2.241","0.09427","0.3669"
"3.5","1.212","0.2866","1.498","2.582","0.1066","0.4309"
"4","1.228","0.331","1.559","2.909","0.1185","0.4932"
"4.5","1.244","0.3762","1.62","3.224","0.13","0.5536"
"5","1.257","0.4221","1.679","3.527","0.1412","0.6122"
"5.5","1.27","0.4686","1.739","3.819","0.1521","0.669"
"6","1.282","0.5157","1.797","4.102","0.1626","0.7239"
"7","1.302","0.6113","1.913","4.641","0.1827","0.8286"
"8","1.32","0.7085","2.028","5.149","0.2017","0.9266"
"9","1.335","0.8072","2.142","5.629","0.2196","1.019"
"10","1.349","0.907","2.256","6.083","0.2366","1.105"
"12.5","1.377","1.161","2.538","7.128","0.2754","1.302"
"15","1.4","1.42","2.82","8.061","0.3097","1.475"
"17.5","1.419","1.683","3.102","8.906","0.3402","1.632"
"20","1.435","1.949","3.385","9.678","0.3677","1.774"
"25","1.461","2.49","3.951","11.04","0.415","2.029"
"30","1.482","3.038","4.52","12.23","0.4545","2.252"
"35","1.498","3.593","5.091","13.27","0.4881","2.452"
"40","1.512","4.153","5.664","14.2","0.517","2.633"
"45","1.524","4.716","6.24","15.04","0.5423","2.799"
"50","1.534","5.284","6.818","15.81","0.5647","2.951"
"55","1.543","5.854","7.397","16.51","0.5846","3.092"
"60","1.551","6.426","7.978","17.16","0.6024","3.223"
"70","1.566","7.578","9.143","18.33","0.6331","3.461"
"80","1.578","8.736","10.31","19.36","0.6588","3.673"
"90","1.588","9.899","11.49","20.28","0.6805","3.863"
"100","1.597","11.07","12.66","21.11","0.6993","4.036"
"125","1.616","14","15.62","22.88","0.7366","4.41"
"150","1.631","16.95","18.58","24.35","0.7647","4.724"
"175","1.643","19.91","21.55","25.59","0.7866","4.994"
"200","1.653","22.88","24.53","26.68","0.8043","5.233"
"250","1.67","28.83","30.5","28.51","0.8313","5.638"
"300","1.683","34.8","36.48","30","0.8511","5.974"
"350","1.694","40.78","42.47","31.27","0.8662","6.262"
"400","1.704","46.76","48.47","32.37","0.8783","6.514"
"450","1.712","52.76","54.47","33.35","0.8881","6.737"
"500","1.719","58.76","60.47","34.22","0.8963","6.938"
"550","1.726","64.76","66.49","35","0.9033","7.12"
"600","1.732","70.77","72.5","35.72","0.9093","7.287"
"700","1.742","82.8","84.54","37","0.9191","7.584"
"800","1.751","94.84","96.59","38.11","0.9268","7.843"
"900","1.759","106.9","108.6","39.08","0.933","8.072"
"1000","1.766","118.9","120.7","39.96","0.9382","8.277"
