"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","13.18","0.01213","13.19","0.0004601","0.0004701","0.001244"
"0.0125","11.27","0.01277","11.28","0.0006658","0.0005814","0.001585"
"0.015","9.904","0.01327","9.917","0.0009028","0.0006904","0.001938"
"0.0175","8.874","0.01366","8.887","0.00117","0.0007972","0.002304"
"0.02","8.066","0.01399","8.08","0.001465","0.0009019","0.002683"
"0.025","6.877","0.01449","6.892","0.002138","0.001105","0.003481"
"0.03","6.04","0.01488","6.055","0.002914","0.001301","0.004334"
"0.035","5.416","0.01518","5.431","0.003788","0.001491","0.005247"
"0.04","4.931","0.01543","4.947","0.004754","0.001674","0.00622"
"0.045","4.544","0.01564","4.56","0.005808","0.001852","0.007259"
"0.05","4.226","0.01583","4.242","0.006946","0.002025","0.008365"
"0.055","3.961","0.016","3.977","0.008164","0.002194","0.009542"
"0.06","3.736","0.01615","3.753","0.009459","0.002358","0.0108"
"0.07","3.375","0.01641","3.392","0.01227","0.002674","0.01354"
"0.08","3.098","0.01665","3.114","0.01535","0.002977","0.01664"
"0.09","2.877","0.01688","2.894","0.01868","0.003268","0.02013"
"0.1","2.698","0.0171","2.715","0.02225","0.003547","0.02404"
"0.125","2.369","0.01763","2.387","0.03211","0.004208","0.03583"
"0.15","2.146","0.01816","2.164","0.04314","0.004822","0.05053"
"0.175","1.984","0.0187","2.002","0.05517","0.005401","0.06758"
"0.2","1.861","0.01926","1.881","0.06807","0.00595","0.08595"
"0.25","1.691","0.02045","1.711","0.09603","0.006981","0.1236"
"0.3","1.579","0.02172","1.601","0.1263","0.007945","0.1604"
"0.35","1.501","0.02307","1.524","0.1584","0.00886","0.1958"
"0.4","1.444","0.0245","1.469","0.1918","0.009741","0.2302"
"0.45","1.402","0.026","1.428","0.2263","0.0106","0.2635"
"0.5","1.37","0.02757","1.398","0.2617","0.01143","0.2958"
"0.55","1.345","0.02919","1.375","0.2978","0.01226","0.3273"
"0.6","1.326","0.03087","1.357","0.3345","0.01307","0.3581"
"0.7","1.298","0.03437","1.333","0.4089","0.01467","0.4173"
"0.8","1.281","0.03803","1.319","0.4843","0.01625","0.4739"
"0.9","1.27","0.04185","1.312","0.5604","0.01782","0.528"
"1","1.263","0.0458","1.309","0.6367","0.01938","0.5799"
"1.25","1.257","0.05623","1.313","0.8276","0.02328","0.7011"
"1.5","1.259","0.06733","1.327","1.017","0.0272","0.8121"
"1.75","1.265","0.07896","1.344","1.204","0.03113","0.9149"
"2","1.273","0.09103","1.364","1.389","0.03509","1.011"
"2.5","1.289","0.1162","1.405","1.75","0.04302","1.186"
"3","1.305","0.1425","1.448","2.101","0.05095","1.343"
"3.5","1.32","0.1697","1.49","2.441","0.05885","1.486"
"4","1.334","0.1976","1.531","2.772","0.06668","1.617"
"4.5","1.346","0.2261","1.573","3.094","0.07443","1.738"
"5","1.358","0.2552","1.613","3.408","0.08209","1.85"
"5.5","1.368","0.2847","1.653","3.715","0.08965","1.954"
"6","1.378","0.3146","1.693","4.013","0.0971","2.052"
"7","1.396","0.3756","1.771","4.591","0.1117","2.229"
"8","1.411","0.4378","1.849","5.143","0.1258","2.388"
"9","1.424","0.5009","1.925","5.673","0.1394","2.532"
"10","1.436","0.565","2.001","6.183","0.1526","2.664"
"12.5","1.462","0.7282","2.19","7.376","0.1837","2.951"
"15","1.482","0.8949","2.377","8.472","0.2122","3.194"
"17.5","1.499","1.064","2.563","9.484","0.2385","3.407"
"20","1.513","1.236","2.749","10.43","0.2628","3.597"
"25","1.537","1.583","3.12","12.13","0.3061","3.927"
"30","1.555","1.936","3.491","13.65","0.3437","4.209"
"35","1.57","2.291","3.861","15.01","0.3767","4.456"
"40","1.582","2.65","4.233","16.24","0.4059","4.676"
"45","1.593","3.012","4.605","17.38","0.432","4.874"
"50","1.603","3.375","4.978","18.42","0.4554","5.054"
"55","1.611","3.74","5.351","19.39","0.4766","5.219"
"60","1.619","4.107","5.725","20.29","0.4959","5.372"
"70","1.632","4.844","6.476","21.93","0.5298","5.646"
"80","1.643","5.586","7.229","23.39","0.5587","5.886"
"90","1.653","6.33","7.983","24.71","0.5836","6.1"
"100","1.661","7.079","8.74","25.91","0.6054","6.292"
"125","1.679","8.958","10.64","28.5","0.6498","6.705"
"150","1.694","10.85","12.54","30.66","0.6838","7.046"
"175","1.706","12.75","14.45","32.51","0.711","7.336"
"200","1.716","14.65","16.37","34.14","0.7332","7.59"
"250","1.733","18.47","20.2","36.88","0.7676","8.017"
"300","1.747","22.3","24.04","39.15","0.7932","8.37"
"350","1.758","26.13","27.89","41.08","0.8131","8.67"
"400","1.768","29.98","31.74","42.76","0.8291","8.931"
"450","1.776","33.82","35.6","44.24","0.8422","9.162"
"500","1.784","37.67","39.46","45.58","0.8532","9.369"
"550","1.791","41.53","43.32","46.79","0.8626","9.558"
"600","1.797","45.39","47.18","47.89","0.8708","9.73"
"700","1.808","53.11","54.91","49.85","0.8842","10.04"
"800","1.817","60.83","62.65","51.56","0.8948","10.3"
"900","1.826","68.56","70.39","53.06","0.9034","10.53"
"1000","1.833","76.3","78.13","54.41","0.9106","10.74"
