"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","17.62","0.004546","17.62","0.0003264","0.0001411","0"
"0.0125","14.87","0.004591","14.88","0.0004815","0.0001696","0"
"0.015","12.95","0.00462","12.95","0.0006621","0.0001968","0"
"0.0175","11.51","0.00464","11.52","0.0008672","0.0002229","0"
"0.02","10.4","0.004655","10.41","0.001096","0.0002482","0"
"0.025","8.786","0.004674","8.79","0.001621","0.0002966","0"
"0.03","7.662","0.004688","7.666","0.002232","0.0003425","0"
"0.035","6.832","0.004701","6.836","0.002924","0.0003864","0"
"0.04","6.193","0.004713","6.197","0.003693","0.0004286","0"
"0.045","5.684","0.004726","5.689","0.004536","0.0004694","0"
"0.05","5.27","0.00474","5.275","0.00545","0.0005089","0"
"0.055","4.926","0.004755","4.931","0.006431","0.0005474","0"
"0.06","4.635","0.00477","4.64","0.007477","0.0005848","0"
"0.07","4.169","0.004805","4.174","0.009754","0.000657","0"
"0.08","3.814","0.004845","3.819","0.01226","0.0007261","0"
"0.09","3.533","0.004889","3.538","0.01499","0.0007928","0"
"0.1","3.305","0.004936","3.31","0.01791","0.0008572","0"
"0.125","2.89","0.005072","2.895","0.02602","0.00101","0"
"0.15","2.609","0.005224","2.614","0.03513","0.001155","0"
"0.175","2.407","0.005391","2.412","0.04511","0.001292","0"
"0.2","2.255","0.005569","2.261","0.05583","0.001424","0"
"0.25","2.044","0.005958","2.05","0.07913","0.001677","0"
"0.3","1.907","0.006382","1.913","0.1044","0.001918","0"
"0.35","1.811","0.006837","1.818","0.1313","0.002151","0"
"0.4","1.742","0.007321","1.75","0.1593","0.002378","0"
"0.45","1.691","0.007827","1.699","0.1884","0.002602","0"
"0.5","1.652","0.008357","1.661","0.2181","0.002824","0"
"0.55","1.623","0.008907","1.632","0.2485","0.003044","0"
"0.6","1.599","0.009476","1.609","0.2794","0.003263","0"
"0.7","1.567","0.01066","1.578","0.3422","0.003701","0"
"0.8","1.547","0.01191","1.559","0.406","0.004138","0"
"0.9","1.535","0.01322","1.548","0.4704","0.004577","0"
"1","1.528","0.01457","1.542","0.5351","0.005018","0"
"1.25","1.524","0.01817","1.542","0.6974","0.006136","0"
"1.5","1.53","0.02201","1.552","0.859","0.007276","0"
"1.75","1.541","0.02607","1.567","1.019","0.008437","0"
"2","1.554","0.0303","1.584","1.178","0.009616","0"
"2.5","1.581","0.03919","1.62","1.49","0.01202","0"
"3","1.608","0.04854","1.656","1.795","0.01448","0"
"3.5","1.632","0.05828","1.691","2.094","0.01696","0"
"4","1.655","0.06833","1.724","2.387","0.01947","0"
"4.5","1.677","0.07865","1.755","2.674","0.022","0"
"5","1.696","0.0892","1.786","2.957","0.02454","0"
"5.5","1.715","0.09996","1.815","3.235","0.02708","0"
"6","1.732","0.1109","1.842","3.508","0.02963","0"
"7","1.762","0.1333","1.895","4.043","0.03472","0"
"8","1.789","0.1563","1.946","4.564","0.0398","0"
"9","1.813","0.1797","1.993","5.071","0.04485","0"
"10","1.835","0.2035","2.039","5.567","0.04987","0"
"12.5","1.882","0.2644","2.147","6.762","0.06221","0"
"15","1.921","0.327","2.248","7.9","0.07424","0"
"17.5","1.954","0.3907","2.345","8.988","0.08594","0"
"20","1.983","0.4554","2.438","10.03","0.0973","0"
"25","2.031","0.587","2.618","12.01","0.119","0"
"30","2.07","0.7206","2.791","13.86","0.1394","0"
"35","2.104","0.8559","2.959","15.6","0.1586","0"
"40","2.131","0.9925","3.124","17.24","0.1768","0.01969"
"45","2.153","1.13","3.283","18.81","0.1939","0.06706"
"50","2.172","1.269","3.44","20.29","0.2102","0.1291"
"55","2.187","1.408","3.595","21.71","0.2256","0.1987"
"60","2.201","1.548","3.749","23.08","0.2404","0.2719"
"70","2.224","1.829","4.053","25.64","0.2678","0.4209"
"80","2.242","2.113","4.355","28.02","0.2929","0.5667"
"90","2.258","2.397","4.655","30.24","0.316","0.7057"
"100","2.271","2.683","4.954","32.32","0.3372","0.8371"
"125","2.298","3.402","5.701","37.02","0.3839","1.133"
"150","2.319","4.126","6.446","41.14","0.4231","1.388"
"175","2.337","4.854","7.191","44.82","0.4567","1.61"
"200","2.352","5.583","7.935","48.12","0.4858","1.807"
"250","2.376","7.049","9.425","53.9","0.5341","2.143"
"300","2.395","8.521","10.92","58.82","0.5725","2.422"
"350","2.412","9.997","12.41","63.12","0.6041","2.662"
"400","2.426","11.48","13.9","66.92","0.6306","2.871"
"450","2.438","12.96","15.4","70.34","0.6532","3.058"
"500","2.448","14.44","16.89","73.44","0.6727","3.226"
"550","2.458","15.93","18.38","76.27","0.6898","3.38"
"600","2.467","17.41","19.88","78.89","0.7049","3.521"
"700","2.482","20.39","22.87","83.57","0.7305","3.775"
"800","2.495","23.37","25.86","87.68","0.7514","3.998"
"900","2.506","26.35","28.85","91.34","0.7689","4.198"
"1000","2.516","29.33","31.85","94.64","0.7837","4.38"
