"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","13.88","0.01138","13.9","0.000433","0.0004203","0.002474"
"0.0125","11.85","0.01193","11.86","0.0006284","0.0005188","0.003157"
"0.015","10.4","0.01235","10.41","0.0008539","0.0006151","0.003866"
"0.0175","9.31","0.01269","9.323","0.001108","0.0007092","0.004602"
"0.02","8.456","0.01296","8.468","0.00139","0.0008013","0.005365"
"0.025","7.199","0.01338","7.213","0.002032","0.00098","0.006975"
"0.03","6.316","0.01369","6.33","0.002774","0.001152","0.008696"
"0.035","5.658","0.01394","5.672","0.00361","0.001317","0.01053"
"0.04","5.149","0.01414","5.163","0.004536","0.001478","0.01248"
"0.045","4.741","0.01431","4.756","0.005546","0.001633","0.01455"
"0.05","4.408","0.01446","4.422","0.006637","0.001784","0.01673"
"0.055","4.129","0.01459","4.144","0.007806","0.00193","0.01902"
"0.06","3.893","0.01471","3.908","0.00905","0.002073","0.02143"
"0.07","3.514","0.01493","3.529","0.01175","0.002348","0.02657"
"0.08","3.223","0.01512","3.238","0.01471","0.002611","0.03211"
"0.09","2.992","0.01531","3.007","0.01792","0.002863","0.03801"
"0.1","2.804","0.01548","2.82","0.02136","0.003106","0.04422"
"0.125","2.46","0.01593","2.476","0.03085","0.003679","0.0607"
"0.15","2.226","0.01639","2.242","0.04149","0.004212","0.07794"
"0.175","2.057","0.01687","2.074","0.0531","0.004714","0.09538"
"0.2","1.93","0.01736","1.947","0.06556","0.00519","0.1127"
"0.25","1.753","0.01842","1.771","0.09257","0.006085","0.1467"
"0.3","1.636","0.01956","1.656","0.1218","0.006923","0.1797"
"0.35","1.556","0.02079","1.576","0.1528","0.00772","0.2116"
"0.4","1.497","0.02209","1.519","0.1851","0.008489","0.2427"
"0.45","1.453","0.02346","1.477","0.2186","0.009236","0.2731"
"0.5","1.42","0.02489","1.445","0.2528","0.009968","0.3027"
"0.55","1.394","0.02638","1.421","0.2877","0.01069","0.3317"
"0.6","1.374","0.02791","1.402","0.3232","0.0114","0.3601"
"0.7","1.345","0.03112","1.376","0.3952","0.01281","0.4152"
"0.8","1.327","0.03448","1.362","0.4683","0.0142","0.4682"
"0.9","1.316","0.03797","1.354","0.542","0.01559","0.5195"
"1","1.308","0.0416","1.35","0.6159","0.01697","0.569"
"1.25","1.302","0.05117","1.353","0.8011","0.02044","0.6865"
"1.5","1.304","0.06137","1.365","0.9851","0.02393","0.7962"
"1.75","1.31","0.07206","1.382","1.167","0.02745","0.899"
"2","1.317","0.08315","1.4","1.347","0.03099","0.9959"
"2.5","1.333","0.1063","1.44","1.699","0.03812","1.174"
"3","1.349","0.1306","1.48","2.042","0.04527","1.333"
"3.5","1.365","0.1557","1.52","2.375","0.05242","1.478"
"4","1.378","0.1814","1.56","2.7","0.05954","1.61"
"4.5","1.391","0.2077","1.599","3.016","0.06661","1.73"
"5","1.403","0.2346","1.638","3.325","0.07361","1.842"
"5.5","1.414","0.2619","1.676","3.627","0.08053","1.946"
"6","1.424","0.2896","1.713","3.922","0.08738","2.043"
"7","1.442","0.346","1.788","4.493","0.1008","2.219"
"8","1.457","0.4036","1.861","5.042","0.1139","2.377"
"9","1.471","0.4622","1.933","5.569","0.1266","2.521"
"10","1.483","0.5216","2.005","6.077","0.1389","2.652"
"12.5","1.509","0.6731","2.182","7.272","0.1681","2.942"
"15","1.529","0.8279","2.357","8.374","0.1951","3.192"
"17.5","1.546","0.9852","2.531","9.397","0.2202","3.412"
"20","1.56","1.145","2.704","10.35","0.2435","3.61"
"25","1.583","1.468","3.05","12.09","0.2854","3.956"
"30","1.6","1.795","3.396","13.65","0.3221","4.251"
"35","1.615","2.126","3.741","15.05","0.3546","4.508"
"40","1.627","2.46","4.087","16.33","0.3834","4.736"
"45","1.638","2.797","4.434","17.5","0.4094","4.941"
"50","1.647","3.135","4.782","18.59","0.4328","5.126"
"55","1.655","3.475","5.13","19.59","0.454","5.295"
"60","1.663","3.816","5.479","20.54","0.4735","5.451"
"70","1.676","4.503","6.178","22.26","0.5077","5.729"
"80","1.687","5.193","6.88","23.79","0.537","5.973"
"90","1.697","5.887","7.584","25.17","0.5625","6.189"
"100","1.705","6.584","8.289","26.43","0.5848","6.384"
"125","1.723","8.336","10.06","29.17","0.6303","6.801"
"150","1.738","10.1","11.84","31.46","0.6655","7.146"
"175","1.75","11.87","13.62","33.42","0.6937","7.44"
"200","1.76","13.64","15.4","35.15","0.7169","7.696"
"250","1.777","17.2","18.98","38.07","0.7528","8.128"
"300","1.791","20.77","22.56","40.48","0.7797","8.484"
"350","1.802","24.35","26.15","42.54","0.8006","8.787"
"400","1.812","27.93","29.74","44.33","0.8174","9.05"
"450","1.82","31.52","33.34","45.92","0.8313","9.283"
"500","1.828","35.12","36.94","47.34","0.843","9.491"
"550","1.835","38.71","40.55","48.63","0.853","9.68"
"600","1.841","42.31","44.15","49.81","0.8616","9.853"
"700","1.852","49.51","51.37","51.91","0.8758","10.16"
"800","1.862","56.73","58.59","53.73","0.8871","10.43"
"900","1.871","63.94","65.81","55.34","0.8963","10.66"
"1000","1.878","71.16","73.04","56.78","0.904","10.87"
