"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","13.76","0.01079","13.77","0.0004356","0.0004026","0.002485"
"0.0125","11.73","0.01129","11.75","0.0006329","0.0004967","0.003168"
"0.015","10.29","0.01168","10.3","0.0008608","0.0005886","0.003875"
"0.0175","9.208","0.01199","9.22","0.001118","0.0006784","0.004607"
"0.02","8.36","0.01223","8.372","0.001403","0.0007662","0.005365"
"0.025","7.114","0.01261","7.126","0.002053","0.0009364","0.006957"
"0.03","6.238","0.01289","6.251","0.002804","0.0011","0.008651"
"0.035","5.587","0.01311","5.6","0.003651","0.001257","0.01045"
"0.04","5.083","0.01329","5.096","0.004588","0.00141","0.01235"
"0.045","4.68","0.01345","4.693","0.005612","0.001557","0.01435"
"0.05","4.349","0.01358","4.363","0.006718","0.0017","0.01646"
"0.055","4.074","0.0137","4.088","0.007902","0.00184","0.01866"
"0.06","3.841","0.0138","3.854","0.009163","0.001975","0.02097"
"0.07","3.466","0.01399","3.48","0.0119","0.002236","0.02585"
"0.08","3.178","0.01417","3.192","0.0149","0.002486","0.03108"
"0.09","2.95","0.01434","2.964","0.01816","0.002725","0.03663"
"0.1","2.765","0.0145","2.779","0.02164","0.002955","0.04243"
"0.125","2.425","0.01491","2.44","0.03128","0.003498","0.0578"
"0.15","2.194","0.01533","2.209","0.04208","0.004004","0.0739"
"0.175","2.027","0.01577","2.043","0.05386","0.004479","0.09025"
"0.2","1.902","0.01623","1.918","0.06651","0.004931","0.1066"
"0.25","1.727","0.01722","1.744","0.09393","0.00578","0.1388"
"0.3","1.612","0.01829","1.631","0.1236","0.006574","0.1702"
"0.35","1.532","0.01944","1.552","0.1551","0.007332","0.2008"
"0.4","1.475","0.02066","1.495","0.188","0.008062","0.2306"
"0.45","1.432","0.02195","1.454","0.2219","0.008773","0.2597"
"0.5","1.399","0.0233","1.422","0.2567","0.00947","0.2883"
"0.55","1.373","0.02469","1.398","0.2922","0.01016","0.3163"
"0.6","1.353","0.02614","1.38","0.3282","0.01084","0.3438"
"0.7","1.325","0.02915","1.354","0.4014","0.01218","0.3973"
"0.8","1.307","0.03231","1.339","0.4757","0.01351","0.4491"
"0.9","1.296","0.0356","1.331","0.5506","0.01483","0.4994"
"1","1.289","0.03902","1.328","0.6258","0.01616","0.5482"
"1.25","1.282","0.04803","1.33","0.8141","0.01947","0.6647"
"1.5","1.284","0.05762","1.341","1.001","0.02282","0.774"
"1.75","1.289","0.06769","1.357","1.187","0.02619","0.8769"
"2","1.296","0.07813","1.374","1.37","0.02959","0.9738"
"2.5","1.312","0.09998","1.412","1.729","0.03643","1.152"
"3","1.328","0.1228","1.451","2.078","0.04332","1.311"
"3.5","1.343","0.1464","1.489","2.418","0.05021","1.455"
"4","1.356","0.1707","1.527","2.75","0.05707","1.586"
"4.5","1.369","0.1955","1.564","3.074","0.06389","1.706"
"5","1.38","0.2208","1.601","3.389","0.07065","1.817"
"5.5","1.391","0.2466","1.637","3.698","0.07734","1.921"
"6","1.4","0.2727","1.673","4","0.08397","2.017"
"7","1.418","0.326","1.744","4.586","0.09698","2.193"
"8","1.433","0.3803","1.814","5.148","0.1097","2.351"
"9","1.447","0.4356","1.882","5.689","0.122","2.494"
"10","1.459","0.4917","1.95","6.211","0.134","2.627"
"12.5","1.483","0.6347","2.118","7.441","0.1625","2.919"
"15","1.503","0.7809","2.284","8.577","0.1889","3.172"
"17.5","1.519","0.9296","2.449","9.634","0.2135","3.396"
"20","1.533","1.08","2.613","10.62","0.2364","3.597"
"25","1.554","1.385","2.94","12.43","0.2778","3.949"
"30","1.571","1.695","3.267","14.04","0.3141","4.248"
"35","1.585","2.008","3.593","15.5","0.3463","4.509"
"40","1.597","2.324","3.921","16.83","0.3751","4.739"
"45","1.607","2.642","4.249","18.05","0.4009","4.945"
"50","1.616","2.961","4.578","19.19","0.4243","5.131"
"55","1.624","3.283","4.907","20.24","0.4455","5.301"
"60","1.632","3.605","5.237","21.23","0.465","5.458"
"70","1.644","4.254","5.899","23.03","0.4993","5.737"
"80","1.655","4.907","6.563","24.63","0.5288","5.982"
"90","1.665","5.563","7.228","26.08","0.5544","6.199"
"100","1.673","6.223","7.896","27.41","0.5769","6.395"
"125","1.691","7.879","9.569","30.28","0.6228","6.813"
"150","1.705","9.544","11.25","32.69","0.6585","7.159"
"175","1.716","11.22","12.93","34.76","0.687","7.454"
"200","1.726","12.89","14.62","36.57","0.7105","7.711"
"250","1.743","16.26","18","39.65","0.7471","8.145"
"300","1.756","19.64","21.39","42.19","0.7744","8.502"
"350","1.767","23.02","24.79","44.36","0.7957","8.805"
"400","1.777","26.41","28.19","46.25","0.8129","9.069"
"450","1.785","29.81","31.59","47.93","0.827","9.302"
"500","1.793","33.21","35","49.43","0.8389","9.511"
"550","1.799","36.61","38.41","50.79","0.8491","9.7"
"600","1.805","40.01","41.82","52.04","0.858","9.873"
"700","1.816","46.83","48.64","54.26","0.8725","10.18"
"800","1.826","53.65","55.47","56.18","0.8841","10.45"
"900","1.834","60.47","62.31","57.88","0.8935","10.68"
"1000","1.841","67.31","69.15","59.4","0.9014","10.89"
