"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","16.79","0.005578","16.8","0.0003459","0.0001802","0.0001682"
"0.0125","14.22","0.005665","14.22","0.0005083","0.0002172","0.0002308"
"0.015","12.4","0.005724","12.41","0.0006971","0.0002527","0.0003013"
"0.0175","11.04","0.005767","11.05","0.000911","0.0002869","0.0003794"
"0.02","9.991","0.005799","9.997","0.001149","0.0003199","0.000465"
"0.025","8.455","0.005842","8.461","0.001695","0.0003831","0.0006579"
"0.03","7.385","0.005872","7.391","0.002329","0.0004431","0.0008787"
"0.035","6.593","0.005896","6.599","0.003047","0.0005004","0.001126"
"0.04","5.982","0.005916","5.988","0.003844","0.0005555","0.001399"
"0.045","5.496","0.005935","5.502","0.004716","0.0006086","0.001696"
"0.05","5.099","0.005955","5.105","0.00566","0.00066","0.002016"
"0.055","4.768","0.005974","4.774","0.006674","0.00071","0.002358"
"0.06","4.489","0.005994","4.495","0.007754","0.0007585","0.002721"
"0.07","4.042","0.006036","4.048","0.0101","0.000852","0.003507"
"0.08","3.7","0.006082","3.706","0.01269","0.0009413","0.004366"
"0.09","3.429","0.006133","3.436","0.01549","0.001027","0.005293"
"0.1","3.21","0.006188","3.216","0.01851","0.00111","0.00628"
"0.125","2.809","0.006346","2.816","0.02685","0.001306","0.008982"
"0.15","2.538","0.006526","2.544","0.03621","0.00149","0.01196"
"0.175","2.343","0.006723","2.349","0.04645","0.001665","0.01516"
"0.2","2.196","0.006936","2.203","0.05746","0.001833","0.01854"
"0.25","1.992","0.007404","1.999","0.08136","0.002152","0.02568"
"0.3","1.859","0.007916","1.866","0.1073","0.002455","0.03316"
"0.35","1.766","0.008466","1.774","0.1348","0.002748","0.04084"
"0.4","1.699","0.009051","1.708","0.1636","0.003034","0.04861"
"0.45","1.649","0.009668","1.659","0.1933","0.003315","0.05642"
"0.5","1.612","0.01031","1.622","0.2238","0.003593","0.06422"
"0.55","1.582","0.01098","1.593","0.2549","0.003868","0.07197"
"0.6","1.56","0.01167","1.571","0.2865","0.004142","0.07968"
"0.7","1.528","0.01311","1.541","0.3508","0.004689","0.09489"
"0.8","1.508","0.01463","1.523","0.4161","0.005235","0.1098"
"0.9","1.496","0.01621","1.512","0.482","0.005782","0.1245"
"1","1.489","0.01786","1.506","0.5483","0.006333","0.1389"
"1.25","1.484","0.02221","1.506","0.7144","0.007725","0.1745"
"1.5","1.489","0.02687","1.515","0.88","0.009143","0.21"
"1.75","1.497","0.03177","1.529","1.044","0.01059","0.2466"
"2","1.508","0.03688","1.545","1.207","0.01205","0.2854"
"2.5","1.529","0.04759","1.577","1.527","0.01504","0.3724"
"3","1.549","0.05887","1.608","1.841","0.0181","0.4725"
"3.5","1.567","0.07057","1.637","2.149","0.02121","0.5811"
"4","1.582","0.08265","1.665","2.452","0.02435","0.693"
"4.5","1.595","0.09504","1.69","2.75","0.02753","0.8046"
"5","1.607","0.1077","1.715","3.044","0.03073","0.9139"
"5.5","1.618","0.1206","1.739","3.333","0.03394","1.02"
"6","1.628","0.1338","1.761","3.619","0.03717","1.122"
"7","1.645","0.1606","1.805","4.18","0.04364","1.313"
"8","1.659","0.1881","1.847","4.727","0.05011","1.488"
"9","1.672","0.2161","1.888","5.263","0.05656","1.65"
"10","1.683","0.2446","1.928","5.787","0.06298","1.798"
"12.5","1.707","0.3175","2.024","7.052","0.07878","2.124"
"15","1.726","0.3921","2.118","8.259","0.09417","2.399"
"17.5","1.742","0.4682","2.21","9.415","0.1091","2.638"
"20","1.755","0.5454","2.301","10.52","0.1235","2.847"
"25","1.778","0.7022","2.48","12.62","0.1509","3.203"
"30","1.796","0.8615","2.657","14.56","0.1765","3.499"
"35","1.811","1.023","2.833","16.39","0.2002","3.753"
"40","1.824","1.185","3.009","18.1","0.2224","3.976"
"45","1.835","1.349","3.184","19.71","0.2432","4.175"
"50","1.845","1.514","3.359","21.24","0.2626","4.355"
"55","1.854","1.679","3.533","22.69","0.2808","4.519"
"60","1.862","1.846","3.708","24.07","0.298","4.671"
"70","1.876","2.18","4.056","26.65","0.3294","4.943"
"80","1.887","2.517","4.404","29.02","0.3576","5.183"
"90","1.898","2.855","4.753","31.2","0.3831","5.398"
"100","1.907","3.195","5.101","33.23","0.4061","5.592"
"125","1.925","4.049","5.974","37.76","0.4556","6.011"
"150","1.94","4.908","6.848","41.66","0.496","6.359"
"175","1.952","5.771","7.723","45.1","0.5298","6.656"
"200","1.962","6.637","8.599","48.16","0.5586","6.916"
"250","1.979","8.377","10.36","53.46","0.6051","7.353"
"300","1.993","10.12","12.11","57.91","0.6414","7.712"
"350","2.004","11.87","13.88","61.77","0.6707","8.017"
"400","2.014","13.63","15.64","65.16","0.6948","8.282"
"450","2.023","15.38","17.41","68.19","0.7151","8.516"
"500","2.031","17.14","19.17","70.92","0.7325","8.725"
"550","2.038","18.9","20.94","73.42","0.7476","8.915"
"600","2.044","20.66","22.71","75.71","0.7608","9.088"
"700","2.056","24.19","26.25","79.8","0.783","9.396"
"800","2.066","27.72","29.79","83.38","0.8009","9.662"
"900","2.074","31.26","33.33","86.55","0.8158","9.897"
"1000","2.082","34.79","36.87","89.4","0.8283","10.11"
