"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.824","0.0199","8.844","0.0007664","0.001101","0.001529"
"0.0125","7.681","0.02182","7.703","0.00107","0.001389","0.00195"
"0.015","6.837","0.0234","6.861","0.001415","0.001678","0.002388"
"0.0175","6.186","0.02473","6.211","0.001798","0.001966","0.002842"
"0.02","5.667","0.0259","5.693","0.002219","0.002254","0.003313"
"0.025","4.89","0.02785","4.917","0.003168","0.002825","0.004303"
"0.03","4.332","0.02946","4.361","0.00425","0.003389","0.005359"
"0.035","3.911","0.03084","3.941","0.005458","0.003947","0.00648"
"0.04","3.58","0.03206","3.612","0.006785","0.004497","0.007665"
"0.045","3.314","0.03316","3.347","0.008224","0.005041","0.008913"
"0.05","3.095","0.03418","3.129","0.009771","0.005579","0.01022"
"0.055","2.91","0.03511","2.945","0.01142","0.00611","0.01159"
"0.06","2.753","0.03599","2.789","0.01316","0.006635","0.01301"
"0.07","2.499","0.0376","2.537","0.01693","0.007669","0.016"
"0.08","2.303","0.03906","2.342","0.02104","0.008679","0.01917"
"0.09","2.147","0.0404","2.187","0.02546","0.009668","0.02249"
"0.1","2.019","0.04166","2.061","0.03017","0.01064","0.02592"
"0.125","1.784","0.04447","1.828","0.0431","0.01297","0.03486"
"0.15","1.623","0.04697","1.67","0.05744","0.01518","0.0441"
"0.175","1.507","0.04926","1.556","0.07297","0.01728","0.05347"
"0.2","1.42","0.0514","1.471","0.08951","0.01929","0.0629"
"0.25","1.297","0.05549","1.353","0.1251","0.02304","0.08181"
"0.3","1.217","0.05946","1.277","0.1632","0.0265","0.1008"
"0.35","1.162","0.06341","1.226","0.2032","0.02974","0.1199"
"0.4","1.122","0.06738","1.19","0.2446","0.0328","0.139"
"0.45","1.093","0.0714","1.165","0.2871","0.03571","0.1584"
"0.5","1.071","0.07548","1.147","0.3304","0.0385","0.1779"
"0.55","1.054","0.07961","1.134","0.3743","0.04118","0.1974"
"0.6","1.041","0.08379","1.125","0.4186","0.04378","0.2171"
"0.7","1.023","0.09228","1.116","0.5079","0.04876","0.2565"
"0.8","1.013","0.1009","1.114","0.5976","0.0535","0.2958"
"0.9","1.007","0.1098","1.117","0.6873","0.05805","0.3347"
"1","1.004","0.1188","1.123","0.7767","0.06246","0.3731"
"1.25","1.004","0.142","1.146","0.9972","0.07296","0.4659"
"1.5","1.009","0.1661","1.175","1.213","0.08291","0.5537"
"1.75","1.017","0.1908","1.208","1.423","0.09246","0.6363"
"2","1.026","0.2161","1.242","1.627","0.1017","0.7141"
"2.5","1.043","0.2681","1.311","2.019","0.1192","0.8568"
"3","1.06","0.3216","1.381","2.39","0.1358","0.9853"
"3.5","1.075","0.3763","1.451","2.743","0.1516","1.102"
"4","1.089","0.432","1.521","3.08","0.1666","1.21"
"4.5","1.101","0.4885","1.59","3.401","0.181","1.31"
"5","1.113","0.5458","1.658","3.709","0.1947","1.404"
"5.5","1.123","0.6038","1.727","4.004","0.2079","1.491"
"6","1.132","0.6624","1.795","4.288","0.2205","1.574"
"7","1.149","0.7812","1.931","4.826","0.2443","1.727"
"8","1.164","0.9019","2.066","5.326","0.2664","1.866"
"9","1.177","1.024","2.201","5.795","0.2869","1.993"
"10","1.188","1.148","2.336","6.236","0.3061","2.111"
"12.5","1.212","1.462","2.674","7.235","0.3489","2.37"
"15","1.231","1.783","3.014","8.115","0.3857","2.594"
"17.5","1.247","2.108","3.355","8.901","0.4178","2.79"
"20","1.261","2.437","3.698","9.611","0.4461","2.966"
"25","1.283","3.105","4.387","10.85","0.4938","3.273"
"30","1.3","3.783","5.082","11.91","0.5326","3.536"
"35","1.314","4.468","5.782","12.83","0.565","3.766"
"40","1.326","5.16","6.486","13.65","0.5924","3.971"
"45","1.336","5.857","7.193","14.38","0.6161","4.157"
"50","1.345","6.558","7.903","15.04","0.6367","4.326"
"55","1.353","7.264","8.617","15.65","0.6549","4.481"
"60","1.36","7.972","9.332","16.2","0.671","4.625"
"70","1.372","9.397","10.77","17.2","0.6986","4.883"
"80","1.383","10.83","12.21","18.07","0.7212","5.111"
"90","1.392","12.27","13.66","18.85","0.7403","5.315"
"100","1.4","13.71","15.11","19.54","0.7565","5.5"
"125","1.417","17.35","18.76","21.02","0.7885","5.897"
"150","1.43","21","22.43","22.24","0.8122","6.228"
"175","1.441","24.66","26.1","23.27","0.8306","6.511"
"200","1.45","28.33","29.78","24.17","0.8453","6.76"
"250","1.466","35.69","37.16","25.67","0.8675","7.179"
"300","1.478","43.07","44.55","26.9","0.8835","7.526"
"350","1.488","50.46","51.95","27.93","0.8958","7.821"
"400","1.497","57.86","59.36","28.83","0.9055","8.078"
"450","1.505","65.27","66.77","29.63","0.9133","8.306"
"500","1.512","72.68","74.19","30.34","0.9198","8.51"
"550","1.518","80.1","81.62","30.98","0.9254","8.695"
"600","1.523","87.52","89.05","31.57","0.9301","8.865"
"700","1.533","102.4","103.9","32.61","0.9378","9.166"
"800","1.542","117.2","118.8","33.5","0.9439","9.428"
"900","1.549","132.1","133.7","34.3","0.9487","9.66"
"1000","1.556","147","148.6","35.01","0.9528","9.867"
