"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.37","0.01812","10.39","0.0006144","0.0008527","0.001639"
"0.0125","8.955","0.01963","8.975","0.0008742","0.001075","0.002079"
"0.015","7.925","0.02085","7.946","0.001171","0.001297","0.002531"
"0.0175","7.139","0.02187","7.16","0.001503","0.001518","0.002995"
"0.02","6.517","0.02274","6.54","0.001869","0.001736","0.00347"
"0.025","5.593","0.02418","5.617","0.002697","0.002168","0.004453"
"0.03","4.935","0.02534","4.961","0.003646","0.002591","0.005478"
"0.035","4.442","0.02631","4.469","0.00471","0.003007","0.006542"
"0.04","4.057","0.02717","4.085","0.005882","0.003415","0.007644"
"0.045","3.748","0.02793","3.776","0.007157","0.003816","0.008779"
"0.05","3.494","0.02861","3.522","0.008529","0.00421","0.009947"
"0.055","3.281","0.02925","3.31","0.009994","0.004599","0.01114"
"0.06","3.1","0.02984","3.13","0.01155","0.004981","0.01237"
"0.07","2.808","0.03091","2.839","0.01491","0.005729","0.01489"
"0.08","2.583","0.03187","2.615","0.01858","0.006455","0.01749"
"0.09","2.404","0.03276","2.437","0.02255","0.007162","0.02016"
"0.1","2.259","0.03359","2.292","0.02678","0.007851","0.02289"
"0.125","1.991","0.03545","2.026","0.03843","0.009499","0.02989"
"0.15","1.808","0.03711","1.846","0.05138","0.01105","0.03707"
"0.175","1.677","0.03865","1.715","0.06546","0.01252","0.04434"
"0.2","1.577","0.04011","1.618","0.08048","0.01392","0.05166"
"0.25","1.439","0.04295","1.482","0.1129","0.01652","0.06639"
"0.3","1.349","0.04579","1.395","0.1477","0.01892","0.08113"
"0.35","1.286","0.04868","1.335","0.1844","0.02117","0.09585"
"0.4","1.241","0.05164","1.293","0.2225","0.0233","0.1105"
"0.45","1.208","0.05469","1.263","0.2617","0.02534","0.1251"
"0.5","1.183","0.05784","1.241","0.3016","0.0273","0.1396"
"0.55","1.164","0.06106","1.225","0.3422","0.0292","0.154"
"0.6","1.149","0.06433","1.214","0.3832","0.03105","0.1682"
"0.7","1.129","0.07109","1.2","0.4661","0.03464","0.1963"
"0.8","1.117","0.07806","1.195","0.5497","0.03809","0.2239"
"0.9","1.11","0.08523","1.196","0.6333","0.04145","0.2509"
"1","1.107","0.09259","1.2","0.7168","0.04473","0.2774"
"1.25","1.107","0.1117","1.219","0.9237","0.05267","0.3412"
"1.5","1.114","0.1318","1.245","1.127","0.06035","0.4019"
"1.75","1.123","0.1525","1.275","1.325","0.06783","0.4599"
"2","1.133","0.1738","1.306","1.519","0.07515","0.5155"
"2.5","1.153","0.2179","1.371","1.892","0.08934","0.621"
"3","1.172","0.2635","1.435","2.249","0.103","0.7198"
"3.5","1.189","0.3102","1.499","2.59","0.1162","0.813"
"4","1.204","0.3579","1.562","2.916","0.129","0.901"
"4.5","1.218","0.4064","1.625","3.23","0.1413","0.9844"
"5","1.231","0.4556","1.687","3.532","0.1532","1.063"
"5.5","1.243","0.5055","1.748","3.823","0.1647","1.139"
"6","1.253","0.556","1.809","4.104","0.1758","1.21"
"7","1.272","0.6584","1.931","4.639","0.197","1.344"
"8","1.288","0.7626","2.051","5.142","0.217","1.467"
"9","1.303","0.8683","2.171","5.616","0.2358","1.581"
"10","1.315","0.9752","2.291","6.064","0.2535","1.686"
"12.5","1.342","1.247","2.589","7.09","0.2937","1.924"
"15","1.363","1.525","2.887","8.004","0.329","2.132"
"17.5","1.38","1.806","3.186","8.828","0.3603","2.319"
"20","1.395","2.091","3.486","9.578","0.3883","2.488"
"25","1.418","2.67","4.088","10.9","0.4362","2.787"
"30","1.436","3.257","4.693","12.04","0.4759","3.046"
"35","1.451","3.851","5.302","13.04","0.5094","3.273"
"40","1.464","4.45","5.914","13.94","0.5382","3.477"
"45","1.475","5.054","6.528","14.74","0.5633","3.661"
"50","1.484","5.661","7.145","15.47","0.5853","3.829"
"55","1.492","6.272","7.764","16.14","0.6048","3.983"
"60","1.5","6.885","8.385","16.76","0.6223","4.125"
"70","1.513","8.118","9.632","17.87","0.6523","4.382"
"80","1.524","9.359","10.88","18.85","0.6773","4.609"
"90","1.534","10.6","12.14","19.72","0.6983","4.812"
"100","1.542","11.86","13.4","20.5","0.7165","4.996"
"125","1.56","15","16.56","22.18","0.7524","5.392"
"150","1.574","18.16","19.73","23.56","0.7792","5.723"
"175","1.585","21.33","22.91","24.74","0.8002","6.007"
"200","1.595","24.51","26.1","25.76","0.817","6.256"
"250","1.611","30.88","32.49","27.47","0.8426","6.675"
"300","1.624","37.27","38.9","28.88","0.8613","7.022"
"350","1.635","43.68","45.31","30.07","0.8756","7.317"
"400","1.644","50.09","51.73","31.1","0.8869","7.574"
"450","1.652","56.51","58.16","32.01","0.8961","7.802"
"500","1.659","62.94","64.59","32.82","0.9038","8.006"
"550","1.666","69.37","71.03","33.56","0.9103","8.191"
"600","1.671","75.8","77.47","34.24","0.9159","8.361"
"700","1.682","88.68","90.36","35.43","0.9251","8.662"
"800","1.691","101.6","103.3","36.46","0.9323","8.924"
"900","1.699","114.5","116.2","37.38","0.9381","9.156"
"1000","1.706","127.4","129.1","38.19","0.9429","9.364"
