"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.939","0.01992","8.959","0.0007541","0.001088","0.001641"
"0.0125","7.778","0.02183","7.8","0.001054","0.001373","0.002082"
"0.015","6.921","0.0234","6.945","0.001394","0.001658","0.002536"
"0.0175","6.261","0.02473","6.286","0.001773","0.001943","0.003001"
"0.02","5.735","0.02587","5.761","0.002189","0.002227","0.003479"
"0.025","4.947","0.0278","4.975","0.003127","0.00279","0.00447"
"0.03","4.382","0.0294","4.411","0.004197","0.003346","0.005507"
"0.035","3.955","0.03077","3.986","0.005391","0.003896","0.006589"
"0.04","3.621","0.03197","3.653","0.006703","0.004439","0.007714"
"0.045","3.351","0.03306","3.384","0.008127","0.004975","0.00888"
"0.05","3.129","0.03406","3.163","0.009656","0.005504","0.01009"
"0.055","2.943","0.03498","2.978","0.01129","0.006027","0.01133"
"0.06","2.784","0.03585","2.82","0.01301","0.006544","0.01261"
"0.07","2.527","0.03743","2.564","0.01674","0.007561","0.01527"
"0.08","2.329","0.03887","2.367","0.0208","0.008555","0.01806"
"0.09","2.17","0.0402","2.211","0.02518","0.009527","0.02096"
"0.1","2.041","0.04143","2.083","0.02984","0.01048","0.02395"
"0.125","1.804","0.0442","1.848","0.04263","0.01277","0.03179"
"0.15","1.641","0.04666","1.688","0.05682","0.01494","0.04002"
"0.175","1.524","0.04892","1.573","0.07219","0.01701","0.04855"
"0.2","1.435","0.05103","1.486","0.08856","0.01897","0.05729"
"0.25","1.312","0.05505","1.367","0.1238","0.02265","0.07531"
"0.3","1.231","0.05898","1.29","0.1615","0.02605","0.09389"
"0.35","1.175","0.06288","1.238","0.2011","0.02923","0.1129"
"0.4","1.134","0.06681","1.201","0.2422","0.03223","0.1324"
"0.45","1.105","0.0708","1.176","0.2843","0.03508","0.1522"
"0.5","1.082","0.07483","1.157","0.3271","0.03782","0.1722"
"0.55","1.065","0.07893","1.144","0.3706","0.04046","0.1925"
"0.6","1.052","0.08307","1.135","0.4145","0.04301","0.2128"
"0.7","1.034","0.09151","1.125","0.503","0.04791","0.2535"
"0.8","1.023","0.1001","1.123","0.592","0.05257","0.2939"
"0.9","1.017","0.1089","1.126","0.681","0.05706","0.3338"
"1","1.014","0.1179","1.132","0.7696","0.0614","0.373"
"1.25","1.014","0.141","1.155","0.9885","0.07176","0.4671"
"1.5","1.019","0.165","1.184","1.202","0.0816","0.5555"
"1.75","1.027","0.1896","1.216","1.411","0.09103","0.6382"
"2","1.035","0.2149","1.25","1.613","0.1001","0.7158"
"2.5","1.053","0.2667","1.32","2.003","0.1175","0.8577"
"3","1.07","0.3201","1.39","2.372","0.134","0.9852"
"3.5","1.085","0.3747","1.46","2.723","0.1497","1.101"
"4","1.099","0.4303","1.53","3.057","0.1646","1.208"
"4.5","1.112","0.4867","1.599","3.377","0.1789","1.307"
"5","1.123","0.5439","1.667","3.683","0.1925","1.399"
"5.5","1.134","0.6018","1.736","3.977","0.2056","1.486"
"6","1.144","0.6603","1.804","4.26","0.2182","1.568"
"7","1.161","0.7789","1.94","4.794","0.2419","1.72"
"8","1.176","0.8994","2.075","5.292","0.2639","1.857"
"9","1.189","1.021","2.21","5.759","0.2843","1.983"
"10","1.2","1.145","2.345","6.198","0.3034","2.1"
"12.5","1.224","1.459","2.683","7.194","0.3462","2.357"
"15","1.244","1.779","3.022","8.072","0.3829","2.578"
"17.5","1.26","2.103","3.363","8.855","0.415","2.773"
"20","1.274","2.432","3.705","9.563","0.4433","2.948"
"25","1.296","3.099","4.394","10.8","0.491","3.253"
"30","1.313","3.775","5.089","11.86","0.5299","3.514"
"35","1.327","4.46","5.787","12.78","0.5623","3.743"
"40","1.339","5.151","6.49","13.59","0.5899","3.947"
"45","1.35","5.847","7.196","14.33","0.6136","4.132"
"50","1.359","6.547","7.906","14.99","0.6343","4.3"
"55","1.367","7.251","8.618","15.59","0.6525","4.454"
"60","1.374","7.958","9.332","16.15","0.6687","4.598"
"70","1.387","9.379","10.77","17.15","0.6964","4.855"
"80","1.398","10.81","12.21","18.02","0.7192","5.083"
"90","1.407","12.25","13.65","18.79","0.7383","5.286"
"100","1.415","13.69","15.1","19.49","0.7547","5.47"
"125","1.432","17.32","18.75","20.97","0.7868","5.866"
"150","1.445","20.96","22.4","22.19","0.8107","6.196"
"175","1.456","24.62","26.07","23.22","0.8292","6.479"
"200","1.466","28.28","29.75","24.12","0.844","6.727"
"250","1.481","35.63","37.11","25.62","0.8663","7.146"
"300","1.494","42.99","44.49","26.85","0.8825","7.492"
"350","1.504","50.37","51.87","27.89","0.8948","7.787"
"400","1.513","57.76","59.27","28.79","0.9046","8.044"
"450","1.521","65.15","66.67","29.59","0.9125","8.271"
"500","1.528","72.55","74.08","30.3","0.9191","8.475"
"550","1.534","79.96","81.49","30.94","0.9247","8.66"
"600","1.539","87.37","88.91","31.53","0.9294","8.83"
"700","1.549","102.2","103.7","32.57","0.9372","9.131"
"800","1.558","117","118.6","33.47","0.9433","9.393"
"900","1.565","131.9","133.5","34.26","0.9482","9.624"
"1000","1.572","146.7","148.3","34.98","0.9523","9.832"
