"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.362","0.02046","8.382","0.0008226","0.001187","0"
"0.0125","7.292","0.02257","7.314","0.001143","0.001503","0"
"0.015","6.499","0.02433","6.523","0.001506","0.00182","0"
"0.0175","5.886","0.02583","5.911","0.001909","0.002139","0"
"0.02","5.396","0.02715","5.423","0.002351","0.002458","0"
"0.025","4.661","0.02939","4.691","0.003346","0.003094","0"
"0.03","4.133","0.03126","4.165","0.00448","0.003726","0"
"0.035","3.734","0.03289","3.767","0.005744","0.004354","0"
"0.04","3.421","0.03432","3.455","0.007132","0.004976","0"
"0.045","3.168","0.03563","3.204","0.008636","0.005593","0"
"0.05","2.96","0.03682","2.997","0.01025","0.006204","0"
"0.055","2.785","0.03793","2.823","0.01197","0.00681","0"
"0.06","2.636","0.03897","2.675","0.01379","0.007409","0"
"0.07","2.394","0.04088","2.435","0.01772","0.008592","0"
"0.08","2.208","0.04262","2.25","0.02199","0.009751","0"
"0.09","2.059","0.04422","2.103","0.0266","0.01089","0"
"0.1","1.938","0.04571","1.984","0.0315","0.012","0"
"0.125","1.714","0.04907","1.763","0.04491","0.0147","0"
"0.15","1.562","0.05208","1.614","0.05976","0.01726","0"
"0.175","1.452","0.05482","1.506","0.07582","0.0197","0"
"0.2","1.369","0.05741","1.426","0.0929","0.02203","0"
"0.25","1.253","0.0623","1.315","0.1295","0.0264","0"
"0.3","1.178","0.06701","1.245","0.1687","0.03044","0"
"0.35","1.126","0.07165","1.198","0.2097","0.03421","0"
"0.4","1.089","0.07628","1.166","0.252","0.03777","0"
"0.45","1.062","0.08092","1.143","0.2953","0.04114","0"
"0.5","1.043","0.08558","1.128","0.3394","0.04436","0"
"0.55","1.028","0.09026","1.118","0.3839","0.04745","0"
"0.6","1.016","0.09497","1.111","0.4288","0.05042","0"
"0.7","1.002","0.1045","1.106","0.519","0.05607","0"
"0.8","0.9939","0.1141","1.108","0.6094","0.06141","0"
"0.9","0.9904","0.1239","1.114","0.6994","0.06649","0"
"1","0.9898","0.1338","1.124","0.7888","0.07136","0"
"1.25","0.9952","0.1591","1.154","1.008","0.0828","0"
"1.5","1.006","0.1851","1.191","1.222","0.09345","0"
"1.75","1.018","0.2116","1.23","1.428","0.1035","0"
"2","1.031","0.2387","1.27","1.628","0.1131","0"
"2.5","1.056","0.2942","1.35","2.01","0.1311","0"
"3","1.08","0.351","1.431","2.37","0.1479","0"
"3.5","1.101","0.409","1.51","2.71","0.1636","0"
"4","1.121","0.468","1.589","3.033","0.1785","0"
"4.5","1.139","0.528","1.667","3.34","0.1927","0"
"5","1.155","0.5887","1.744","3.633","0.2061","0"
"5.5","1.17","0.6502","1.821","3.914","0.219","0"
"6","1.185","0.7123","1.897","4.183","0.2313","0"
"7","1.21","0.8382","2.048","4.69","0.2543","0"
"8","1.232","0.9661","2.199","5.161","0.2756","0"
"9","1.252","1.096","2.348","5.601","0.2954","0"
"10","1.27","1.227","2.497","6.014","0.3137","0"
"12.5","1.309","1.56","2.869","6.947","0.3547","0"
"15","1.341","1.9","3.241","7.766","0.3899","0"
"17.5","1.368","2.246","3.613","8.497","0.4205","9.766E-05"
"20","1.391","2.594","3.985","9.155","0.4476","0.003946"
"25","1.429","3.303","4.732","10.31","0.4932","0.02148"
"30","1.46","4.021","5.481","11.29","0.5304","0.04503"
"35","1.486","4.747","6.233","12.14","0.5615","0.07118"
"40","1.508","5.48","6.988","12.9","0.588","0.09862"
"45","1.527","6.217","7.745","13.58","0.6108","0.1267"
"50","1.544","6.96","8.505","14.19","0.6308","0.1552"
"55","1.56","7.706","9.266","14.76","0.6485","0.1838"
"60","1.573","8.456","10.03","15.28","0.6643","0.2123"
"70","1.598","9.964","11.56","16.2","0.6912","0.2688"
"80","1.618","11.48","13.1","17.02","0.7135","0.324"
"90","1.636","13.01","14.64","17.74","0.7323","0.3779"
"100","1.651","14.54","16.19","18.39","0.7484","0.4305"
"125","1.684","18.39","20.07","19.77","0.7802","0.5563"
"150","1.709","22.26","23.97","20.91","0.804","0.6749"
"175","1.73","26.14","27.87","21.88","0.8225","0.787"
"200","1.748","30.03","31.78","22.72","0.8374","0.8929"
"250","1.776","37.85","39.62","24.12","0.86","1.088"
"300","1.798","45.68","47.48","25.27","0.8765","1.263"
"350","1.816","53.52","55.34","26.25","0.8891","1.422"
"400","1.831","61.38","63.21","27.09","0.8991","1.566"
"450","1.844","69.24","71.08","27.84","0.9073","1.7"
"500","1.856","77.11","78.96","28.5","0.9141","1.823"
"550","1.866","84.99","86.85","29.11","0.9198","1.938"
"600","1.875","92.86","94.74","29.66","0.9248","2.045"
"700","1.891","108.6","110.5","30.64","0.9329","2.241"
"800","1.904","124.4","126.3","31.48","0.9393","2.417"
"900","1.916","140.2","142.1","32.23","0.9445","2.576"
"1000","1.926","156","157.9","32.89","0.9487","2.722"
