"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.7","0.01656","10.71","0.0005889","0.0007647","0.00066"
"0.0125","9.217","0.01783","9.234","0.0008412","0.0009596","0.0008417"
"0.015","8.145","0.01885","8.164","0.00113","0.001153","0.00103"
"0.0175","7.329","0.01969","7.349","0.001453","0.001345","0.001224"
"0.02","6.685","0.0204","6.705","0.00181","0.001534","0.001425"
"0.025","5.73","0.02156","5.751","0.002618","0.001907","0.001844"
"0.03","5.052","0.02249","5.074","0.003546","0.002271","0.002287"
"0.035","4.544","0.02326","4.567","0.004587","0.002627","0.002753"
"0.04","4.148","0.02393","4.171","0.005734","0.002976","0.003241"
"0.045","3.83","0.02452","3.854","0.006982","0.003317","0.003751"
"0.05","3.568","0.02505","3.594","0.008327","0.003652","0.004281"
"0.055","3.35","0.02553","3.375","0.009764","0.003981","0.004831"
"0.06","3.164","0.02598","3.19","0.01129","0.004304","0.0054"
"0.07","2.865","0.02679","2.892","0.01459","0.004933","0.006596"
"0.08","2.635","0.02753","2.662","0.0182","0.005542","0.007862"
"0.09","2.452","0.0282","2.48","0.02209","0.006133","0.009196"
"0.1","2.303","0.02882","2.331","0.02625","0.006707","0.01059"
"0.125","2.029","0.03024","2.059","0.03771","0.008073","0.01434"
"0.15","1.842","0.03152","1.874","0.05047","0.009356","0.01842"
"0.175","1.708","0.03271","1.74","0.06433","0.01056","0.02279"
"0.2","1.606","0.03386","1.64","0.07915","0.01171","0.02742"
"0.25","1.465","0.03613","1.501","0.1111","0.01385","0.03736"
"0.3","1.373","0.03845","1.411","0.1455","0.01582","0.04807"
"0.35","1.309","0.04083","1.35","0.1818","0.01766","0.05942"
"0.4","1.263","0.0433","1.306","0.2195","0.01942","0.0713"
"0.45","1.229","0.04587","1.275","0.2582","0.0211","0.08363"
"0.5","1.204","0.04852","1.252","0.2978","0.02273","0.09634"
"0.55","1.184","0.05126","1.235","0.3381","0.02431","0.1094"
"0.6","1.169","0.05406","1.223","0.3787","0.02586","0.1227"
"0.7","1.148","0.05984","1.208","0.4611","0.02886","0.1499"
"0.8","1.135","0.06585","1.201","0.5441","0.03178","0.1777"
"0.9","1.128","0.07204","1.2","0.6275","0.03463","0.2058"
"1","1.124","0.07842","1.203","0.7107","0.03742","0.2341"
"1.25","1.124","0.09506","1.219","0.9173","0.04426","0.3044"
"1.5","1.129","0.1126","1.242","1.121","0.05094","0.373"
"1.75","1.137","0.1307","1.268","1.32","0.05751","0.4393"
"2","1.147","0.1494","1.296","1.515","0.06397","0.503"
"2.5","1.166","0.1882","1.354","1.892","0.07662","0.6226"
"3","1.184","0.2283","1.412","2.254","0.08893","0.7326"
"3.5","1.2","0.2696","1.47","2.601","0.1009","0.8342"
"4","1.215","0.3117","1.527","2.935","0.1125","0.9286"
"4.5","1.229","0.3546","1.584","3.256","0.1238","1.017"
"5","1.241","0.3982","1.64","3.567","0.1348","1.099"
"5.5","1.253","0.4423","1.695","3.866","0.1454","1.177"
"6","1.263","0.487","1.75","4.157","0.1558","1.251"
"7","1.282","0.5778","1.86","4.711","0.1756","1.389"
"8","1.298","0.6703","1.968","5.233","0.1944","1.515"
"9","1.312","0.764","2.076","5.728","0.2122","1.632"
"10","1.325","0.8589","2.183","6.198","0.229","1.741"
"12.5","1.35","1.1","2.451","7.278","0.2676","1.989"
"15","1.371","1.347","2.717","8.246","0.3019","2.208"
"17.5","1.387","1.597","2.984","9.124","0.3324","2.405"
"20","1.401","1.85","3.251","9.926","0.3599","2.584"
"25","1.424","2.364","3.788","11.35","0.4075","2.897"
"30","1.441","2.886","4.327","12.58","0.4473","3.166"
"35","1.456","3.413","4.869","13.67","0.4812","3.401"
"40","1.468","3.946","5.414","14.65","0.5105","3.609"
"45","1.478","4.482","5.96","15.53","0.5361","3.797"
"50","1.488","5.021","6.509","16.33","0.5587","3.967"
"55","1.496","5.563","7.06","17.07","0.5788","4.124"
"60","1.503","6.108","7.611","17.75","0.5968","4.269"
"70","1.516","7.202","8.719","18.97","0.628","4.529"
"80","1.527","8.303","9.831","20.05","0.6539","4.759"
"90","1.537","9.409","10.95","21.02","0.676","4.965"
"100","1.545","10.52","12.06","21.89","0.695","5.152"
"125","1.562","13.31","14.87","23.75","0.7328","5.554"
"150","1.576","16.11","17.68","25.29","0.7612","5.889"
"175","1.587","18.92","20.51","26.6","0.7835","6.176"
"200","1.597","21.74","23.34","27.74","0.8015","6.426"
"250","1.613","27.4","29.01","29.66","0.8289","6.848"
"300","1.625","33.06","34.69","31.24","0.8489","7.196"
"350","1.636","38.74","40.38","32.57","0.8643","7.493"
"400","1.645","44.43","46.08","33.73","0.8765","7.75"
"450","1.653","50.13","51.78","34.75","0.8865","7.979"
"500","1.661","55.83","57.49","35.67","0.8948","8.184"
"550","1.667","61.53","63.2","36.5","0.9018","8.37"
"600","1.673","67.24","68.92","37.26","0.9079","8.54"
"700","1.683","78.67","80.35","38.6","0.9178","8.842"
"800","1.692","90.1","91.8","39.76","0.9257","9.105"
"900","1.7","101.5","103.2","40.79","0.932","9.338"
"1000","1.707","113","114.7","41.71","0.9372","9.546"
