"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.16","0.01293","12.18","0.0005014","0.0005361","0.0004719"
"0.0125","10.42","0.0137","10.43","0.0007241","0.0006666","0.0006175"
"0.015","9.163","0.01429","9.178","0.0009802","0.0007948","0.0007736"
"0.0175","8.216","0.01477","8.231","0.001268","0.0009207","0.00094"
"0.02","7.473","0.01516","7.489","0.001587","0.001044","0.001117"
"0.025","6.378","0.01578","6.394","0.002313","0.001285","0.001499"
"0.03","5.605","0.01625","5.621","0.003149","0.001518","0.001919"
"0.035","5.029","0.01664","5.045","0.00409","0.001743","0.002375"
"0.04","4.581","0.01695","4.598","0.005129","0.001962","0.002865"
"0.045","4.223","0.01723","4.24","0.006263","0.002175","0.003388"
"0.05","3.929","0.01747","3.947","0.007486","0.002382","0.003943"
"0.055","3.684","0.01769","3.702","0.008796","0.002584","0.004528"
"0.06","3.476","0.01789","3.494","0.01019","0.002781","0.005141"
"0.07","3.141","0.01825","3.16","0.0132","0.003163","0.00645"
"0.08","2.884","0.01858","2.903","0.01651","0.003529","0.00786"
"0.09","2.68","0.01888","2.699","0.02009","0.003881","0.009364"
"0.1","2.515","0.01917","2.534","0.02391","0.004221","0.01095"
"0.125","2.211","0.01985","2.23","0.03447","0.005026","0.01525"
"0.15","2.004","0.0205","2.024","0.04626","0.005775","0.01995"
"0.175","1.855","0.02114","1.876","0.05911","0.006479","0.02498"
"0.2","1.743","0.02179","1.765","0.07287","0.007146","0.03026"
"0.25","1.587","0.02313","1.61","0.1026","0.008391","0.04145"
"0.3","1.484","0.02455","1.509","0.1348","0.009547","0.05321"
"0.35","1.414","0.02606","1.44","0.1687","0.01064","0.06536"
"0.4","1.363","0.02765","1.39","0.2041","0.01168","0.07777"
"0.45","1.325","0.02934","1.354","0.2406","0.01269","0.09035"
"0.5","1.296","0.03109","1.327","0.2779","0.01368","0.103"
"0.55","1.274","0.03291","1.307","0.3159","0.01464","0.1158"
"0.6","1.257","0.03479","1.292","0.3543","0.01559","0.1285"
"0.7","1.234","0.03869","1.272","0.4324","0.01746","0.1541"
"0.8","1.219","0.04277","1.262","0.5113","0.0193","0.1796"
"0.9","1.211","0.04701","1.258","0.5907","0.02111","0.205"
"1","1.206","0.05139","1.258","0.6702","0.02291","0.2303"
"1.25","1.204","0.0629","1.267","0.8684","0.02738","0.2933"
"1.5","1.209","0.07509","1.284","1.064","0.03182","0.3559"
"1.75","1.217","0.0878","1.305","1.258","0.03626","0.4183"
"2","1.227","0.101","1.327","1.447","0.04068","0.4804"
"2.5","1.245","0.1283","1.374","1.818","0.0495","0.6028"
"3","1.263","0.1569","1.42","2.176","0.05825","0.7212"
"3.5","1.279","0.1863","1.465","2.522","0.0669","0.8346"
"4","1.293","0.2164","1.51","2.859","0.07545","0.9426"
"4.5","1.306","0.2471","1.553","3.185","0.08387","1.045"
"5","1.318","0.2785","1.597","3.503","0.09216","1.143"
"5.5","1.329","0.3102","1.639","3.812","0.1003","1.236"
"6","1.339","0.3425","1.681","4.113","0.1083","1.324"
"7","1.356","0.4081","1.764","4.693","0.124","1.488"
"8","1.371","0.4749","1.846","5.248","0.139","1.638"
"9","1.384","0.5429","1.927","5.778","0.1535","1.776"
"10","1.395","0.6118","2.007","6.286","0.1675","1.904"
"12.5","1.42","0.7873","2.207","7.474","0.2003","2.185"
"15","1.439","0.9667","2.406","8.558","0.2302","2.425"
"17.5","1.455","1.149","2.604","9.557","0.2576","2.635"
"20","1.469","1.334","2.803","10.48","0.2828","2.821"
"25","1.492","1.709","3.2","12.15","0.3274","3.142"
"30","1.51","2.09","3.599","13.62","0.3659","3.413"
"35","1.524","2.475","3.999","14.94","0.3994","3.65"
"40","1.537","2.864","4.401","16.13","0.4288","3.86"
"45","1.548","3.256","4.803","17.22","0.455","4.05"
"50","1.557","3.649","5.206","18.22","0.4785","4.223"
"55","1.565","4.045","5.61","19.14","0.4997","4.382"
"60","1.573","4.443","6.015","20","0.5189","4.53"
"70","1.586","5.242","6.827","21.56","0.5524","4.796"
"80","1.597","6.045","7.641","22.95","0.5808","5.031"
"90","1.606","6.851","8.457","24.19","0.6053","5.24"
"100","1.614","7.66","9.274","25.32","0.6266","5.43"
"125","1.632","9.693","11.32","27.75","0.6696","5.838"
"150","1.645","11.73","13.38","29.78","0.7025","6.175"
"175","1.657","13.78","15.44","31.52","0.7286","6.463"
"200","1.667","15.84","17.51","33.04","0.7499","6.714"
"250","1.683","19.96","21.64","35.6","0.7828","7.137"
"300","1.696","24.09","25.79","37.72","0.8071","7.486"
"350","1.707","28.23","29.94","39.52","0.8259","7.783"
"400","1.716","32.38","34.1","41.08","0.841","8.042"
"450","1.725","36.54","38.26","42.46","0.8533","8.271"
"500","1.732","40.69","42.42","43.7","0.8637","8.477"
"550","1.738","44.85","46.59","44.83","0.8726","8.664"
"600","1.744","49.02","50.76","45.86","0.8802","8.835"
"700","1.755","57.35","59.11","47.68","0.8928","9.139"
"800","1.764","65.69","67.46","49.26","0.9027","9.403"
"900","1.772","74.04","75.81","50.66","0.9107","9.636"
"1000","1.779","82.4","84.17","51.91","0.9175","9.845"
