"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.75","0.01645","10.76","0.0005862","0.0007577","0.0006965"
"0.0125","9.262","0.01769","9.279","0.0008373","0.0009498","0.000885"
"0.015","8.185","0.01869","8.204","0.001124","0.00114","0.001079"
"0.0175","7.365","0.01951","7.385","0.001446","0.001329","0.001279"
"0.02","6.718","0.02021","6.738","0.001801","0.001515","0.001484"
"0.025","5.758","0.02134","5.78","0.002605","0.001882","0.00191"
"0.03","5.077","0.02224","5.099","0.003529","0.00224","0.002358"
"0.035","4.566","0.02299","4.589","0.004564","0.002589","0.002826"
"0.04","4.168","0.02364","4.192","0.005706","0.002932","0.003316"
"0.045","3.849","0.02422","3.873","0.006948","0.003267","0.003825"
"0.05","3.587","0.02473","3.611","0.008286","0.003595","0.004355"
"0.055","3.367","0.0252","3.392","0.009716","0.003918","0.004904"
"0.06","3.18","0.02564","3.206","0.01123","0.004234","0.005472"
"0.07","2.88","0.02642","2.906","0.01452","0.00485","0.006666"
"0.08","2.648","0.02713","2.675","0.01811","0.005446","0.007934"
"0.09","2.464","0.02778","2.492","0.02198","0.006024","0.009274"
"0.1","2.314","0.02838","2.343","0.02613","0.006585","0.01069"
"0.125","2.039","0.02975","2.069","0.03752","0.007921","0.01451"
"0.15","1.852","0.031","1.883","0.05022","0.009174","0.01875"
"0.175","1.716","0.03216","1.749","0.06402","0.01035","0.02338"
"0.2","1.614","0.03328","1.648","0.07877","0.01147","0.02838"
"0.25","1.473","0.0355","1.508","0.1106","0.01356","0.03941"
"0.3","1.38","0.03776","1.417","0.1449","0.01548","0.05166"
"0.35","1.315","0.0401","1.355","0.181","0.01729","0.06491"
"0.4","1.269","0.04252","1.311","0.2185","0.019","0.07897"
"0.45","1.235","0.04505","1.28","0.2571","0.02065","0.09364"
"0.5","1.209","0.04766","1.256","0.2966","0.02224","0.1088"
"0.55","1.189","0.05035","1.239","0.3367","0.02379","0.1242"
"0.6","1.174","0.05311","1.227","0.3772","0.02531","0.1399"
"0.7","1.152","0.05881","1.211","0.4593","0.02825","0.1717"
"0.8","1.139","0.06472","1.204","0.5422","0.03112","0.2036"
"0.9","1.132","0.07083","1.203","0.6253","0.03392","0.2354"
"1","1.128","0.07712","1.205","0.7084","0.03667","0.2669"
"1.25","1.127","0.09354","1.22","0.9147","0.04341","0.3435"
"1.5","1.132","0.1108","1.243","1.118","0.04999","0.4167"
"1.75","1.14","0.1287","1.269","1.317","0.05647","0.4863"
"2","1.149","0.1472","1.296","1.512","0.06285","0.5524"
"2.5","1.168","0.1855","1.354","1.889","0.07535","0.6753"
"3","1.186","0.2251","1.411","2.251","0.08751","0.7873"
"3.5","1.203","0.2659","1.469","2.598","0.09935","0.8903"
"4","1.218","0.3075","1.525","2.932","0.1109","0.9856"
"4.5","1.232","0.3499","1.582","3.254","0.122","1.074"
"5","1.244","0.393","1.637","3.565","0.1329","1.158"
"5.5","1.256","0.4366","1.692","3.865","0.1435","1.236"
"6","1.266","0.4808","1.747","4.156","0.1537","1.311"
"7","1.285","0.5706","1.855","4.711","0.1734","1.449"
"8","1.301","0.662","1.963","5.235","0.1921","1.576"
"9","1.315","0.7547","2.07","5.731","0.2097","1.695"
"10","1.327","0.8486","2.176","6.202","0.2265","1.805"
"12.5","1.353","1.087","2.44","7.287","0.2649","2.056"
"15","1.373","1.331","2.704","8.259","0.299","2.278"
"17.5","1.39","1.578","2.968","9.141","0.3295","2.478"
"20","1.404","1.829","3.233","9.948","0.357","2.658"
"25","1.426","2.338","3.764","11.38","0.4045","2.974"
"30","1.444","2.854","4.297","12.62","0.4443","3.244"
"35","1.458","3.376","4.834","13.72","0.4783","3.48"
"40","1.471","3.902","5.373","14.7","0.5076","3.689"
"45","1.481","4.433","5.914","15.59","0.5332","3.877"
"50","1.49","4.966","6.457","16.4","0.5558","4.049"
"55","1.499","5.503","7.002","17.14","0.576","4.206"
"60","1.506","6.041","7.547","17.83","0.5941","4.351"
"70","1.519","7.124","8.643","19.06","0.6254","4.612"
"80","1.53","8.213","9.743","20.15","0.6514","4.843"
"90","1.54","9.307","10.85","21.13","0.6736","5.05"
"100","1.548","10.4","11.95","22","0.6927","5.237"
"125","1.565","13.16","14.73","23.88","0.7307","5.64"
"150","1.579","15.93","17.51","25.44","0.7593","5.975"
"175","1.59","18.72","20.31","26.76","0.7817","6.262"
"200","1.6","21.5","23.1","27.92","0.7998","6.513"
"250","1.616","27.1","28.71","29.85","0.8274","6.936"
"300","1.628","32.7","34.33","31.45","0.8475","7.284"
"350","1.639","38.32","39.96","32.79","0.863","7.581"
"400","1.648","43.95","45.6","33.96","0.8753","7.839"
"450","1.656","49.58","51.24","35","0.8854","8.067"
"500","1.664","55.22","56.88","35.92","0.8938","8.272"
"550","1.67","60.86","62.53","36.76","0.9009","8.458"
"600","1.676","66.51","68.19","37.53","0.907","8.629"
"700","1.686","77.81","79.5","38.88","0.917","8.931"
"800","1.695","89.13","90.82","40.06","0.9249","9.194"
"900","1.703","100.4","102.1","41.1","0.9313","9.427"
"1000","1.71","111.8","113.5","42.03","0.9366","9.635"
