"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.67","0.01553","11.68","0.0005324","0.0006641","0.003163"
"0.0125","10.03","0.0166","10.04","0.000764","0.0008297","0.004018"
"0.015","8.845","0.01745","8.862","0.00103","0.0009933","0.004896"
"0.0175","7.947","0.01814","7.965","0.001328","0.001155","0.005798"
"0.02","7.24","0.01872","7.259","0.001657","0.001314","0.006721"
"0.025","6.193","0.01966","6.213","0.002404","0.001626","0.008631"
"0.03","5.453","0.0204","5.473","0.003264","0.00193","0.01062"
"0.035","4.899","0.021","4.92","0.004229","0.002225","0.01268"
"0.04","4.467","0.02152","4.489","0.005295","0.002514","0.0148"
"0.045","4.122","0.02197","4.144","0.006456","0.002796","0.01697"
"0.05","3.838","0.02237","3.86","0.007707","0.003071","0.0192"
"0.055","3.6","0.02274","3.623","0.009045","0.003341","0.02146"
"0.06","3.399","0.02308","3.422","0.01047","0.003605","0.02376"
"0.07","3.074","0.02368","3.098","0.01354","0.004118","0.02845"
"0.08","2.825","0.02423","2.849","0.01691","0.004613","0.03323"
"0.09","2.626","0.02473","2.651","0.02056","0.005091","0.03806"
"0.1","2.465","0.02519","2.49","0.02445","0.005555","0.04293"
"0.125","2.168","0.02627","2.195","0.03519","0.006655","0.05516"
"0.15","1.967","0.02726","1.994","0.04717","0.007685","0.06735"
"0.175","1.821","0.0282","1.849","0.06021","0.008654","0.07944"
"0.2","1.711","0.02913","1.74","0.07416","0.009573","0.0914"
"0.25","1.558","0.031","1.589","0.1043","0.01129","0.1149"
"0.3","1.458","0.03292","1.491","0.1369","0.01287","0.1379"
"0.35","1.389","0.03495","1.424","0.1712","0.01436","0.1603"
"0.4","1.339","0.03706","1.376","0.207","0.01579","0.1824"
"0.45","1.302","0.03928","1.341","0.2438","0.01716","0.204"
"0.5","1.274","0.04158","1.315","0.2815","0.01849","0.2252"
"0.55","1.252","0.04396","1.296","0.3198","0.01979","0.2462"
"0.6","1.235","0.04641","1.282","0.3586","0.02106","0.2667"
"0.7","1.212","0.05148","1.263","0.4372","0.02355","0.3069"
"0.8","1.198","0.05677","1.254","0.5167","0.02598","0.3459"
"0.9","1.189","0.06225","1.251","0.5966","0.02837","0.3838"
"1","1.184","0.06789","1.252","0.6765","0.03073","0.4206"
"1.25","1.182","0.08267","1.265","0.8753","0.03655","0.5084"
"1.5","1.187","0.09824","1.285","1.071","0.04227","0.5905"
"1.75","1.195","0.1145","1.309","1.264","0.04794","0.6677"
"2","1.204","0.1312","1.335","1.453","0.05356","0.7407"
"2.5","1.222","0.1659","1.388","1.821","0.06464","0.8761"
"3","1.24","0.202","1.442","2.174","0.07551","1"
"3.5","1.257","0.2391","1.496","2.514","0.08615","1.116"
"4","1.272","0.2771","1.549","2.843","0.09656","1.225"
"4.5","1.285","0.3158","1.601","3.16","0.1067","1.328"
"5","1.297","0.3551","1.652","3.468","0.1167","1.426"
"5.5","1.308","0.3951","1.703","3.766","0.1264","1.52"
"6","1.318","0.4355","1.753","4.055","0.1359","1.609"
"7","1.335","0.5178","1.853","4.61","0.1542","1.778"
"8","1.35","0.6015","1.952","5.136","0.1717","1.933"
"9","1.363","0.6865","2.05","5.636","0.1883","2.076"
"10","1.375","0.7726","2.147","6.112","0.2043","2.209"
"12.5","1.398","0.9919","2.39","7.215","0.241","2.506"
"15","1.417","1.216","2.633","8.211","0.274","2.761"
"17.5","1.433","1.443","2.876","9.12","0.3038","2.984"
"20","1.446","1.674","3.12","9.954","0.3308","3.183"
"25","1.468","2.141","3.609","11.44","0.3778","3.525"
"30","1.485","2.616","4.101","12.74","0.4176","3.814"
"35","1.499","3.096","4.595","13.89","0.4517","4.065"
"40","1.511","3.581","5.091","14.93","0.4814","4.288"
"45","1.521","4.069","5.59","15.86","0.5075","4.488"
"50","1.53","4.559","6.089","16.72","0.5306","4.669"
"55","1.538","5.053","6.591","17.51","0.5512","4.836"
"60","1.545","5.548","7.094","18.24","0.5698","4.989"
"70","1.558","6.544","8.102","19.56","0.6021","5.265"
"80","1.568","7.545","9.114","20.72","0.6291","5.507"
"90","1.578","8.551","10.13","21.76","0.6521","5.723"
"100","1.586","9.56","11.15","22.7","0.672","5.918"
"125","1.603","12.1","13.7","24.72","0.7119","6.335"
"150","1.616","14.64","16.26","26.4","0.7419","6.679"
"175","1.628","17.2","18.83","27.82","0.7656","6.972"
"200","1.638","19.76","21.4","29.07","0.7847","7.227"
"250","1.654","24.91","26.56","31.16","0.814","7.657"
"300","1.667","30.06","31.73","32.88","0.8355","8.01"
"350","1.678","35.23","36.9","34.34","0.852","8.311"
"400","1.687","40.4","42.09","35.61","0.8652","8.573"
"450","1.695","45.58","47.28","36.73","0.8759","8.804"
"500","1.703","50.77","52.47","37.73","0.8849","9.012"
"550","1.709","55.96","57.67","38.64","0.8926","9.2"
"600","1.715","61.15","62.87","39.47","0.8992","9.372"
"700","1.726","71.55","73.27","40.94","0.9099","9.677"
"800","1.735","81.95","83.69","42.22","0.9184","9.942"
"900","1.743","92.37","94.11","43.35","0.9253","10.18"
"1000","1.75","102.8","104.5","44.35","0.931","10.39"
