"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.491","0.02036","8.511","0.0008151","0.001175","0.0003633"
"0.0125","7.408","0.0224","7.431","0.00113","0.001481","0.0004616"
"0.015","6.605","0.02408","6.629","0.001487","0.001788","0.000563"
"0.0175","5.984","0.02552","6.009","0.001884","0.002096","0.0006673"
"0.02","5.488","0.02676","5.514","0.002319","0.002402","0.0007748"
"0.025","4.742","0.02887","4.771","0.003297","0.003013","0.0009989"
"0.03","4.206","0.03063","4.236","0.004412","0.003618","0.001236"
"0.035","3.8","0.03214","3.832","0.005655","0.004217","0.001485"
"0.04","3.482","0.03348","3.516","0.007019","0.004809","0.001748"
"0.045","3.225","0.03469","3.26","0.008497","0.005395","0.002024"
"0.05","3.013","0.03581","3.049","0.01008","0.005975","0.002314"
"0.055","2.835","0.03684","2.872","0.01178","0.006549","0.002617"
"0.06","2.683","0.0378","2.721","0.01356","0.007117","0.002935"
"0.07","2.438","0.03958","2.478","0.01742","0.008234","0.003614"
"0.08","2.248","0.0412","2.289","0.02163","0.009329","0.004354"
"0.09","2.097","0.04268","2.14","0.02615","0.0104","0.005157"
"0.1","1.973","0.04406","2.018","0.03097","0.01145","0.006026"
"0.125","1.746","0.04718","1.793","0.04416","0.01398","0.008506"
"0.15","1.59","0.04994","1.64","0.05877","0.01639","0.01145"
"0.175","1.478","0.05248","1.53","0.07458","0.01867","0.01488"
"0.2","1.393","0.05486","1.448","0.09139","0.02085","0.01878"
"0.25","1.275","0.05937","1.334","0.1275","0.02493","0.02779"
"0.3","1.197","0.06373","1.261","0.1661","0.02871","0.038"
"0.35","1.144","0.06806","1.212","0.2066","0.03223","0.04893"
"0.4","1.106","0.07237","1.178","0.2485","0.03555","0.06028"
"0.45","1.078","0.07673","1.154","0.2914","0.03871","0.07186"
"0.5","1.057","0.08112","1.138","0.335","0.04173","0.08355"
"0.55","1.041","0.08556","1.126","0.3792","0.04463","0.0953"
"0.6","1.029","0.09004","1.119","0.4238","0.04743","0.1071"
"0.7","1.012","0.0991","1.111","0.5135","0.05278","0.1305"
"0.8","1.003","0.1083","1.111","0.6036","0.05785","0.1539"
"0.9","0.9981","0.1177","1.116","0.6934","0.06271","0.177"
"1","0.9962","0.1272","1.123","0.7827","0.06737","0.1998"
"1.25","0.9986","0.1517","1.15","1.003","0.07843","0.2559"
"1.5","1.006","0.1769","1.183","1.217","0.08882","0.3105"
"1.75","1.016","0.2029","1.218","1.425","0.09872","0.3639"
"2","1.026","0.2293","1.255","1.628","0.1082","0.4163"
"2.5","1.046","0.2835","1.329","2.015","0.1262","0.5179"
"3","1.064","0.3392","1.403","2.381","0.1431","0.6151"
"3.5","1.08","0.3961","1.477","2.728","0.1591","0.7077"
"4","1.095","0.4539","1.549","3.059","0.1743","0.7957"
"4.5","1.109","0.5127","1.621","3.374","0.1888","0.8791"
"5","1.121","0.5722","1.693","3.676","0.2027","0.9584"
"5.5","1.132","0.6323","1.764","3.965","0.2159","1.034"
"6","1.142","0.6932","1.835","4.243","0.2286","1.105"
"7","1.16","0.8165","1.976","4.768","0.2525","1.24"
"8","1.175","0.9417","2.117","5.257","0.2746","1.363"
"9","1.189","1.069","2.257","5.714","0.2951","1.477"
"10","1.201","1.197","2.398","6.144","0.3142","1.583"
"12.5","1.226","1.523","2.749","7.117","0.3569","1.821"
"15","1.246","1.856","3.101","7.973","0.3936","2.027"
"17.5","1.262","2.193","3.455","8.736","0.4255","2.21"
"20","1.276","2.535","3.811","9.425","0.4536","2.374"
"25","1.299","3.228","4.527","10.63","0.5009","2.66"
"30","1.318","3.932","5.249","11.65","0.5394","2.904"
"35","1.332","4.644","5.976","12.54","0.5714","3.119"
"40","1.345","5.362","6.707","13.33","0.5986","3.31"
"45","1.356","6.086","7.442","14.04","0.622","3.484"
"50","1.365","6.815","8.18","14.68","0.6423","3.643"
"55","1.374","7.547","8.921","15.27","0.6603","3.79"
"60","1.381","8.283","9.665","15.81","0.6762","3.926"
"70","1.395","9.763","11.16","16.77","0.7034","4.172"
"80","1.406","11.25","12.66","17.61","0.7258","4.39"
"90","1.415","12.75","14.16","18.35","0.7445","4.586"
"100","1.424","14.25","15.67","19.03","0.7606","4.764"
"125","1.441","18.02","19.47","20.45","0.7921","5.148"
"150","1.455","21.82","23.27","21.63","0.8154","5.468"
"175","1.466","25.62","27.09","22.62","0.8335","5.744"
"200","1.476","29.44","30.92","23.49","0.8479","5.985"
"250","1.491","37.09","38.58","24.93","0.8698","6.395"
"300","1.504","44.76","46.26","26.11","0.8856","6.735"
"350","1.514","52.43","53.95","27.11","0.8976","7.025"
"400","1.523","60.12","61.65","27.98","0.9071","7.278"
"450","1.531","67.81","69.35","28.74","0.9149","7.503"
"500","1.538","75.52","77.06","29.43","0.9213","7.705"
"550","1.544","83.23","84.77","30.04","0.9267","7.889"
"600","1.55","90.94","92.49","30.61","0.9313","8.057"
"700","1.56","106.4","107.9","31.61","0.9389","8.356"
"800","1.569","121.8","123.4","32.48","0.9449","8.615"
"900","1.576","137.3","138.9","33.24","0.9497","8.845"
"1000","1.583","152.7","154.3","33.92","0.9536","9.051"
