"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","10.54","0.01686","10.55","0.0005971","0.0007837","0"
"0.0125","9.078","0.0182","9.097","0.0008531","0.0009869","0"
"0.015","8.022","0.01927","8.041","0.001146","0.001189","0"
"0.0175","7.217","0.02016","7.238","0.001474","0.001389","0"
"0.02","6.583","0.02092","6.604","0.001836","0.001588","0"
"0.025","5.641","0.02216","5.664","0.002657","0.001979","0"
"0.03","4.974","0.02315","4.997","0.0036","0.002361","0"
"0.035","4.473","0.02399","4.497","0.004656","0.002736","0"
"0.04","4.083","0.02471","4.108","0.005821","0.003104","0"
"0.045","3.77","0.02535","3.796","0.007089","0.003464","0"
"0.05","3.513","0.02593","3.539","0.008454","0.003818","0"
"0.055","3.298","0.02646","3.324","0.009913","0.004166","0"
"0.06","3.115","0.02695","3.142","0.01146","0.004508","0"
"0.07","2.821","0.02784","2.849","0.01481","0.005175","0"
"0.08","2.594","0.02864","2.623","0.01847","0.005822","0"
"0.09","2.414","0.02937","2.443","0.02243","0.00645","0"
"0.1","2.267","0.03006","2.298","0.02665","0.00706","0"
"0.125","1.998","0.03161","2.03","0.03827","0.008517","0"
"0.15","1.815","0.033","1.848","0.05121","0.009886","0"
"0.175","1.683","0.03429","1.717","0.06527","0.01118","0"
"0.2","1.584","0.03554","1.619","0.08028","0.0124","0"
"0.25","1.445","0.03797","1.483","0.1126","0.01468","0"
"0.3","1.355","0.04042","1.396","0.1475","0.01678","0"
"0.35","1.293","0.04295","1.336","0.1841","0.01875","0"
"0.4","1.249","0.04555","1.294","0.2222","0.02062","0"
"0.45","1.216","0.04824","1.264","0.2613","0.0224","0"
"0.5","1.192","0.05103","1.243","0.3012","0.02413","0"
"0.55","1.173","0.05389","1.227","0.3417","0.02579","0"
"0.6","1.159","0.05681","1.216","0.3826","0.02742","0"
"0.7","1.14","0.06285","1.203","0.4654","0.03058","0"
"0.8","1.13","0.0691","1.199","0.5487","0.03362","0"
"0.9","1.124","0.07555","1.2","0.6321","0.03659","0"
"1","1.122","0.08217","1.204","0.7153","0.03949","0"
"1.25","1.126","0.09943","1.225","0.9213","0.04654","0"
"1.5","1.135","0.1176","1.253","1.123","0.05337","0"
"1.75","1.147","0.1364","1.284","1.32","0.06004","0"
"2","1.16","0.1557","1.316","1.513","0.06657","0"
"2.5","1.186","0.1958","1.382","1.883","0.07927","0"
"3","1.211","0.2373","1.448","2.237","0.09154","0"
"3.5","1.233","0.2798","1.513","2.574","0.1034","0"
"4","1.254","0.3233","1.577","2.898","0.1148","0"
"4.5","1.273","0.3675","1.64","3.209","0.1259","0"
"5","1.29","0.4124","1.703","3.508","0.1366","0"
"5.5","1.306","0.458","1.764","3.796","0.147","0"
"6","1.321","0.504","1.825","4.075","0.1571","0"
"7","1.348","0.5976","1.946","4.606","0.1764","0"
"8","1.372","0.6927","2.065","5.104","0.1945","0"
"9","1.393","0.7893","2.182","5.575","0.2117","0"
"10","1.412","0.887","2.299","6.022","0.2279","0"
"12.5","1.453","1.136","2.589","7.046","0.2649","0"
"15","1.487","1.389","2.876","7.962","0.2977","0"
"17.5","1.515","1.647","3.162","8.79","0.3269","0"
"20","1.54","1.907","3.447","9.547","0.3532","0.002396"
"25","1.581","2.436","4.017","10.89","0.3988","0.02422"
"30","1.613","2.973","4.586","12.05","0.437","0.05614"
"35","1.64","3.517","5.156","13.08","0.4697","0.09173"
"40","1.662","4.064","5.727","14","0.498","0.1286"
"45","1.682","4.616","6.299","14.83","0.5229","0.166"
"50","1.7","5.171","6.871","15.59","0.5449","0.2033"
"55","1.716","5.73","7.445","16.29","0.5646","0.2405"
"60","1.73","6.29","8.02","16.94","0.5823","0.2775"
"70","1.754","7.417","9.172","18.1","0.613","0.3504"
"80","1.775","8.551","10.33","19.13","0.6387","0.4215"
"90","1.793","9.689","11.48","20.05","0.6606","0.4905"
"100","1.809","10.83","12.64","20.88","0.6796","0.5571"
"125","1.841","13.7","15.54","22.66","0.7177","0.7131"
"150","1.867","16.59","18.46","24.13","0.7465","0.8546"
"175","1.888","19.49","21.37","25.39","0.7693","0.9836"
"200","1.905","22.39","24.3","26.49","0.7877","1.102"
"250","1.934","28.21","30.15","28.33","0.816","1.313"
"300","1.957","34.05","36.01","29.85","0.8368","1.499"
"350","1.976","39.9","41.88","31.13","0.8529","1.665"
"400","1.992","45.76","47.75","32.25","0.8658","1.816"
"450","2.005","51.63","53.63","33.24","0.8763","1.956"
"500","2.017","57.5","59.52","34.12","0.8851","2.086"
"550","2.027","63.37","65.4","34.92","0.8926","2.208"
"600","2.036","69.26","71.29","35.66","0.8991","2.322"
"700","2.052","81.02","83.08","36.95","0.9097","2.532"
"800","2.066","92.8","94.87","38.08","0.9181","2.722"
"900","2.077","104.6","106.7","39.07","0.9249","2.894"
"1000","2.087","116.4","118.5","39.96","0.9306","3.052"
