"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.218","0.01929","9.237","0.0007195","0.001023","0.001135"
"0.0125","8.006","0.02107","8.027","0.001011","0.00129","0.001448"
"0.015","7.114","0.02253","7.137","0.001342","0.001557","0.001772"
"0.0175","6.429","0.02375","6.453","0.001711","0.001823","0.002109"
"0.02","5.884","0.02481","5.909","0.002116","0.002087","0.002458"
"0.025","5.069","0.02657","5.096","0.003031","0.002612","0.003196"
"0.03","4.486","0.02802","4.514","0.004076","0.003128","0.003988"
"0.035","4.047","0.02925","4.076","0.005243","0.003638","0.004837"
"0.04","3.703","0.03034","3.733","0.006527","0.00414","0.005747"
"0.045","3.425","0.03131","3.457","0.00792","0.004634","0.00672"
"0.05","3.197","0.03221","3.229","0.009418","0.005123","0.007759"
"0.055","3.006","0.03303","3.039","0.01102","0.005605","0.008868"
"0.06","2.842","0.0338","2.876","0.01271","0.00608","0.01005"
"0.07","2.579","0.03522","2.614","0.01636","0.007014","0.01265"
"0.08","2.375","0.0365","2.412","0.02035","0.007926","0.01557"
"0.09","2.213","0.03767","2.251","0.02465","0.008816","0.01884"
"0.1","2.081","0.03877","2.12","0.02923","0.009686","0.02246"
"0.125","1.837","0.04123","1.878","0.0418","0.01178","0.03299"
"0.15","1.67","0.04342","1.714","0.05577","0.01376","0.04519"
"0.175","1.549","0.04542","1.595","0.07092","0.01564","0.05831"
"0.2","1.458","0.0473","1.506","0.08707","0.01743","0.07171"
"0.25","1.331","0.05092","1.382","0.1218","0.02078","0.09808"
"0.3","1.248","0.05445","1.303","0.1592","0.02388","0.1234"
"0.35","1.191","0.05799","1.249","0.1984","0.02677","0.1476"
"0.4","1.149","0.06159","1.211","0.2391","0.02951","0.1709"
"0.45","1.119","0.06524","1.184","0.2809","0.03212","0.1934"
"0.5","1.096","0.06897","1.165","0.3235","0.03462","0.2153"
"0.55","1.078","0.07275","1.151","0.3667","0.03704","0.2365"
"0.6","1.065","0.07659","1.141","0.4104","0.03939","0.2572"
"0.7","1.046","0.08444","1.131","0.4985","0.04389","0.2971"
"0.8","1.035","0.09249","1.128","0.5871","0.0482","0.3351"
"0.9","1.029","0.1007","1.13","0.6757","0.05236","0.3715"
"1","1.026","0.1091","1.135","0.764","0.05639","0.4064"
"1.25","1.027","0.1309","1.157","0.9822","0.06604","0.4879"
"1.5","1.033","0.1535","1.186","1.196","0.07525","0.5623"
"1.75","1.041","0.1768","1.218","1.404","0.08412","0.6309"
"2","1.051","0.2008","1.252","1.606","0.09271","0.6945"
"2.5","1.07","0.25","1.32","1.995","0.1092","0.8095"
"3","1.089","0.3008","1.389","2.364","0.1248","0.9116"
"3.5","1.105","0.3527","1.458","2.715","0.1398","1.004"
"4","1.121","0.4056","1.526","3.051","0.154","1.088"
"4.5","1.135","0.4594","1.594","3.371","0.1677","1.166"
"5","1.148","0.5139","1.661","3.678","0.1808","1.238"
"5.5","1.159","0.5691","1.728","3.973","0.1934","1.307"
"6","1.17","0.6248","1.795","4.257","0.2055","1.371"
"7","1.189","0.738","1.927","4.795","0.2284","1.49"
"8","1.206","0.853","2.059","5.297","0.2497","1.599"
"9","1.221","0.9695","2.19","5.767","0.2696","1.7"
"10","1.234","1.087","2.321","6.211","0.2882","1.794"
"12.5","1.261","1.387","2.648","7.219","0.33","2.005"
"15","1.283","1.692","2.975","8.109","0.3662","2.188"
"17.5","1.301","2.002","3.303","8.906","0.3979","2.352"
"20","1.316","2.316","3.632","9.628","0.426","2.498"
"25","1.341","2.953","4.294","10.89","0.4735","2.755"
"30","1.361","3.598","4.96","11.97","0.5125","2.976"
"35","1.378","4.252","5.63","12.92","0.5451","3.171"
"40","1.392","4.911","6.303","13.76","0.573","3.345"
"45","1.404","5.576","6.979","14.51","0.597","3.503"
"50","1.414","6.244","7.658","15.2","0.618","3.649"
"55","1.424","6.915","8.339","15.82","0.6366","3.784"
"60","1.432","7.59","9.022","16.4","0.6532","3.91"
"70","1.446","8.947","10.39","17.43","0.6815","4.139"
"80","1.459","10.31","11.77","18.33","0.7049","4.344"
"90","1.469","11.68","13.15","19.14","0.7246","4.529"
"100","1.478","13.06","14.54","19.86","0.7415","4.697"
"125","1.497","16.52","18.01","21.4","0.7749","5.063"
"150","1.512","19.99","21.5","22.67","0.7997","5.37"
"175","1.524","23.48","25.01","23.75","0.8189","5.634"
"200","1.535","26.98","28.51","24.68","0.8344","5.867"
"250","1.552","33.99","35.54","26.25","0.8579","6.263"
"300","1.565","41.01","42.58","27.54","0.8749","6.593"
"350","1.576","48.05","49.63","28.62","0.8879","6.876"
"400","1.586","55.1","56.68","29.56","0.8982","7.124"
"450","1.594","62.15","63.75","30.4","0.9065","7.345"
"500","1.601","69.21","70.82","31.14","0.9135","7.543"
"550","1.608","76.28","77.89","31.81","0.9194","7.724"
"600","1.614","83.35","84.96","32.43","0.9245","7.889"
"700","1.624","97.5","99.12","33.52","0.9328","8.184"
"800","1.633","111.7","113.3","34.46","0.9392","8.441"
"900","1.641","125.8","127.5","35.29","0.9445","8.669"
"1000","1.648","140","141.7","36.03","0.9488","8.873"
