"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","11.95","0.01477","11.97","0.0005154","0.0006173","0.0006053"
"0.0125","10.26","0.01574","10.28","0.0007417","0.0007705","0.0007812"
"0.015","9.04","0.0165","9.056","0.001001","0.0009216","0.0009665"
"0.0175","8.115","0.01712","8.132","0.001293","0.001071","0.001161"
"0.02","7.388","0.01764","7.406","0.001616","0.001217","0.001365"
"0.025","6.315","0.01848","6.333","0.002349","0.001504","0.001798"
"0.03","5.556","0.01913","5.575","0.003193","0.001783","0.002265"
"0.035","4.989","0.01965","5.008","0.004141","0.002054","0.002765"
"0.04","4.548","0.0201","4.568","0.005188","0.002317","0.003295"
"0.045","4.195","0.0205","4.215","0.006328","0.002575","0.003856"
"0.05","3.905","0.02084","3.926","0.007559","0.002826","0.004445"
"0.055","3.663","0.02116","3.684","0.008874","0.003072","0.005062"
"0.06","3.457","0.02145","3.478","0.01027","0.003312","0.005705"
"0.07","3.126","0.02197","3.148","0.0133","0.003778","0.007067"
"0.08","2.872","0.02244","2.895","0.01662","0.004227","0.008523"
"0.09","2.67","0.02287","2.693","0.0202","0.00466","0.01007"
"0.1","2.506","0.02328","2.529","0.02404","0.005079","0.01169"
"0.125","2.205","0.02421","2.229","0.03461","0.006072","0.01606"
"0.15","2","0.02508","2.025","0.0464","0.006999","0.02082"
"0.175","1.852","0.02592","1.878","0.05924","0.007871","0.02591"
"0.2","1.741","0.02675","1.767","0.07298","0.008697","0.03128"
"0.25","1.586","0.02844","1.614","0.1027","0.01024","0.04269"
"0.3","1.484","0.0302","1.514","0.1347","0.01166","0.0548"
"0.35","1.414","0.03205","1.446","0.1686","0.013","0.06744"
"0.4","1.363","0.034","1.397","0.2038","0.01428","0.0805"
"0.45","1.326","0.03604","1.362","0.24","0.01552","0.09389"
"0.5","1.298","0.03816","1.336","0.2771","0.01672","0.1075"
"0.55","1.276","0.04036","1.316","0.3148","0.01789","0.1214"
"0.6","1.259","0.04263","1.302","0.353","0.01904","0.1354"
"0.7","1.236","0.04733","1.283","0.4305","0.0213","0.1638"
"0.8","1.221","0.05224","1.274","0.5087","0.0235","0.1924"
"0.9","1.213","0.05732","1.27","0.5874","0.02568","0.221"
"1","1.208","0.06257","1.271","0.6661","0.02783","0.2495"
"1.25","1.207","0.07631","1.283","0.862","0.03313","0.3196"
"1.5","1.212","0.09081","1.303","1.056","0.03838","0.3875"
"1.75","1.22","0.1059","1.326","1.246","0.04358","0.4529"
"2","1.229","0.1215","1.351","1.433","0.04875","0.5159"
"2.5","1.249","0.154","1.403","1.796","0.05898","0.6352"
"3","1.268","0.1877","1.455","2.146","0.06905","0.7473"
"3.5","1.284","0.2224","1.507","2.483","0.07895","0.8535"
"4","1.3","0.2579","1.558","2.81","0.08867","0.9548"
"4.5","1.313","0.2942","1.607","3.126","0.09819","1.052"
"5","1.326","0.331","1.657","3.432","0.1075","1.145"
"5.5","1.337","0.3684","1.705","3.73","0.1166","1.234"
"6","1.347","0.4063","1.753","4.019","0.1256","1.32"
"7","1.365","0.4834","1.848","4.574","0.1429","1.482"
"8","1.38","0.5619","1.942","5.102","0.1595","1.631"
"9","1.393","0.6417","2.035","5.605","0.1754","1.77"
"10","1.405","0.7225","2.127","6.086","0.1906","1.9"
"12.5","1.429","0.9282","2.357","7.202","0.226","2.188"
"15","1.448","1.138","2.587","8.214","0.2579","2.436"
"17.5","1.464","1.352","2.816","9.14","0.2869","2.654"
"20","1.478","1.568","3.046","9.993","0.3132","2.848"
"25","1.5","2.007","3.507","11.52","0.3595","3.182"
"30","1.517","2.453","3.97","12.86","0.3989","3.465"
"35","1.532","2.904","4.436","14.05","0.4329","3.71"
"40","1.544","3.359","4.903","15.12","0.4626","3.928"
"45","1.554","3.817","5.372","16.1","0.4888","4.125"
"50","1.564","4.278","5.842","16.99","0.5121","4.303"
"55","1.572","4.742","6.314","17.81","0.533","4.467"
"60","1.579","5.207","6.786","18.58","0.5518","4.618"
"70","1.592","6.142","7.734","19.96","0.5846","4.891"
"80","1.603","7.083","8.685","21.18","0.6122","5.13"
"90","1.612","8.027","9.639","22.27","0.6358","5.344"
"100","1.62","8.975","10.6","23.26","0.6562","5.537"
"125","1.638","11.35","12.99","25.38","0.6972","5.95"
"150","1.651","13.75","15.4","27.15","0.7284","6.292"
"175","1.663","16.15","17.81","28.66","0.7529","6.583"
"200","1.673","18.56","20.23","29.97","0.7728","6.837"
"250","1.689","23.38","25.07","32.19","0.8033","7.265"
"300","1.702","28.22","29.93","34.01","0.8258","7.617"
"350","1.713","33.07","34.79","35.56","0.8431","7.916"
"400","1.722","37.93","39.66","36.91","0.857","8.176"
"450","1.731","42.8","44.53","38.1","0.8683","8.407"
"500","1.738","47.67","49.4","39.16","0.8778","8.614"
"550","1.745","52.54","54.29","40.13","0.8858","8.802"
"600","1.751","57.42","59.17","41.01","0.8928","8.974"
"700","1.761","67.18","68.94","42.57","0.9042","9.279"
"800","1.77","76.95","78.72","43.93","0.9132","9.543"
"900","1.778","86.73","88.51","45.13","0.9204","9.777"
"1000","1.786","96.52","98.3","46.2","0.9265","9.987"
