"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.582","0.01494","4862","0","0","4866","4862","4861","C"
"0.0015","3.259","0.02356","1710","0","0","1713","1710","1710","C"
"0.002","2.963","0.031","796.8","0","0","799.8","796.9","796.6","C"
"0.003","2.463","0.04481","265.1","0","0","267.6","265.1","265","C"
"0.004","2.051","0.05716","119.7","0","0","121.8","119.8","119.7","C"
"0.004038","2.036","0.05759","116.6","0","0","118.7","116.7","116.6","C"
"0.004038","2.036","0.05759","1021","0","0","1023","1021","888.7","C"
"0.005","1.72","0.06795","600.7","0","0","602.5","600.8","537.3","C"
"0.006","1.465","0.07722","371.6","0","0","373.1","371.7","338.7","C"
"0.008","1.116","0.09173","171.4","0","0","172.7","171.5","160","C"
"0.01","0.8954","0.1024","92.41","0","0","93.41","92.51","87.44","C"
"0.015","0.5671","0.1206","29.11","0","0","29.79","29.23","28.04","C"
"0.02","0.3823","0.1322","12.55","0","0","13.06","12.68","12.2","C"
"0.03","0.2059","0.1439","3.729","0","0","4.079","3.873","3.665","C"
"0.04","0.1302","0.1481","1.552","0","0","1.83","1.7","1.538","C"
"0.05","0.0904","0.1491","0.78","0","0","1.019","0.9291","0.7822","C"
"0.06","0.06648","0.1486","0.4428","0","0","0.6579","0.5914","0.452","C"
"0.08","0.04012","0.1454","0.18","0","0","0.3655","0.3254","0.1958","C"
"0.1","0.02673","0.1411","0.08931","0","0","0.2571","0.2304","0.1085","C"
"0.15","0.01252","0.1298","0.025","0","0","0.1674","0.1548","0.04876","C"
"0.2","0.007228","0.1201","0.01022","0","0","0.1376","0.1303","0.03639","C"
"0.3","0.003288","0.1053","0.002999","0","0","0.1116","0.1083","0.03146","C"
"0.4","0.001868","0.09465","0.001312","0","0","0.09783","0.09596","0.0306","C"
"0.5","0.001201","0.0866","0.0007157","0","0","0.08851","0.08731","0.03019","C"
"0.6","0.000836","0.08019","0.0004488","0","0","0.08148","0.08064","0.02979","C"
"0.8","0.0004715","0.07052","0.0002279","0","0","0.07122","0.07075","0.02884","C"
"1","0.0003022","0.06344","0.0001417","0","0","0.06388","0.06358","0.0278","C"
"1.022","0.0002894","0.06278","0.0001342","0","0","0.0632","0.06291","0.02767","I"
"1.25","0.0001935","0.05675","9.086E-05","5.363E-05","0","0.05709","0.0569","0.0265","C"
