"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.3","0.004251","7524","0","0","7539","7524"
"0.001074","14.21","0.004679","6643","0","0","6657","6643"
"0.001154","14.12","0.005138","5867","0","0","5881","5867"
"0.001154","14.12","0.005138","6228","0","0","6242","6228"
"0.001289","13.96","0.005894","5046","0","0","5060","5046"
"0.00144","13.77","0.006735","4090","0","0","4104","4090"
"0.00144","13.77","0.006735","4173","0","0","4187","4173"
"0.0015","13.69","0.007076","3817","0","0","3831","3817"
"0.001643","13.5","0.007883","3171","0","0","3185","3171"
"0.001643","13.5","0.007883","3230","0","0","3243","3230"
"0.002","13.03","0.009884","2141","0","0","2154","2141"
"0.003","11.71","0.01532","877.2","0","0","889","877.2"
"0.003971","10.51","0.0202","460.7","0","0","471.2","460.7"
"0.003971","10.51","0.0202","1038","0","0","1048","1038"
"0.004","10.48","0.02034","1027","0","0","1037","1027"
"0.004227","10.22","0.02141","921.8","0","0","932.1","921.9"
"0.004227","10.22","0.02141","1287","0","0","1298","1287"
"0.004503","9.911","0.02269","1109","0","0","1119","1109"
"0.004797","9.596","0.02401","955.2","0","0","964.8","955.2"
"0.004797","9.596","0.02401","1112","0","0","1122","1112"
"0.005","9.386","0.02491","1007","0","0","1016","1007"
"0.005895","8.536","0.02864","660.5","0","0","669.1","660.6"
"0.005895","8.536","0.02864","700.5","0","0","709.1","700.5"
"0.006","8.443","0.02905","670.5","0","0","679","670.6"
"0.006288","8.197","0.0302","596.9","0","0","605.2","597"
"0.006288","8.197","0.0302","621.8","0","0","630","621.8"
"0.008","6.939","0.03642","343.7","0","0","350.7","343.7"
"0.01","5.811","0.04292","196.7","0","0","202.6","196.7"
"0.015","3.966","0.05618","70.1","0","0","74.12","70.16"
"0.01893","3.066","0.06391","38.49","0","0","41.62","38.55"
"0.01893","3.066","0.06391","90.38","0","0","93.51","90.44"
"0.02","2.874","0.06569","78.51","0","0","81.45","78.57"
"0.0238","2.317","0.07117","48.8","0","0","51.19","48.87"
"0.0238","2.317","0.07117","69.86","0","0","72.25","69.93"
"0.02413","2.277","0.07159","67.35","0","0","69.7","67.43"
"0.02446","2.237","0.072","64.96","0","0","67.27","65.03"
"0.02446","2.237","0.072","74.85","0","0","77.16","74.93"
"0.03","1.698","0.07785","44.73","0","0","46.5","44.8"
"0.04","1.14","0.08531","21.32","0","0","22.55","21.41"
"0.05","0.8258","0.08994","11.9","0","0","12.82","11.99"
"0.06","0.6235","0.09272","7.359","0","0","8.075","7.451"
"0.08","0.3919","0.09499","3.422","0","0","3.909","3.517"
"0.1","0.272","0.09503","1.883","0","0","2.25","1.978"
"0.1282","0.1792","0.09343","0.9669","0","0","1.24","1.06"
"0.1282","0.1792","0.09343","3.91","0","0","4.182","4.003"
"0.15","0.1367","0.09165","2.642","0","0","2.871","2.734"
"0.2","0.08202","0.08699","1.276","0","0","1.445","1.362"
"0.3","0.03944","0.07829","0.4612","0","0","0.5789","0.5394"
"0.4","0.02327","0.07134","0.2296","0","0","0.3242","0.3009"
"0.5","0.01535","0.06579","0.1365","0","0","0.2177","0.2023"
"0.6","0.01088","0.06125","0.09067","0","0","0.1628","0.1519"
"0.8","0.006276","0.05421","0.04894","0","0","0.1094","0.1032"
"1","0.00408","0.04894","0.03105","0","0","0.08408","0.08"
"1.022","0.003912","0.04843","0.02976","0","0","0.0821","0.07819"
"1.25","0.002645","0.0439","0.02012","0.0004763","0","0.06714","0.0645"
"1.5","0.001851","0.03997","0.01431","0.002388","0","0.05852","0.05667"
"2","0.001051","0.03417","0.008636","0.006927","0","0.05079","0.04974"
"2.044","0.001007","0.03376","0.008326","0.007303","0","0.05039","0.04939"
"3","0.0004712","0.02693","0.004495","0.01415","9.404E-06","0.04606","0.04558"
"4","0.0002659","0.02248","0.00293","0.01963","3.832E-05","0.04534","0.04507"
"5","0.0001705","0.01942","0.002139","0.0242","7.614E-05","0.046","0.04583"
"6","0.0001185","0.01717","0.001672","0.02805","0.0001167","0.04713","0.04701"
"7","8.714E-05","0.01543","0.001366","0.03154","0.0001569","0.04858","0.04849"
"8","6.674E-05","0.01405","0.001152","0.03468","0.0001958","0.05015","0.05008"
"9","5.275E-05","0.01291","0.0009942","0.03758","0.0002329","0.05178","0.05173"
"10","4.273E-05","0.01197","0.0008733","0.04024","0.0002681","0.05339","0.05335"
"11","3.532E-05","0.01116","0.000778","0.04273","0.0003013","0.055","0.05497"
"12","2.969E-05","0.01047","0.0007012","0.04504","0.0003325","0.05657","0.05654"
"13","2.53E-05","0.009862","0.0006379","0.04719","0.0003617","0.05808","0.05805"
"14","2.181E-05","0.00933","0.000585","0.04924","0.0003895","0.05956","0.05954"
"15","1.9E-05","0.008858","0.0005399","0.05114","0.0004158","0.06097","0.06095"
"16","1.67E-05","0.008436","0.0005011","0.05289","0.0004407","0.06229","0.06227"
"18","1.32E-05","0.00771","0.0004382","0.05613","0.0004865","0.06478","0.06477"
"20","1.069E-05","0.00711","0.0003893","0.05901","0.0005282","0.06705","0.06704"
"22","8.836E-06","0.006603","0.0003498","0.06162","0.0005662","0.06915","0.06914"
"24","7.424E-06","0.006172","0.0003178","0.06403","0.0006008","0.07113","0.07112"
"26","6.328E-06","0.005794","0.000291","0.06622","0.0006328","0.07295","0.07294"
"28","5.455E-06","0.005467","0.0002684","0.06822","0.0006625","0.07463","0.07462"
"30","4.753E-06","0.005177","0.0002491","0.07008","0.0006898","0.0762","0.07619"
"40","2.674E-06","0.004114","0.0001828","0.07763","0.0008024","0.08273","0.08273"
"50","1.711E-06","0.003434","0.0001444","0.08324","0.0008865","0.0877","0.0877"
"60","1.188E-06","0.002959","0.0001193","0.0876","0.0009528","0.09163","0.09163"
"80","6.683E-07","0.002333","8.85E-05","0.09401","0.001052","0.09748","0.09748"
"100","4.278E-07","0.001937","7.034E-05","0.09852","0.001122","0.1017","0.1016"
"150","1.901E-07","0.001379","4.648E-05","0.1056","0.001238","0.1083","0.1083"
"200","1.069E-07","0.001081","3.471E-05","0.1099","0.00131","0.1123","0.1123"
"300","4.753E-08","0.0007663","2.303E-05","0.1148","0.001397","0.117","0.117"
"400","2.674E-08","0.0006003","1.723E-05","0.1176","0.001448","0.1197","0.1197"
"500","1.711E-08","0.000497","1.377E-05","0.1195","0.001483","0.1215","0.1215"
"600","1.188E-08","0.0004253","1.146E-05","0.1208","0.001509","0.1227","0.1227"
"800","6.683E-09","0.0003322","8.587E-06","0.1225","0.001544","0.1244","0.1244"
"1000","4.278E-09","0.0002732","6.866E-06","0.1237","0.001568","0.1255","0.1255"
"1500","1.901E-09","0.0001909","4.573E-06","0.1253","0.001602","0.1271","0.1271"
"2000","1.069E-09","0.0001478","3.427E-06","0.1262","0.001622","0.128","0.128"
"3000","4.753E-10","0.0001027","2.284E-06","0.1271","0.001644","0.1289","0.1289"
"4000","2.674E-10","7.929E-05","1.713E-06","0.1277","0.001656","0.1295","0.1295"
"5000","1.711E-10","6.484E-05","1.37E-06","0.128","0.001664","0.1298","0.1298"
"6000","1.188E-10","5.499E-05","1.142E-06","0.1283","0.001669","0.13","0.13"
"8000","6.683E-11","4.236E-05","8.563E-07","0.1286","0.001676","0.1303","0.1303"
"10000","4.278E-11","3.459E-05","6.849E-07","0.1288","0.001681","0.1305","0.1305"
