"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.97","0.003912","7118","0","0","7133","7118"
"0.001001","14.97","0.003918","7107","0","0","7122","7107"
"0.001002","14.97","0.003923","7095","0","0","7110","7095"
"0.001002","14.97","0.003923","7402","0","0","7417","7402"
"0.001035","14.93","0.004105","7248","0","0","7263","7248"
"0.001069","14.9","0.00428","7097","0","0","7112","7097"
"0.001069","14.9","0.00428","7306","0","0","7321","7306"
"0.001208","14.74","0.004998","5956","0","0","5970","5956"
"0.001366","14.55","0.00583","4856","0","0","4870","4856"
"0.001366","14.55","0.00583","5167","0","0","5182","5167"
"0.0015","14.38","0.006545","4305","0","0","4320","4305"
"0.001747","14.07","0.007866","3155","0","0","3169","3155"
"0.001747","14.07","0.007866","3193","0","0","3207","3193"
"0.00184","13.94","0.008361","2864","0","0","2878","2864"
"0.001937","13.81","0.008882","2570","0","0","2583","2570"
"0.001937","13.81","0.008882","2616","0","0","2630","2616"
"0.002","13.73","0.00922","2443","0","0","2457","2443"
"0.003","12.39","0.01447","1002","0","0","1015","1002"
"0.004","11.11","0.01939","517.4","0","0","528.6","517.5"
"0.004498","10.51","0.02169","392.8","0","0","403.4","392.8"
"0.004498","10.51","0.02169","855.2","0","0","865.7","855.2"
"0.00463","10.36","0.02229","812.7","0","0","823.1","812.7"
"0.004766","10.21","0.02289","772.5","0","0","782.7","772.5"
"0.004766","10.21","0.02289","1062","0","0","1072","1062"
"0.005","9.953","0.02392","966.9","0","0","976.9","967"
"0.005397","9.533","0.0256","799.5","0","0","809","799.5"
"0.005397","9.533","0.0256","933.7","0","0","943.2","933.7"
"0.006","8.943","0.02804","716.1","0","0","725","716.1"
"0.006793","8.243","0.03111","520","0","0","528.3","520"
"0.006793","8.243","0.03111","551.2","0","0","559.4","551.2"
"0.006996","8.076","0.03184","511.9","0","0","520","511.9"
"0.007205","7.91","0.03258","475.5","0","0","483.4","475.5"
"0.007205","7.91","0.03258","495.2","0","0","503.1","495.2"
"0.008","7.327","0.03542","382","0","0","389.4","382.1"
"0.01","6.125","0.04191","219.4","0","0","225.6","219.4"
"0.015","4.188","0.05521","78.87","0","0","83.11","78.92"
"0.02","3.052","0.06477","37.74","0","0","40.85","37.8"
"0.0209","2.898","0.0662","33.68","0","0","36.65","33.75"
"0.0209","2.898","0.0662","78","0","0","80.96","78.07"
"0.02367","2.478","0.07011","55.79","0","0","58.34","55.86"
"0.02681","2.103","0.07386","39.89","0","0","42.07","39.96"
"0.02681","2.103","0.07386","57.6","0","0","59.78","57.67"
"0.02725","2.058","0.07434","55.19","0","0","57.33","55.27"
"0.0277","2.014","0.07482","52.89","0","0","54.98","52.97"
"0.0277","2.014","0.07482","60.93","0","0","63.01","61"
"0.03","1.809","0.07711","49.85","0","0","51.73","49.92"
"0.04","1.211","0.08454","24.08","0","0","25.37","24.16"
"0.05","0.8812","0.08917","13.53","0","0","14.5","13.62"
"0.06","0.6673","0.09203","8.404","0","0","9.164","8.496"
"0.08","0.4198","0.09444","3.94","0","0","4.454","4.034"
"0.1","0.2914","0.09456","2.181","0","0","2.567","2.276"
"0.1431","0.1597","0.09194","0.8426","0","0","1.094","0.9345"
"0.1431","0.1597","0.09194","3.249","0","0","3.501","3.341"
"0.15","0.1472","0.09135","2.905","0","0","3.143","2.996"
"0.2","0.08845","0.08681","1.417","0","0","1.592","1.504"
"0.3","0.04261","0.07819","0.5191","0","0","0.6399","0.5973"
"0.4","0.0252","0.0713","0.2609","0","0","0.3574","0.3322"
"0.5","0.01665","0.06577","0.1562","0","0","0.2386","0.222"
"0.6","0.01182","0.06125","0.1042","0","0","0.1773","0.1655"
"0.8","0.006835","0.05423","0.05657","0","0","0.1176","0.1108"
"1","0.004451","0.04896","0.036","0","0","0.08941","0.08496"
"1.022","0.004268","0.04846","0.03448","0","0","0.08721","0.08294"
"1.25","0.002888","0.04392","0.02335","0.0005043","0","0.07067","0.06778"
"1.5","0.002024","0.03998","0.0166","0.002574","0","0.06118","0.05915"
"2","0.001151","0.0342","0.01002","0.007395","0","0.05276","0.05161"
"2.044","0.001103","0.03378","0.009655","0.007788","0","0.05232","0.05122"
"3","0.0005167","0.02696","0.005205","0.01485","9.412E-06","0.04754","0.04702"
"4","0.0002919","0.0225","0.003389","0.0204","3.832E-05","0.04661","0.04632"
"5","0.0001872","0.01944","0.002474","0.02502","7.62E-05","0.04719","0.047"
"6","0.0001302","0.01718","0.001932","0.02883","0.0001167","0.0482","0.04807"
"7","9.571E-05","0.01545","0.001577","0.03237","0.000157","0.04965","0.04955"
"8","7.332E-05","0.01406","0.001329","0.03558","0.0001959","0.05124","0.05117"
"9","5.795E-05","0.01293","0.001147","0.03853","0.0002329","0.0529","0.05284"
"10","4.694E-05","0.01198","0.001007","0.04125","0.000268","0.05455","0.0545"
"11","3.881E-05","0.01117","0.0008969","0.0438","0.0003012","0.05621","0.05617"
"12","3.261E-05","0.01048","0.0008081","0.04617","0.0003324","0.05782","0.05779"
"13","2.78E-05","0.009871","0.000735","0.04837","0.0003617","0.05937","0.05934"
"14","2.396E-05","0.009339","0.0006737","0.05045","0.0003893","0.06088","0.06086"
"15","2.088E-05","0.008866","0.0006219","0.0524","0.0004155","0.06232","0.0623"
"16","1.835E-05","0.008444","0.0005772","0.05423","0.0004404","0.06371","0.06369"
"18","1.45E-05","0.007718","0.0005045","0.05755","0.0004863","0.06628","0.06626"
"20","1.175E-05","0.007116","0.0004479","0.0605","0.000528","0.06861","0.0686"
"22","9.709E-06","0.00661","0.0004027","0.06322","0.0005657","0.07081","0.0708"
"24","8.158E-06","0.006177","0.0003656","0.06568","0.0006004","0.07283","0.07282"
"26","6.952E-06","0.0058","0.0003347","0.06795","0.0006322","0.07473","0.07472"
"28","5.994E-06","0.005472","0.0003087","0.07004","0.0006617","0.07649","0.07648"
"30","5.224E-06","0.005181","0.0002865","0.07193","0.0006891","0.0781","0.07809"
"40","2.937E-06","0.004118","0.0002102","0.07973","0.0008011","0.08487","0.08486"
"50","1.88E-06","0.003436","0.000166","0.08554","0.0008852","0.09003","0.09003"
"60","1.306E-06","0.002961","0.0001371","0.09006","0.000951","0.09411","0.09411"
"80","7.346E-07","0.002336","0.0001017","0.09669","0.001049","0.1002","0.1002"
"100","4.701E-07","0.001939","8.081E-05","0.1014","0.00112","0.1045","0.1045"
"150","2.089E-07","0.001381","5.338E-05","0.1087","0.001235","0.1114","0.1114"
"200","1.175E-07","0.001082","3.987E-05","0.113","0.001306","0.1155","0.1155"
"300","5.224E-08","0.0007671","2.645E-05","0.1181","0.001391","0.1203","0.1203"
"400","2.937E-08","0.0006008","1.98E-05","0.121","0.001442","0.1231","0.1231"
"500","1.88E-08","0.0004973","1.581E-05","0.1229","0.001477","0.1249","0.1249"
"600","1.306E-08","0.0004258","1.317E-05","0.1243","0.001502","0.1262","0.1262"
"800","7.346E-09","0.0003326","9.864E-06","0.1261","0.001536","0.128","0.128"
"1000","4.701E-09","0.0002736","7.884E-06","0.1273","0.001559","0.1291","0.1291"
