"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.223","0.006476","1692","0","0","1697","1692","1692","C"
"0.001056","5.192","0.007056","1487","0","0","1492","1487","1487","C"
"0.001115","5.159","0.007678","1307","0","0","1312","1307","1307","C"
"0.001115","5.159","0.007678","3814","0","0","3819","3814","3955","C"
"0.001129","5.151","0.007818","4639","0","0","4644","4639","4842","C"
"0.001142","5.143","0.007961","5643","0","0","5648","5643","5611","C"
"0.001142","5.143","0.007961","7338","0","0","7343","7338","7332","C"
"0.001218","5.103","0.008762","6827","0","0","6832","6827","7070","C"
"0.001298","5.06","0.009622","6354","0","0","6359","6354","6299","C"
"0.001298","5.06","0.009622","7200","0","0","7205","7200","7139","C"
"0.0015","4.936","0.01176","5082","0","0","5087","5082","5044","C"
"0.002","4.631","0.01687","2511","0","0","2515","2511","2496","C"
"0.003","4.045","0.02602","881.9","0","0","885.9","881.9","878.2","C"
"0.004","3.521","0.0343","409.4","0","0","413","409.4","408.2","C"
"0.005","3.059","0.04202","223.4","0","0","226.5","223.5","222.9","C"
"0.006","2.657","0.0492","135.5","0","0","138.2","135.6","135.2","C"
"0.008","2.02","0.0619","60.94","0","0","63.03","61.01","60.82","C"
"0.01","1.573","0.07266","32.55","0","0","34.2","32.63","32.5","C"
"0.01037","1.508","0.07443","29.42","0","0","31","29.49","29.36","C"
"0.01037","1.508","0.07443","219.8","0","0","221.4","219.9","134.4","C"
"0.015","0.9501","0.09242","84.33","0","0","85.37","84.42","61.35","C"
"0.02","0.652","0.1047","38.52","0","0","39.28","38.63","30.59","C"
"0.03","0.3653","0.1181","12.33","0","0","12.81","12.44","10.61","C"
"0.04","0.231","0.1241","5.371","0","0","5.726","5.495","4.81","C"
"0.05","0.1594","0.1265","2.79","0","0","3.076","2.916","2.56","C"
"0.06","0.1172","0.127","1.624","0","0","1.868","1.751","1.518","C"
"0.08","0.07159","0.1254","0.6853","0","0","0.8823","0.8107","0.6613","C"
"0.1","0.04833","0.1224","0.349","0","0","0.5198","0.4714","0.3497","C"
"0.15","0.02303","0.1138","0.1019","0","0","0.2387","0.2157","0.1193","C"
"0.2","0.01339","0.1057","0.04281","0","0","0.1619","0.1485","0.06463","C"
"0.3","0.006145","0.0932","0.01296","0","0","0.1123","0.1062","0.03782","C"
"0.4","0.003509","0.08396","0.005775","0","0","0.09325","0.08974","0.03156","C"
"0.5","0.002265","0.07691","0.003186","0","0","0.08236","0.08009","0.0292","C"
"0.6","0.00158","0.07127","0.002012","0","0","0.07487","0.07329","0.02793","C"
"0.8","0.0008931","0.06274","0.001028","0","0","0.06466","0.06377","0.02631","C"
"1","0.0005731","0.05646","0.0006398","0","0","0.05767","0.0571","0.02506","C"
"1.022","0.0005487","0.05587","0.0006078","0","0","0.05702","0.05647","0.02493","I"
