"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","10.37","0.005137","2606","0","0","2616","2606","2605","C"
"0.001162","10.21","0.006219","1945","0","0","1956","1945","1951","C"
"0.001351","10.03","0.007485","1453","0","0","1463","1453","1452","C"
"0.001351","10.03","0.007485","2058","0","0","2068","2058","2091","C"
"0.001371","10.01","0.007617","3037","0","0","3047","3037","3164","C"
"0.001392","9.994","0.007752","4477","0","0","4487","4477","4485","C"
"0.001392","9.994","0.007752","5181","0","0","5191","5181","5187","C"
"0.0015","9.88","0.008478","5838","0","0","5848","5838","5790","C"
"0.001741","9.639","0.01006","4027","0","0","4037","4027","4001","C"
"0.001741","9.639","0.01006","4666","0","0","4676","4666","4633","C"
"0.00183","9.547","0.01065","4152","0","0","4161","4152","4122","C"
"0.001923","9.45","0.01126","3695","0","0","3705","3695","3669","C"
"0.001923","9.45","0.01126","3925","0","0","3935","3925","3898","C"
"0.002","9.369","0.01177","3581","0","0","3591","3581","3558","C"
"0.002128","9.234","0.01261","3119","0","0","3128","3119","3099","C"
"0.002128","9.234","0.01261","3257","0","0","3266","3257","3236","C"
"0.003","8.362","0.01828","1456","0","0","1465","1456","1450","C"
"0.004","7.416","0.02439","718.9","0","0","726.4","719","716.4","C"
"0.005","6.572","0.03001","410.4","0","0","417","410.4","409.1","C"
"0.006","5.838","0.03511","257.7","0","0","263.6","257.7","257","C"
"0.008","4.677","0.04389","122.3","0","0","127","122.4","122","C"
"0.008071","4.641","0.04418","119.5","0","0","124.2","119.6","119.2","C"
"0.008071","4.641","0.04418","323.7","0","0","328.3","323.7","289.7","C"
"0.008484","4.442","0.04583","284.3","0","0","288.8","284.3","256","C"
"0.008918","4.25","0.04747","249.7","0","0","254","249.8","226","C"
"0.008918","4.25","0.04747","342.1","0","0","346.4","342.1","299.4","C"
"0.009153","4.15","0.04832","320.9","0","0","325.1","320.9","282.5","C"
"0.009394","4.049","0.04918","301","0","0","305.1","301.1","265.2","C"
"0.009394","4.049","0.04918","347.9","0","0","352","348","304.4","C"
"0.01","3.812","0.0513","297.3","0","0","301.2","297.4","262.3","C"
"0.015","2.465","0.06602","103.5","0","0","106","103.6","95.21","C"
