"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","6.942","0.006428","4936","0","0","4943","4936","4935","C"
"0.0015","6.541","0.01122","1918","0","0","1925","1918","1918","C"
"0.002","6.106","0.01584","953.5","0","0","959.6","953.5","953.1","C"
"0.00252","5.666","0.02045","535.9","0","0","541.6","535.9","535.8","C"
"0.00252","5.666","0.02045","1973","0","0","1979","1973","1924","C"
"0.002572","5.622","0.0209","1855","0","0","1861","1855","1802","C"
"0.002625","5.578","0.02135","1744","0","0","1750","1744","1703","C"
"0.002625","5.578","0.02135","2427","0","0","2433","2427","2360","C"
"0.002743","5.481","0.02236","2179","0","0","2184","2179","2119","C"
"0.002866","5.381","0.02341","1956","0","0","1961","1956","1906","C"
"0.002866","5.381","0.02341","2237","0","0","2243","2237","2179","C"
"0.003","5.275","0.02454","2006","0","0","2011","2006","1956","C"
"0.004","4.556","0.0325","966","0","0","970.6","966.1","947.5","C"
"0.005","3.965","0.03982","541","0","0","545","541.1","532.8","C"
"0.006","3.486","0.04654","333.6","0","0","337.2","333.7","329.5","C"
"0.008","2.774","0.05805","153.7","0","0","156.6","153.8","152.2","C"
"0.01","2.267","0.06716","83.42","0","0","85.76","83.49","82.75","C"
"0.015","1.448","0.08373","27","0","0","28.54","27.09","26.84","C"
"0.02","0.9893","0.0951","12","0","0","13.08","12.09","11.93","C"
"0.02","0.9893","0.0951","78.46","0","0","79.55","78.56","32.93","C"
"0.02","0.9893","0.0951","78.46","0","0","79.55","78.56","33.36","C"
"0.03","0.5583","0.1087","27.43","0","0","28.1","27.54","16.64","C"
"0.04","0.3636","0.1156","12.46","0","0","12.94","12.58","8.757","C"
"0.05","0.2544","0.119","6.666","0","0","7.04","6.785","5.074","C"
"0.06","0.1874","0.1204","3.966","0","0","4.274","4.086","3.178","C"
"0.08","0.1142","0.12","1.728","0","0","1.962","1.848","1.477","C"
"0.1","0.07733","0.1177","0.9007","0","0","1.096","1.018","0.8042","C"
"0.15","0.0374","0.1102","0.2732","0","0","0.4208","0.3834","0.2693","C"
"0.2","0.02193","0.1029","0.1175","0","0","0.2423","0.2204","0.1316","C"
"0.3","0.01014","0.09108","0.03665","0","0","0.1379","0.1277","0.05919","C"
"0.4","0.005816","0.08229","0.01661","0","0","0.1047","0.0989","0.04117","C"
"0.5","0.003764","0.07545","0.009265","0","0","0.08848","0.08471","0.03437","C"
"0.6","0.002632","0.06999","0.005892","0","0","0.07851","0.07588","0.03104","C"
"0.8","0.001492","0.06167","0.00303","0","0","0.06619","0.0647","0.02764","C"
"1","0.0009585","0.05553","0.001888","0","0","0.05837","0.05741","0.02567","C"
"1.022","0.0009177","0.05495","0.001796","0","0","0.05766","0.05675","0.02549","I"
"1.25","0.0006151","0.0497","0.001213","0.000134","0","0.05166","0.05105","0.0239","C"
"1.5","0.0004277","0.0452","0.00087","0.0006371","0","0.04714","0.04671","0.02263","C"
"2","0.000241","0.0386","0.0005318","0.002261","0","0.04163","0.04139","0.02118","C"
"2.044","0.0002307","0.03813","0.0005132","0.002422","0","0.04129","0.04106","0.02114","I"
"3","0.0001072","0.03038","0.0002842","0.005966","1.063E-05","0.03675","0.03664","0.02046","C"
"4","6.032E-05","0.02535","0.0001894","0.009315","4.337E-05","0.03496","0.0349","0.02084","C"
"5","3.862E-05","0.02189","0.0001406","0.01223","8.637E-05","0.03439","0.03435","0.02153","C"
"6","2.682E-05","0.01935","0.0001114","0.01478","0.0001325","0.0344","0.03437","0.02231","C"
"7","1.97E-05","0.01739","9.19E-05","0.01705","0.0001785","0.03473","0.03471","0.02311","I"
"8","1.509E-05","0.01583","7.815E-05","0.01909","0.0002231","0.03524","0.03522","0.02382","C"
"9","1.192E-05","0.01456","6.792E-05","0.02094","0.0002657","0.03584","0.03583","0.0245","I"
"10","9.654E-06","0.01348","6E-05","0.02264","0.0003062","0.0365","0.03649","0.02513","C"
"11","7.978E-06","0.01258","5.372E-05","0.02419","0.0003445","0.03718","0.03717","0.02563","I"
"12","6.704E-06","0.01179","4.862E-05","0.02562","0.0003807","0.03785","0.03785","0.02609","I"
"13","5.714E-06","0.01111","4.439E-05","0.02694","0.0004148","0.03852","0.03851","0.02652","I"
"14","4.927E-06","0.01051","4.083E-05","0.02815","0.0004472","0.03916","0.03915","0.02693","I"
"15","4.292E-06","0.00998","3.78E-05","0.02928","0.000478","0.03978","0.03977","0.02731","C"
"16","3.772E-06","0.009503","3.518E-05","0.03034","0.0005072","0.04039","0.04038","0.02755","I"
"18","2.98E-06","0.008687","3.09E-05","0.03226","0.0005613","0.04154","0.04154","0.028","I"
"20","2.414E-06","0.008009","2.754E-05","0.03399","0.0006105","0.04264","0.04264","0.0284","C"
"22","1.995E-06","0.007438","2.483E-05","0.03557","0.0006553","0.04369","0.04368","",""
