"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","6.813","0.006838","4592","0","0","4599","4592","4592","C"
"0.0015","6.403","0.01178","1780","0","0","1786","1780","1780","C"
"0.002","5.973","0.0165","883.5","0","0","889.5","883.5","883.2","C"
"0.002371","5.657","0.01989","578.8","0","0","584.4","578.8","578.6","C"
"0.002371","5.657","0.01989","2175","0","0","2181","2175","2125","C"
"0.002417","5.622","0.0203","2048","0","0","2054","2048","1992","C"
"0.002465","5.587","0.02072","1930","0","0","1935","1930","1886","C"
"0.002465","5.587","0.02072","2688","0","0","2694","2688","2619","C"
"0.002579","5.496","0.02173","2407","0","0","2413","2407","2347","C"
"0.002698","5.398","0.02278","2156","0","0","2161","2156","2104","C"
"0.002698","5.398","0.02278","2464","0","0","2470","2464","2405","C"
"0.003","5.161","0.02539","1901","0","0","1906","1901","1859","C"
"0.004","4.464","0.03352","912","0","0","916.5","912","897","C"
"0.005","3.89","0.04096","509.4","0","0","513.3","509.5","502.7","C"
"0.006","3.424","0.04773","313.7","0","0","317.2","313.8","310.3","C"
"0.008","2.728","0.05917","144.1","0","0","146.9","144.2","142.9","C"
"0.01","2.226","0.06825","78.11","0","0","80.4","78.18","77.54","C"
"0.015","1.411","0.08491","25.22","0","0","26.72","25.31","25.08","C"
"0.01899","1.033","0.09444","12.96","0","0","14.09","13.06","12.91","C"
"0.01899","1.033","0.09444","86.66","0","0","87.79","86.76","37.46","C"
"0.02","0.9619","0.09645","76.03","0","0","77.09","76.13","34.93","C"
"0.03","0.5436","0.1101","26","0","0","26.65","26.11","16.48","C"
"0.04","0.3535","0.1171","11.76","0","0","12.24","11.88","8.511","C"
"0.05","0.2468","0.1204","6.276","0","0","6.644","6.397","4.884","C"
"0.06","0.1816","0.1217","3.729","0","0","4.032","3.851","3.04","C"
"0.08","0.1107","0.1212","1.62","0","0","1.852","1.742","1.403","C"
"0.1","0.075","0.1189","0.8427","0","0","1.037","0.9615","0.7608","C"
"0.15","0.03623","0.1112","0.2549","0","0","0.4023","0.3661","0.2542","C"
"0.2","0.02122","0.1038","0.1094","0","0","0.2344","0.2132","0.1247","C"
"0.3","0.009807","0.09191","0.03402","0","0","0.1357","0.1259","0.05705","C"
"0.4","0.005623","0.08297","0.01539","0","0","0.104","0.09836","0.04026","C"
"0.5","0.003638","0.0761","0.008582","0","0","0.08832","0.08468","0.03396","C"
"0.6","0.002544","0.07059","0.005452","0","0","0.07858","0.07604","0.03085","C"
"0.8","0.001442","0.06218","0.002802","0","0","0.06642","0.06498","0.02764","C"
"1","0.0009256","0.05598","0.001746","0","0","0.05866","0.05773","0.02575","C"
"1.022","0.0008867","0.05539","0.001661","0","0","0.05794","0.05706","0.02558","I"
"1.25","0.0005941","0.05011","0.001121","0.00013","0","0.05195","0.05136","0.02402","C"
"1.5","0.0004131","0.04557","0.0008051","0.0006206","0","0.04741","0.04699","0.02276","C"
"2","0.0002327","0.03891","0.0004921","0.002212","0","0.04185","0.04161","0.0213","C"
"2.044","0.0002228","0.03843","0.0004749","0.002369","0","0.0415","0.04128","0.02126","I"
"3","0.0001035","0.03063","0.0002632","0.005854","1.071E-05","0.03686","0.03676","0.02054","C"
"4","5.825E-05","0.02555","0.0001755","0.009153","4.373E-05","0.03498","0.03492","0.02086","C"
"5","3.729E-05","0.02207","0.0001304","0.01204","8.705E-05","0.03436","0.03433","0.02153","C"
"6","2.59E-05","0.01951","0.0001033","0.01455","0.0001336","0.03432","0.03429","0.02227","C"
"7","1.902E-05","0.01753","8.524E-05","0.01679","0.00018","0.03461","0.03459","0.02305","I"
