"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","1.9","0.005479","7407","0","0","7409","7407","7326","C"
"0.0015","1.803","0.01164","2664","0","0","2666","2664","2645","C"
"0.002","1.683","0.01925","1241","0","0","1243","1241","1234","C"
"0.003","1.415","0.03644","403.8","0","0","405.2","403.8","402.1","C"
"0.004","1.16","0.0536","177.2","0","0","178.4","177.3","176.7","C"
"0.005","0.9445","0.06923","92.36","0","0","93.38","92.43","92.14","C"
"0.006","0.7741","0.08278","53.84","0","0","54.69","53.92","53.69","C"
"0.008","0.5404","0.1036","22.64","0","0","23.28","22.74","22.6","C"
"0.01","0.3984","0.1178","11.45","0","0","11.97","11.57","11.43","C"
"0.015","0.2226","0.1374","3.253","0","0","3.613","3.39","3.253","C"
"0.02","0.1455","0.147","1.313","0","0","1.606","1.46","1.317","C"
"0.03","0.07729","0.1556","0.3593","0","0","0.5922","0.5149","0.3676","C"
"0.04","0.04763","0.1578","0.1418","0","0","0.3472","0.2996","0.1528","C"
"0.05","0.03217","0.1571","0.06867","0","0","0.2579","0.2258","0.08182","C"
"0.06","0.02314","0.1551","0.03787","0","0","0.2161","0.193","0.05287","C"
"0.08","0.01362","0.1497","0.01478","0","0","0.1781","0.1645","0.03273","C"
"0.1","0.008947","0.1439","0.00712","0","0","0.16","0.1511","0.02733","C"
"0.15","0.004106","0.1309","0.001903","0","0","0.137","0.1329","0.0259","C"
"0.2","0.00234","0.1205","0.0007568","0","0","0.1236","0.1213","0.02697","C"
"0.3","0.00105","0.1051","0.0002149","0","0","0.1064","0.1054","0.02862","C"
"0.4","0.000593","0.09433","9.248E-05","0","0","0.09502","0.09442","0.02931","C"
"0.5","0.0003802","0.08622","4.996E-05","0","0","0.08665","0.08627","0.02946","C"
"0.6","0.0002642","0.07977","3.113E-05","0","0","0.08006","0.0798","0.0293","C"
"0.8","0.0001488","0.07013","1.573E-05","0","0","0.07029","0.07015","0.0286","C"
