"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","2.947","0.01011","2426","0","0","2429","2426","2426","C"
"0.0015","2.695","0.01951","831.4","0","0","834.1","831.4","831.4","C"
"0.002","2.426","0.02917","382.7","0","0","385.2","382.8","382.8","C"
"0.002472","2.182","0.03771","214.7","0","0","216.9","214.7","214.5","C"
"0.002472","2.182","0.03771","2068","0","0","2070","2068","1935","C"
"0.003","1.949","0.04637","1337","0","0","1339","1337","1265","C"
"0.004","1.6","0.06002","632.1","0","0","633.8","632.2","606.6","C"
"0.005","1.353","0.07073","347.3","0","0","348.7","347.3","336","C"
"0.006","1.172","0.07946","210.3","0","0","211.6","210.4","204.6","C"
"0.008","0.9109","0.09358","93.64","0","0","94.64","93.73","91.71","C"
"0.01","0.7229","0.105","49.3","0","0","50.13","49.4","48.47","C"
"0.015","0.4301","0.1254","14.95","0","0","15.5","15.07","14.77","C"
"0.02","0.2821","0.1372","6.29","0","0","6.709","6.427","6.235","C"
"0.03","0.1512","0.1479","1.814","0","0","2.113","1.962","1.809","C"
"0.04","0.09544","0.1515","0.7403","0","0","0.9872","0.8918","0.7466","C"
"0.05","0.06579","0.1521","0.367","0","0","0.5849","0.5191","0.3779","C"
"0.06","0.04797","0.1512","0.206","0","0","0.4052","0.3573","0.2199","C"
"0.08","0.0286","0.1474","0.08256","0","0","0.2586","0.2299","0.1","C"
"0.1","0.01895","0.1425","0.04051","0","0","0.202","0.1831","0.06052","C"
"0.15","0.008823","0.1306","0.01114","0","0","0.1506","0.1418","0.03516","C"
"0.2","0.005071","0.1206","0.004507","0","0","0.1302","0.1251","0.0308","C"
"0.3","0.002295","0.1055","0.001306","0","0","0.1091","0.1068","0.02983","C"
"0.4","0.0013","0.09478","0.0005672","0","0","0.09665","0.09535","0.02991","C"
"0.5","0.0008352","0.08667","0.0003082","0","0","0.08782","0.08698","0.02984","C"
"0.6","0.0005811","0.08025","0.0001929","0","0","0.08102","0.08044","0.02959","C"
"0.8","0.0003275","0.07056","9.777E-05","0","0","0.07098","0.07066","0.02878","C"
"1","0.0002098","0.06346","6.077E-05","0","0","0.06373","0.06352","0.0278","C"
"1.022","0.000201","0.06278","5.741E-05","0","0","0.06304","0.06284","0.02767","I"
"1.25","0.0001343","0.05675","3.889E-05","4.109E-05","0","0.05697","0.05683","0.02652","C"
"1.5","9.332E-05","0.05159","2.815E-05","0.000221","0","0.05193","0.05184","0.02535","C"
"2","5.251E-05","0.04404","1.751E-05","0.0008665","0","0.04498","0.04492","0.02349","C"
"2.044","5.028E-05","0.0435","1.693E-05","0.000934","0","0.0445","0.04445","0.02336","I"
"3","2.334E-05","0.03465","9.64E-06","0.002455","1.212E-05","0.03715","0.03713","0.02118","C"
"4","1.313E-05","0.0289","6.554E-06","0.003959","4.951E-05","0.03293","0.03292","0.01993","C"
"5","8.404E-06","0.02496","4.939E-06","0.005294","9.863E-05","0.03037","0.03036","0.01923","C"
"6","5.837E-06","0.02207","3.951E-06","0.006491","0.0001515","0.02872","0.02871","0.01884","C"
"7","4.288E-06","0.01983","3.29E-06","0.007555","0.0002041","0.0276","0.02759","0.01866","I"
"8","3.283E-06","0.01805","2.815E-06","0.008513","0.0002554","0.02682","0.02682","0.0185","C"
"9","2.594E-06","0.01659","2.46E-06","0.009381","0.0003044","0.02628","0.02628","0.01847","I"
"10","2.102E-06","0.01537","2.182E-06","0.01017","0.0003512","0.0259","0.02589","0.01845","C"
"11","1.736E-06","0.01434","1.963E-06","0.01088","0.0003955","0.02562","0.02562","0.01849","I"
"12","1.459E-06","0.01345","1.781E-06","0.01154","0.0004372","0.02542","0.02542","0.01854","I"
"13","1.243E-06","0.01267","1.631E-06","0.01215","0.0004768","0.02529","0.02529","0.01857","I"
"14","1.072E-06","0.01198","1.503E-06","0.01271","0.0005146","0.02521","0.02521","0.01861","I"
"15","9.338E-07","0.01138","1.395E-06","0.01324","0.0005503","0.02517","0.02517","0.01864","C"
"16","8.207E-07","0.01083","1.301E-06","0.01373","0.0005843","0.02515","0.02515","0.0187","I"
"18","6.485E-07","0.009903","1.146E-06","0.01464","0.0006475","0.02519","0.02519","0.0188","I"
"20","5.253E-07","0.009131","1.024E-06","0.01545","0.0007054","0.02529","0.02529","0.01889","C"
"22","4.342E-07","0.008481","9.249E-07","0.01618","0.0007585","0.02542","0.02542","",""
"24","3.647E-07","0.007925","8.438E-07","0.01685","0.0008077","0.02558","0.02558","",""
"26","3.108E-07","0.007443","7.754E-07","0.01746","0.0008532","0.02576","0.02576","",""
"28","2.68E-07","0.00702","7.176E-07","0.01802","0.0008955","0.02594","0.02594","",""
"30","2.334E-07","0.006648","6.676E-07","0.01854","0.0009351","0.02613","0.02613","",""
"40","1.313E-07","0.005283","4.952E-07","0.0207","0.001101","0.02708","0.02708","",""
"50","8.404E-08","0.00441","3.935E-07","0.02229","0.001228","0.02793","0.02793","",""
"60","5.837E-08","0.003799","3.264E-07","0.02355","0.001331","0.02868","0.02868","",""
"80","3.283E-08","0.002995","2.434E-07","0.02541","0.001488","0.02989","0.02989","",""
"100","2.102E-08","0.002487","1.942E-07","0.02674","0.001605","0.03083","0.03083","",""
"150","9.338E-09","0.001771","1.288E-07","0.02892","0.001803","0.0325","0.0325","",""
"200","5.253E-09","0.001389","9.64E-08","0.03024","0.001931","0.03356","0.03356","",""
"300","2.334E-09","0.0009843","6.412E-08","0.03181","0.00209","0.03489","0.03489","",""
"400","1.313E-09","0.0007707","4.804E-08","0.03273","0.00219","0.03569","0.03569","",""
"500","8.404E-10","0.0006382","3.841E-08","0.03334","0.002259","0.03623","0.03623","",""
"600","5.835E-10","0.0005463","3.198E-08","0.03379","0.00231","0.03664","0.03664","",""
"800","3.283E-10","0.0004267","2.398E-08","0.03437","0.002381","0.03718","0.03718","",""
"1000","2.102E-10","0.000351","1.917E-08","0.03474","0.002428","0.03752","0.03752","",""
"1500","9.338E-11","0.0002451","1.278E-08","0.03531","0.0025","0.03805","0.03805","",""
"2000","5.253E-11","0.0001897","9.58E-09","0.03563","0.002541","0.03836","0.03836","",""
"3000","2.334E-11","0.0001319","6.385E-09","0.03595","0.002586","0.03866","0.03866","",""
"4000","1.313E-11","0.0001018","4.789E-09","0.03613","0.002612","0.03885","0.03885","",""
"5000","8.404E-12","8.325E-05","3.831E-09","0.03625","0.002627","0.03896","0.03896","",""
"6000","5.835E-12","7.06E-05","3.193E-09","0.03632","0.002639","0.03903","0.03903","",""
"8000","3.283E-12","5.439E-05","2.395E-09","0.03643","0.002654","0.03914","0.03914","",""
"10000","2.102E-12","4.442E-05","1.916E-09","0.03649","0.002665","0.0392","0.0392","",""
"15000","9.338E-13","3.069E-05","1.277E-09","0.03658","0.002678","0.03929","0.03929","",""
"20000","5.253E-13","2.359E-05","9.574E-10","0.03662","0.002686","0.03933","0.03933","",""
"30000","2.334E-13","1.627E-05","6.383E-10","0.03668","0.002693","0.03939","0.03939","",""
"40000","1.313E-13","1.249E-05","4.787E-10","0.03672","0.002697","0.03943","0.03943","",""
"50000","8.404E-14","1.017E-05","3.829E-10","0.03673","0.002701","0.03945","0.03945","",""
"60000","5.835E-14","8.6E-06","3.191E-10","0.03673","0.002703","0.03945","0.03945","",""
"80000","3.283E-14","6.594E-06","2.393E-10","0.03675","0.002704","0.03946","0.03946","",""
"100000","2.102E-14","5.366E-06","1.916E-10","0.03675","0.002706","0.03946","0.03946","",""
