"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","2.256","0.01427","1183","0","0","1185","1183","1183","C"
"0.0015","2.04","0.02477","400.2","0","0","402.3","400.2","400.1","C"
"0.00156","2.015","0.02594","360","0","0","362.1","360","360","C"
"0.00156","2.015","0.02594","3955","0","0","3957","3955","3829","C"
"0.002","1.838","0.03375","2261","0","0","2263","2261","2204","C"
"0.003","1.523","0.04732","786.5","0","0","788.1","786.6","773.2","C"
"0.004","1.295","0.0581","359.1","0","0","360.5","359.2","354.5","C"
"0.005","1.116","0.06787","192.2","0","0","193.4","192.3","190.2","C"
"0.006","0.9638","0.07696","114.3","0","0","115.3","114.3","113.3","C"
"0.008","0.7229","0.09292","49.5","0","0","50.32","49.6","49.18","C"
"0.01","0.5513","0.1058","25.56","0","0","26.21","25.66","25.43","C"
"0.015","0.3136","0.1265","7.515","0","0","7.955","7.641","7.487","C"
"0.02","0.2046","0.1371","3.1","0","0","3.442","3.237","3.094","C"
"0.03","0.1095","0.1464","0.8722","0","0","1.128","1.019","0.8778","C"
"0.04","0.06859","0.1494","0.3504","0","0","0.5684","0.4998","0.3601","C"
"0.05","0.04678","0.1496","0.1718","0","0","0.3681","0.3214","0.184","C"
"0.06","0.03386","0.1483","0.09564","0","0","0.2778","0.244","0.1099","C"
"0.08","0.02005","0.1439","0.03783","0","0","0.2018","0.1817","0.05511","C"
"0.1","0.01324","0.1388","0.0184","0","0","0.1704","0.1572","0.03794","C"
"0.15","0.006122","0.1267","0.004993","0","0","0.1378","0.1317","0.02827","C"
"0.2","0.003504","0.1168","0.002002","0","0","0.1223","0.1188","0.02745","C"
"0.3","0.00158","0.1021","0.0005743","0","0","0.1042","0.1026","0.02816","C"
"0.4","0.0008934","0.09162","0.000248","0","0","0.09276","0.09187","0.02862","C"
"0.5","0.0005732","0.08374","0.0001344","0","0","0.08445","0.08388","0.02868","C"
"0.6","0.0003986","0.07754","8.401E-05","0","0","0.07802","0.07762","0.02851","C"
"0.8","0.0002245","0.06814","4.252E-05","0","0","0.06841","0.06818","0.02778","C"
"1","0.0001438","0.06129","2.643E-05","0","0","0.06146","0.06132","0.02686","C"
"1.022","0.0001377","0.06064","2.489E-05","0","0","0.0608","0.06067","0.02674","I"
"1.25","9.207E-05","0.05482","1.688E-05","3.134E-05","0","0.05496","0.05486","0.02565","C"
"1.5","6.395E-05","0.04982","1.222E-05","0.0001708","0","0.05006","0.05","0.02451","C"
"2","3.598E-05","0.04252","7.633E-06","0.0006747","0","0.04324","0.0432","0.02266","C"
"2.044","3.444E-05","0.04201","7.381E-06","0.0007272","0","0.04277","0.04274","0.02252","I"
"3","1.599E-05","0.03346","4.223E-06","0.001918","1.171E-05","0.03541","0.03539","0.02024","C"
"4","8.997E-06","0.0279","2.881E-06","0.003102","4.781E-05","0.03106","0.03105","0.01882","C"
"5","5.758E-06","0.02411","2.175E-06","0.004154","9.524E-05","0.02836","0.02836","0.01795","C"
"6","4E-06","0.0213","1.744E-06","0.005098","0.0001463","0.02655","0.02655","0.01739","C"
"7","2.937E-06","0.01915","1.453E-06","0.005937","0.0001972","0.02529","0.02528","0.01706","I"
"8","2.25E-06","0.01743","1.245E-06","0.006694","0.0002466","0.02437","0.02437","0.01678","C"
"9","1.777E-06","0.01602","1.088E-06","0.007377","0.0002942","0.02369","0.02369","0.01663","I"
"10","1.44E-06","0.01484","9.664E-07","0.007999","0.0003393","0.02318","0.02318","0.0165","C"
"11","1.19E-06","0.01384","8.691E-07","0.008564","0.0003821","0.02279","0.02279","0.01646","I"
"12","9.997E-07","0.01298","7.894E-07","0.009082","0.0004225","0.02249","0.02249","0.01641","I"
"13","8.519E-07","0.01223","7.229E-07","0.009562","0.0004609","0.02226","0.02225","0.01638","I"
"14","7.345E-07","0.01157","6.669E-07","0.01001","0.0004973","0.02208","0.02208","0.01634","I"
"15","6.399E-07","0.01099","6.187E-07","0.01043","0.0005319","0.02195","0.02195","0.01631","C"
"16","5.625E-07","0.01046","5.772E-07","0.01082","0.0005649","0.02185","0.02184","0.01631","I"
"18","4.444E-07","0.009562","5.087E-07","0.01154","0.0006263","0.02173","0.02173","0.01632","I"
"20","3.6E-07","0.008818","4.546E-07","0.01218","0.0006823","0.02168","0.02168","0.01633","C"
"22","2.975E-07","0.008189","4.109E-07","0.01276","0.0007339","0.02168","0.02168","",""
"24","2.5E-07","0.007653","3.75E-07","0.01329","0.0007814","0.02172","0.02172","",""
"26","2.13E-07","0.007187","3.446E-07","0.01377","0.0008256","0.02179","0.02179","",""
"28","1.836E-07","0.006778","3.189E-07","0.01422","0.0008667","0.02187","0.02187","",""
"30","1.6E-07","0.006419","2.968E-07","0.01463","0.0009053","0.02196","0.02196","",""
"40","8.997E-08","0.0051","2.203E-07","0.01634","0.001066","0.02251","0.02251","",""
"50","5.758E-08","0.004259","1.751E-07","0.01761","0.001191","0.02306","0.02306","",""
"60","4E-08","0.003669","1.453E-07","0.01862","0.001292","0.02358","0.02358","",""
"80","2.25E-08","0.002893","1.084E-07","0.02013","0.001446","0.02447","0.02447","",""
"100","1.439E-08","0.002402","8.644E-08","0.02121","0.001561","0.02517","0.02517","",""
"150","6.397E-09","0.00171","5.738E-08","0.02294","0.001755","0.02641","0.02641","",""
"200","3.598E-09","0.001341","4.294E-08","0.02402","0.001881","0.02724","0.02724","",""
"300","1.599E-09","0.0009504","2.857E-08","0.02527","0.002039","0.02825","0.02825","",""
"400","8.997E-10","0.0007444","2.14E-08","0.026","0.002136","0.02888","0.02888","",""
"500","5.758E-10","0.0006162","1.711E-08","0.02649","0.002205","0.02931","0.02931","",""
"600","3.997E-10","0.0005276","1.425E-08","0.02683","0.002256","0.02961","0.02961","",""
"800","2.25E-10","0.000412","1.068E-08","0.0273","0.002328","0.03004","0.03004","",""
"1000","1.439E-10","0.000339","8.544E-09","0.02761","0.002375","0.03032","0.03032","",""
"1500","6.397E-11","0.0002368","5.694E-09","0.02806","0.002448","0.03074","0.03074","",""
"2000","3.598E-11","0.0001832","4.27E-09","0.0283","0.002491","0.03098","0.03098","",""
"3000","1.599E-11","0.0001274","2.846E-09","0.02857","0.002538","0.03123","0.03123","",""
"4000","8.997E-12","9.834E-05","2.134E-09","0.02873","0.002565","0.03139","0.03139","",""
"5000","5.758E-12","8.039E-05","1.707E-09","0.02881","0.002582","0.03148","0.03148","",""
"6000","3.997E-12","6.819E-05","1.423E-09","0.02888","0.002594","0.03154","0.03154","",""
"8000","2.25E-12","5.252E-05","1.067E-09","0.02895","0.002609","0.03161","0.03161","",""
"10000","1.439E-12","4.288E-05","8.535E-10","0.02902","0.00262","0.03168","0.03168","",""
"15000","6.397E-13","2.964E-05","5.689E-10","0.02908","0.002634","0.03175","0.03175","",""
"20000","3.598E-13","2.279E-05","4.267E-10","0.02913","0.002643","0.03179","0.03179","",""
"30000","1.599E-13","1.572E-05","2.846E-10","0.02915","0.002652","0.03182","0.03182","",""
"40000","8.997E-14","1.206E-05","2.134E-10","0.02917","0.002656","0.03184","0.03184","",""
"50000","5.758E-14","9.825E-06","1.707E-10","0.02919","0.002658","0.03186","0.03186","",""
"60000","3.997E-14","8.305E-06","1.422E-10","0.02919","0.00266","0.03186","0.03186","",""
"80000","2.25E-14","6.368E-06","1.067E-10","0.02922","0.002663","0.03189","0.03189","",""
"100000","1.439E-14","5.18E-06","8.533E-11","0.02922","0.002665","0.03189","0.03189","",""
