"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.042","0.007079","3181","0","0","3184","3181","3180","C"
"0.0015","2.822","0.0142","1102","0","0","1105","1102","1102","C"
"0.002","2.57","0.02204","509.4","0","0","512","509.4","509.3","C"
"0.003","2.083","0.03717","168.2","0","0","170.4","168.3","168.2","C"
"0.003203","1.993","0.04001","140.4","0","0","142.4","140.4","140.3","C"
"0.003203","1.993","0.04001","1273","0","0","1275","1273","1153","C"
"0.004","1.694","0.05023","755.4","0","0","757.1","755.5","697.9","C"
"0.005","1.409","0.06099","421","0","0","422.5","421.1","395.3","C"
"0.006","1.201","0.06971","258.1","0","0","259.4","258.2","244.9","C"
"0.008","0.9245","0.08293","117","0","0","118","117.1","112.5","C"
"0.01","0.7411","0.09288","62.32","0","0","63.15","62.41","60.38","C"
"0.015","0.4556","0.1105","19.27","0","0","19.83","19.38","18.86","C"
"0.02","0.3016","0.1213","8.207","0","0","8.63","8.328","8.074","C"
"0.03","0.1616","0.1316","2.403","0","0","2.696","2.535","2.382","C"
"0.04","0.1021","0.1351","0.9909","0","0","1.228","1.126","0.9907","C"
"0.05","0.0707","0.1359","0.4946","0","0","0.7012","0.6305","0.502","C"
"0.06","0.05178","0.1353","0.2793","0","0","0.4664","0.4146","0.2904","C"
"0.08","0.03107","0.1322","0.1127","0","0","0.276","0.2449","0.128","C"
"0.1","0.02064","0.128","0.05564","0","0","0.2043","0.1837","0.07344","C"
"0.15","0.009633","0.1176","0.01544","0","0","0.1427","0.133","0.03703","C"
"0.2","0.005549","0.1087","0.00628","0","0","0.1205","0.115","0.02998","C"
"0.3","0.002519","0.09518","0.001832","0","0","0.09953","0.09701","0.02757","C"
"0.4","0.001428","0.08554","0.0007979","0","0","0.08776","0.08633","0.02727","C"
"0.5","0.0009179","0.07822","0.0004345","0","0","0.07958","0.07866","0.02708","C"
"0.6","0.0006389","0.07244","0.0002721","0","0","0.07335","0.07271","0.02679","C"
"0.8","0.0003601","0.06369","0.0001381","0","0","0.06419","0.06383","0.02601","C"
"1","0.0002308","0.0573","8.587E-05","0","0","0.05762","0.05739","0.0251","C"
"1.022","0.000221","0.0567","8.124E-05","0","0","0.057","0.05678","0.02498","I"
"1.25","0.0001478","0.05125","5.504E-05","4.26E-05","0","0.0515","0.05135","0.02394","C"
"1.5","0.0001027","0.04658","3.978E-05","0.0002272","0","0.04695","0.04685","0.02288","C"
"2","5.778E-05","0.03977","2.471E-05","0.0008864","0","0.04074","0.04068","0.02123","C"
"2.044","5.531E-05","0.03927","2.388E-05","0.0009551","0","0.0403","0.04025","0.02112","I"
"3","2.569E-05","0.0313","1.355E-05","0.002499","1.095E-05","0.03385","0.03382","0.01927","C"
"4","1.445E-05","0.02609","9.197E-06","0.004025","4.47E-05","0.03019","0.03017","0.01827","C"
"5","9.248E-06","0.02254","6.919E-06","0.005379","8.906E-05","0.02802","0.02801","0.01777","C"
"6","6.422E-06","0.01993","5.531E-06","0.006589","0.0001368","0.02667","0.02666","0.01753","C"
"7","4.718E-06","0.01791","4.601E-06","0.007667","0.0001844","0.02577","0.02577","0.01747","I"
"8","3.613E-06","0.0163","3.935E-06","0.008636","0.0002306","0.02517","0.02517","0.01742","C"
"9","2.855E-06","0.01498","3.436E-06","0.009514","0.0002748","0.02478","0.02477","0.01748","I"
"10","2.312E-06","0.01388","3.048E-06","0.01031","0.000317","0.02451","0.02451","0.01754","C"
"11","1.912E-06","0.01295","2.739E-06","0.01103","0.000357","0.02434","0.02434","0.01765","I"
"12","1.605E-06","0.01214","2.486E-06","0.01169","0.0003947","0.02423","0.02423","0.01775","I"
"13","1.368E-06","0.01144","2.275E-06","0.01231","0.0004304","0.02418","0.02418","0.01784","I"
"14","1.18E-06","0.01082","2.097E-06","0.01288","0.0004643","0.02417","0.02417","0.01792","I"
"15","1.028E-06","0.01027","1.945E-06","0.01341","0.0004966","0.02419","0.02418","0.018","C"
"16","9.031E-07","0.009784","1.814E-06","0.01391","0.0005272","0.02423","0.02423","0.01809","I"
"18","7.136E-07","0.008942","1.596E-06","0.01483","0.0005843","0.02436","0.02436","0.01827","I"
"20","5.78E-07","0.008246","1.427E-06","0.01565","0.0006363","0.02453","0.02453","0.01842","C"
"22","4.777E-07","0.00766","1.289E-06","0.01639","0.0006843","0.02473","0.02473","",""
"24","4.014E-07","0.007158","1.175E-06","0.01706","0.0007284","0.02495","0.02495","",""
