"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.509","0.005811","2116","0","0","2121","2116","2116","C"
"0.00115","5.42","0.007285","1517","0","0","1522","1517","1517","C"
"0.001323","5.315","0.009067","1087","0","0","1092","1087","1087","C"
"0.001323","5.315","0.009067","4527","0","0","4532","4527","4459","C"
"0.001341","5.303","0.00925","4484","0","0","4489","4484","4416","C"
"0.001359","5.291","0.009437","4441","0","0","4446","4441","4398","C"
"0.001359","5.291","0.009437","6077","0","0","6083","6077","6015","C"
"0.0015","5.195","0.0109","5221","0","0","5226","5221","5164","C"
"0.001526","5.177","0.01117","4992","0","0","4998","4992","4938","C"
"0.001526","5.177","0.01117","5648","0","0","5653","5648","5585","C"
"0.002","4.853","0.01604","2927","0","0","2931","2927","2902","C"
"0.003","4.209","0.02561","1045","0","0","1049","1045","1039","C"
"0.004","3.665","0.03404","488.4","0","0","492.1","488.4","486.2","C"
"0.005","3.206","0.04152","267.7","0","0","270.9","267.7","266.7","C"
"0.006","2.812","0.04829","162.8","0","0","165.6","162.8","162.2","C"
"0.008","2.176","0.06023","73.49","0","0","75.73","73.55","73.3","C"
"0.01","1.71","0.07036","39.37","0","0","41.15","39.44","39.28","C"
"0.01187","1.397","0.07837","24.3","0","0","25.77","24.38","24.25","C"
"0.01187","1.397","0.07837","177.8","0","0","179.3","177.9","100.8","C"
"0.015","1.034","0.08938","97.42","0","0","98.54","97.51","63.71","C"
"0.02","0.7069","0.1017","44.84","0","0","45.64","44.94","33.1","C"
"0.03","0.3984","0.1153","14.54","0","0","15.05","14.66","11.98","C"
"0.04","0.2532","0.1215","6.386","0","0","6.761","6.508","5.537","C"
"0.05","0.1748","0.1242","3.336","0","0","3.635","3.46","2.983","C"
"0.06","0.1284","0.1249","1.95","0","0","2.203","2.075","1.783","C"
"0.08","0.07841","0.1235","0.8279","0","0","1.03","0.9514","0.7837","C"
"0.1","0.053","0.1206","0.4234","0","0","0.5971","0.5441","0.4155","C"
"0.15","0.02533","0.1123","0.1247","0","0","0.2623","0.237","0.1399","C"
"0.2","0.01474","0.1046","0.05254","0","0","0.1719","0.1571","0.0735","C"
"0.3","0.006778","0.09219","0.016","0","0","0.115","0.1082","0.04043","C"
"0.4","0.003874","0.08311","0.007151","0","0","0.09414","0.09026","0.03261","C"
"0.5","0.002501","0.07614","0.003954","0","0","0.08259","0.08009","0.02966","C"
"0.6","0.001746","0.07058","0.002501","0","0","0.07483","0.07308","0.02813","C"
"0.8","0.0009871","0.06213","0.001279","0","0","0.0644","0.06341","0.02628","C"
"1","0.0006336","0.05592","0.0007959","0","0","0.05735","0.05672","0.02494","C"
"1.022","0.0006068","0.05533","0.0007564","0","0","0.0567","0.05609","0.0248","I"
"1.25","0.0004062","0.05004","0.0005111","9.308E-05","0","0.05105","0.05065","0.02355","C"
"1.5","0.0002824","0.0455","0.0003677","0.0004592","0","0.04661","0.04633","0.02243","C"
"2","0.000159","0.03885","0.0002257","0.001694","0","0.04093","0.04077","0.02096","C"
"2.044","0.0001522","0.03837","0.000218","0.001818","0","0.04056","0.04041","0.0209","I"
"3","7.071E-05","0.03058","0.0001216","0.004607","1.07E-05","0.03539","0.03532","0.01984","C"
"4","3.979E-05","0.0255","8.15E-05","0.007294","4.367E-05","0.03296","0.03292","0.01974","C"
"5","2.546E-05","0.02203","6.077E-05","0.009662","8.697E-05","0.03187","0.03184","0.02005","C"
"6","1.768E-05","0.01948","4.827E-05","0.01174","0.0001335","0.03141","0.03139","0.02049","C"
"7","1.3E-05","0.01751","3.995E-05","0.01359","0.0001799","0.03133","0.03132","0.02101","I"
"8","9.951E-06","0.01593","3.403E-05","0.01526","0.0002248","0.03146","0.03145","0.02148","C"
"9","7.861E-06","0.01465","2.962E-05","0.01678","0.0002679","0.03173","0.03173","0.02197","I"
"10","6.368E-06","0.01357","2.62E-05","0.01816","0.0003088","0.03207","0.03206","0.02241","C"
"11","5.262E-06","0.01265","2.349E-05","0.01941","0.0003476","0.03244","0.03243","0.02278","I"
"12","4.422E-06","0.01187","2.128E-05","0.02056","0.0003841","0.03284","0.03284","0.02313","I"
"13","3.767E-06","0.01118","1.944E-05","0.02161","0.0004186","0.03324","0.03323","0.02345","I"
"14","3.249E-06","0.01058","1.79E-05","0.02259","0.0004515","0.03365","0.03364","0.02375","I"
"15","2.83E-06","0.01004","1.658E-05","0.02351","0.0004826","0.03405","0.03405","0.02404","C"
"16","2.487E-06","0.009565","1.544E-05","0.02437","0.0005123","0.03447","0.03446","0.02424","I"
"18","1.965E-06","0.008737","1.358E-05","0.02594","0.0005672","0.03526","0.03526","0.02461","I"
"20","1.592E-06","0.008062","1.211E-05","0.02734","0.0006172","0.03603","0.03603","0.02495","C"
"22","1.316E-06","0.007487","1.092E-05","0.02861","0.0006631","0.03678","0.03678","",""
"24","1.105E-06","0.006996","9.951E-06","0.02977","0.0007053","0.03749","0.03748","",""
"26","9.42E-07","0.006569","9.139E-06","0.03083","0.0007444","0.03815","0.03815","",""
"28","8.118E-07","0.006197","8.448E-06","0.0318","0.0007807","0.03879","0.03878","",""
"30","7.075E-07","0.005868","7.852E-06","0.0327","0.0008142","0.03939","0.03939","",""
"40","3.98E-07","0.004663","5.808E-06","0.03635","0.0009549","0.04197","0.04197","",""
"50","2.547E-07","0.003893","4.607E-06","0.03907","0.001062","0.04403","0.04403","",""
"60","1.768E-07","0.003353","3.818E-06","0.04119","0.001147","0.0457","0.0457","",""
"80","9.951E-08","0.002645","2.843E-06","0.04435","0.001276","0.04827","0.04827","",""
"100","6.367E-08","0.002195","2.265E-06","0.04658","0.00137","0.05015","0.05015","",""
"150","2.83E-08","0.001563","1.501E-06","0.05014","0.001527","0.05323","0.05323","",""
"200","1.592E-08","0.001226","1.123E-06","0.05226","0.001625","0.05511","0.05511","",""
"300","7.075E-09","0.0008689","7.463E-07","0.05474","0.001747","0.05735","0.05735","",""
"400","3.98E-09","0.0006804","5.589E-07","0.05616","0.00182","0.05866","0.05866","",""
"500","2.547E-09","0.0005633","4.467E-07","0.05709","0.00187","0.05953","0.05953","",""
"600","1.768E-09","0.0004823","3.721E-07","0.05776","0.001907","0.06015","0.06015","",""
"800","9.951E-10","0.0003767","2.788E-07","0.05865","0.001957","0.06099","0.06099","",""
"1000","6.367E-10","0.0003099","2.23E-07","0.05923","0.001991","0.06153","0.06153","",""
"1500","2.83E-10","0.0002164","1.485E-07","0.06007","0.002041","0.06232","0.06232","",""
"2000","1.592E-10","0.0001675","1.114E-07","0.06053","0.00207","0.06276","0.06276","",""
"3000","7.075E-11","0.0001165","7.424E-08","0.06102","0.0021","0.06323","0.06323","",""
"4000","3.98E-11","8.986E-05","5.567E-08","0.06128","0.002119","0.06349","0.06349","",""
"5000","2.547E-11","7.35E-05","4.454E-08","0.06144","0.00213","0.06365","0.06365","",""
"6000","1.768E-11","6.233E-05","3.711E-08","0.06156","0.002137","0.06376","0.06376","",""
"8000","9.951E-12","4.802E-05","2.783E-08","0.06172","0.002148","0.06391","0.06391","",""
"10000","6.367E-12","3.921E-05","2.227E-08","0.0618","0.002155","0.064","0.064","",""
"15000","2.83E-12","2.71E-05","1.484E-08","0.06194","0.002164","0.06413","0.06413","",""
"20000","1.592E-12","2.083E-05","1.113E-08","0.06201","0.002169","0.0642","0.0642","",""
"30000","7.075E-13","1.436E-05","7.421E-09","0.06208","0.002173","0.06427","0.06427","",""
"40000","3.98E-13","1.103E-05","5.565E-09","0.06213","0.002177","0.06431","0.06431","",""
"50000","2.547E-13","8.978E-06","4.452E-09","0.06215","0.002179","0.06434","0.06434","",""
"60000","1.768E-13","7.592E-06","3.71E-09","0.06217","0.00218","0.06435","0.06435","",""
"80000","9.951E-14","5.821E-06","2.783E-09","0.06219","0.002181","0.06438","0.06438","",""
"100000","6.367E-14","4.736E-06","2.226E-09","0.0622","0.002182","0.06438","0.06438","",""
