"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","0.8055","0.01612","1228","0","0","1229","1228","1228","C"
"0.0015","0.6952","0.03084","375.9","0","0","376.7","376","375.9","C"
"0.002","0.5871","0.04568","159.1","0","0","159.7","159.1","159.1","C"
"0.003","0.4205","0.07041","46.18","0","0","46.67","46.25","46.17","C"
"0.004","0.3166","0.08734","18.86","0","0","19.27","18.95","18.86","C"
"0.005","0.252","0.09876","9.33","0","0","9.681","9.429","9.332","C"
"0.006","0.2094","0.1072","5.222","0","0","5.539","5.329","5.223","C"
"0.008","0.1562","0.1195","2.071","0","0","2.346","2.19","2.072","C"
"0.01","0.1228","0.1288","1.003","0","0","1.255","1.132","1.006","C"
"0.015","0.07342","0.1438","0.2655","0","0","0.4827","0.4093","0.2698","C"
"0.02","0.0477","0.1512","0.1025","0","0","0.3014","0.2537","0.1084","C"
"0.03","0.02438","0.1554","0.02656","0","0","0.2064","0.182","0.03506","C"
"0.04","0.0147","0.1545","0.01014","0","0","0.1794","0.1647","0.02084","C"
"0.05","0.009793","0.1519","0.004794","0","0","0.1665","0.1567","0.01737","C"
"0.06","0.006974","0.1488","0.002599","0","0","0.1584","0.1514","0.0168","C"
"0.08","0.004031","0.1422","0.0009887","0","0","0.1472","0.1432","0.01785","C"
"0.1","0.002616","0.136","0.0004697","0","0","0.1391","0.1365","0.0194","C"
"0.15","0.00118","0.123","0.0001224","0","0","0.1244","0.1232","0.02255","C"
"0.2","0.0006668","0.1129","4.794E-05","0","0","0.1136","0.113","0.02453","C"
"0.3","0.0002976","0.09832","1.339E-05","0","0","0.09863","0.09833","0.02654","C"
"0.4","0.0001676","0.08818","5.698E-06","0","0","0.08835","0.08818","0.02731","C"
"0.5","0.0001073","0.08055","3.062E-06","0","0","0.08066","0.08055","0.02749","C"
"0.6","7.459E-05","0.07453","1.903E-06","0","0","0.07461","0.07453","0.02737","C"
"0.8","4.196E-05","0.06545","9.592E-07","0","0","0.06549","0.06545","0.02671","C"
"1","2.685E-05","0.05888","5.966E-07","0","0","0.05891","0.05888","0.02586","C"
