"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.521","0.006863","8534","0","0","8542","8534","8521","C"
"0.001031","8.49","0.007124","7976","0","0","7985","7976","7969","C"
"0.001062","8.459","0.007394","7459","0","0","7468","7459","7445","C"
"0.001062","8.459","0.007394","8538","0","0","8547","8538","8524","C"
"0.001099","8.423","0.007705","7946","0","0","7955","7946","7935","C"
"0.001137","8.385","0.008021","7398","0","0","7406","7398","7384","C"
"0.001137","8.385","0.008021","7828","0","0","7836","7828","7815","C"
"0.001212","8.311","0.008625","6841","0","0","6849","6841","6841","C"
"0.001293","8.231","0.009257","5981","0","0","5990","5981","5968","C"
"0.001293","8.231","0.009257","6249","0","0","6257","6249","6237","C"
"0.0015","8.016","0.01094","4490","0","0","4499","4491","4485","C"
"0.002","7.512","0.0149","2311","0","0","2319","2311","2308","C"
"0.003","6.565","0.02251","863","0","0","869.6","863","862.2","C"
"0.004","5.727","0.02955","418.8","0","0","424.5","418.8","418.4","C"
"0.005","5.034","0.0358","236.3","0","0","241.4","236.4","236.1","C"
"0.005247","4.881","0.03721","208.6","0","0","213.5","208.6","208.4","C"
"0.005247","4.881","0.03721","604.7","0","0","609.6","604.8","568.9","C"
"0.005432","4.774","0.03824","556.6","0","0","561.4","556.6","526.3","C"
"0.005624","4.662","0.03927","512.2","0","0","516.9","512.2","483.5","C"
"0.005624","4.662","0.03927","696.8","0","0","701.5","696.9","648.6","C"
"0.005803","4.552","0.04021","644.9","0","0","649.5","645","602.5","C"
"0.005989","4.46","0.04116","596.8","0","0","601.3","596.9","557.7","C"
"0.005989","4.46","0.04116","688.9","0","0","693.4","689","641.2","C"
"0.006","4.455","0.04122","685.4","0","0","689.9","685.5","638.3","C"
"0.008","3.555","0.05034","329.9","0","0","333.5","329.9","312.7","C"
"0.01","2.897","0.05815","183","0","0","186","183.1","175.4","C"
"0.015","1.905","0.07341","61.48","0","0","63.46","61.55","59.72","C"
"0.02","1.367","0.08376","27.93","0","0","29.38","28.01","27.3","C"
"0.03","0.7867","0.09595","9.02","0","0","9.903","9.116","8.875","C"
"0.03744","0.5657","0.1011","4.833","0","0","5.499","4.934","4.768","C"
"0.03744","0.5657","0.1011","28.52","0","0","29.19","28.62","9.346","C"
"0.04","0.5122","0.1024","23.96","0","0","24.57","24.06","8.842","C"
"0.05","0.3642","0.1059","13.32","0","0","13.79","13.42","6.534","C"
"0.06","0.2729","0.1076","8.13","0","0","8.511","8.238","4.66","C"
"0.08","0.1686","0.1082","3.686","0","0","3.963","3.794","2.501","C"
"0.1","0.1143","0.1068","1.974","0","0","2.195","2.081","1.47","C"
"0.15","0.05565","0.1008","0.6262","0","0","0.7827","0.727","0.5309","C"
"0.2","0.03298","0.09455","0.277","0","0","0.4045","0.3716","0.2583","C"
"0.3","0.01543","0.08411","0.08955","0","0","0.1891","0.1737","0.1028","C"
"0.4","0.008898","0.07617","0.04148","0","0","0.1265","0.1177","0.06125","C"
"0.5","0.005775","0.06999","0.02347","0","0","0.09923","0.09346","0.04521","C"
"0.6","0.004051","0.06499","0.01506","0","0","0.0841","0.08005","0.03743","C"
"0.8","0.002304","0.05732","0.007819","0","0","0.06744","0.06513","0.03011","C"
"1","0.001484","0.05166","0.004885","0","0","0.05803","0.05654","0.02657","C"
"1.022","0.001421","0.05109","0.004675","0","0","0.05718","0.05576","0.02629","I"
"1.25","0.0009538","0.04626","0.003153","0.0002019","0","0.05057","0.04962","0.02388","C"
"1.5","0.0006639","0.04207","0.002256","0.0009332","0","0.04592","0.04526","0.02224","C"
"2","0.0003743","0.03593","0.001371","0.003104","0","0.04078","0.04041","0.02069","C"
"2.044","0.0003584","0.03549","0.001323","0.003313","0","0.04048","0.04013","0.02068","I"
"3","0.0001667","0.02829","0.0007262","0.007722","9.893E-06","0.03692","0.03675","0.02044","C"
"4","9.38E-05","0.02361","0.0004802","0.01176","4.035E-05","0.03598","0.03588","0.02135","C"
"5","6.008E-05","0.02039","0.0003546","0.01523","8.029E-05","0.03612","0.03606","0.0225","C"
"6","4.172E-05","0.01802","0.0002796","0.01822","0.0001232","0.03669","0.03665","0.02363","C"
"7","3.065E-05","0.0162","0.0002301","0.02088","0.0001659","0.03751","0.03748","0.0247","I"
"8","2.347E-05","0.01475","0.0001951","0.02326","0.0002072","0.03844","0.03841","0.02566","C"
"9","1.855E-05","0.01355","0.0001692","0.02543","0.0002467","0.03942","0.0394","0.02652","I"
"10","1.502E-05","0.01256","0.0001492","0.02742","0.0002842","0.04042","0.04041","0.02731","C"
"11","1.241E-05","0.01172","0.0001334","0.02925","0.0003196","0.04143","0.04142","0.02793","I"
"12","1.043E-05","0.01099","0.0001206","0.03095","0.000353","0.04242","0.04241","0.0285","I"
"13","8.889E-06","0.01035","0.00011","0.03253","0.0003845","0.04339","0.04338","0.02904","I"
"14","7.665E-06","0.009792","0.000101","0.03399","0.0004144","0.04431","0.0443","0.02955","I"
"15","6.679E-06","0.009297","9.345E-05","0.03535","0.0004429","0.04518","0.04518","0.03003","C"
"16","5.867E-06","0.008854","8.692E-05","0.0366","0.0004697","0.04602","0.04601","0.0303","I"
"18","4.635E-06","0.008091","7.622E-05","0.03888","0.0005192","0.04757","0.04757","0.0308","I"
"20","3.756E-06","0.007464","6.788E-05","0.04092","0.0005644","0.04902","0.04902","0.03126","C"
"22","3.104E-06","0.006933","6.113E-05","0.04277","0.000606","0.05038","0.05037","",""
"24","2.608E-06","0.006477","5.565E-05","0.04447","0.0006438","0.05165","0.05164","",""
"26","2.222E-06","0.006082","5.1E-05","0.046","0.0006788","0.05282","0.05281","",""
"28","1.916E-06","0.005736","4.71E-05","0.0474","0.0007113","0.0539","0.0539","",""
"30","1.669E-06","0.005433","4.376E-05","0.04868","0.0007415","0.0549","0.05489","",""
"40","9.389E-07","0.004317","3.227E-05","0.05398","0.0008665","0.0592","0.0592","",""
"50","6.008E-07","0.003604","2.555E-05","0.05789","0.0009612","0.06248","0.06248","",""
"60","4.173E-07","0.003105","2.115E-05","0.06091","0.001036","0.06507","0.06507","",""
"80","2.347E-07","0.002449","1.572E-05","0.06538","0.001149","0.069","0.069","",""
"100","1.502E-07","0.002033","1.251E-05","0.06859","0.001231","0.07186","0.07186","",""
"150","6.679E-08","0.001448","8.284E-06","0.07367","0.001366","0.07649","0.07649","",""
"200","3.756E-08","0.001135","6.192E-06","0.0767","0.001452","0.07929","0.07929","",""
"300","1.669E-08","0.0008043","4.112E-06","0.08025","0.001556","0.08261","0.08261","",""
"400","9.389E-09","0.0006302","3.079E-06","0.08227","0.001619","0.08452","0.08452","",""
"500","6.008E-09","0.0005214","2.46E-06","0.08363","0.001662","0.08581","0.08581","",""
"600","4.173E-09","0.0004464","2.049E-06","0.08459","0.001694","0.08673","0.08673","",""
"800","2.347E-09","0.0003487","1.535E-06","0.08586","0.001738","0.08795","0.08795","",""
"1000","1.502E-09","0.0002869","1.227E-06","0.0867","0.001768","0.08875","0.08875","",""
"1500","6.679E-10","0.0002004","8.178E-07","0.08788","0.001812","0.08989","0.08989","",""
"2000","3.756E-10","0.0001551","6.131E-07","0.08854","0.001837","0.09053","0.09053","",""
"3000","1.669E-10","0.0001078","4.086E-07","0.08924","0.001865","0.09121","0.09121","",""
"4000","9.389E-11","8.323E-05","3.064E-07","0.08963","0.001881","0.0916","0.0916","",""
"5000","6.008E-11","6.806E-05","2.451E-07","0.08985","0.001891","0.09181","0.09181","",""
"6000","4.173E-11","5.771E-05","2.042E-07","0.09003","0.001899","0.09199","0.09199","",""
"8000","2.347E-11","4.447E-05","1.531E-07","0.09025","0.001908","0.0922","0.0922","",""
"10000","1.502E-11","3.63E-05","1.225E-07","0.09038","0.001914","0.09233","0.09233","",""
"15000","6.679E-12","2.508E-05","8.165E-08","0.0906","0.001922","0.09255","0.09255","",""
"20000","3.756E-12","1.929E-05","6.126E-08","0.09069","0.001927","0.09263","0.09263","",""
"30000","1.669E-12","1.33E-05","4.083E-08","0.09077","0.001932","0.09272","0.09272","",""
"40000","9.389E-13","1.021E-05","3.062E-08","0.09086","0.001935","0.09281","0.09281","",""
"50000","6.008E-13","8.314E-06","2.45E-08","0.09091","0.001937","0.09285","0.09285","",""
