"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.7","0.003498","5429","0","0","5442","5429","5427","C"
"0.0015","12.17","0.00649","2455","0","0","2468","2455","2455","C"
"0.002","11.58","0.009547","1336","0","0","1348","1336","1336","C"
"0.00258","10.89","0.01298","761.6","0","0","772.5","761.6","761.2","C"
"0.00258","10.89","0.01298","1771","0","0","1782","1771","1731","C"
"0.002633","10.83","0.01329","1808","0","0","1819","1808","1799","C"
"0.002688","10.76","0.01361","1846","0","0","1857","1846","1802","C"
"0.002688","10.76","0.01361","2571","0","0","2582","2571","2500","C"
"0.003","10.39","0.01537","2043","0","0","2053","2043","1996","C"
"0.003177","10.19","0.01633","1764","0","0","1774","1764","1725","C"
"0.003177","10.19","0.01633","2038","0","0","2048","2038","1992","C"
"0.003427","9.945","0.0177","1692","0","0","1702","1692","1659","C"
"0.003696","9.616","0.01907","1405","0","0","1414","1405","1378","C"
"0.003696","9.616","0.01907","1489","0","0","1498","1489","1460","C"
"0.003845","9.403","0.01976","1355","0","0","1364","1355","1329","C"
"0.003999","9.296","0.02061","1234","0","0","1243","1234","1211","C"
"0.003999","9.296","0.02061","1288","0","0","1297","1288","1264","C"
"0.004","9.296","0.02062","1287","0","0","1296","1287","1263","C"
"0.005","8.322","0.02541","749.5","0","0","757.9","749.5","738.6","C"
"0.006","7.472","0.02991","478.1","0","0","485.6","478.1","472.1","C"
"0.008","6.098","0.03821","231.7","0","0","237.9","231.8","229.5","C"
"0.01","5.066","0.0455","130.9","0","0","136","130.9","129.8","C"
"0.01342","3.807","0.05547","61.03","0","0","64.9","61.09","60.64","C"
"0.01342","3.807","0.05547","152.2","0","0","156","152.2","123.4","C"
"0.015","3.372","0.05933","112.5","0","0","116","112.6","93.58","C"
"0.01571","3.202","0.06092","99.42","0","0","102.7","99.48","83.46","C"
"0.01571","3.202","0.06092","138.3","0","0","141.6","138.4","106.9","C"
"0.01605","3.125","0.06164","131.6","0","0","134.8","131.6","102.4","C"
"0.01639","3.049","0.06236","125.1","0","0","128.2","125.2","97.69","C"
"0.01639","3.049","0.06236","144.6","0","0","147.7","144.7","111.6","C"
"0.02","2.388","0.06907","87.06","0","0","89.51","87.12","70.6","C"
"0.03","1.406","0.0823","30.03","0","0","31.52","30.11","26.17","C"
"0.04","0.9406","0.09025","13.92","0","0","14.95","14.01","12.55","C"
"0.05","0.67","0.09486","7.613","0","0","8.378","7.708","7.004","C"
"0.06","0.5017","0.09746","4.634","0","0","5.233","4.731","4.32","C"
"0.08","0.3153","0.09939","2.107","0","0","2.522","2.206","1.999","C"
"0.09053","0.2572","0.09942","1.5","0","0","1.856","1.599","1.434","C"
"0.09053","0.2572","0.09942","7.023","0","0","7.379","7.122","2.073","C"
"0.1","0.2179","0.09913","5.42","0","0","5.737","5.52","1.951","C"
"0.15","0.1076","0.09507","1.88","0","0","2.082","1.975","1.071","C"
"0.2","0.0642","0.08991","0.8792","0","0","1.033","0.9691","0.6014","C"
"0.3","0.03066","0.0806","0.3052","0","0","0.4164","0.3858","0.2532","C"
"0.4","0.01794","0.07331","0.1479","0","0","0.2391","0.2212","0.1414","C"
"0.5","0.01175","0.06755","0.08628","0","0","0.1656","0.1538","0.09411","C"
"0.6","0.008285","0.06285","0.05654","0","0","0.1277","0.1194","0.07017","C"
"0.8","0.004752","0.05556","0.03006","0","0","0.09037","0.08561","0.04758","C"
"1","0.003075","0.05011","0.01895","0","0","0.07214","0.06907","0.0373","C"
"1.022","0.002948","0.04959","0.01814","0","0","0.07068","0.06773","0.03656","I"
"1.25","0.001986","0.04493","0.01224","0.0003873","0","0.05954","0.05755","0.03039","C"
"1.5","0.001387","0.04089","0.008717","0.001855","0","0.05285","0.05146","0.02678","C"
"2","0.0007847","0.03495","0.005271","0.005579","0","0.04659","0.0458","0.02389","C"
"2.044","0.0007515","0.03452","0.00508","0.005905","0","0.04626","0.04551","0.02387","I"
"3","0.0003507","0.02753","0.002755","0.01215","9.619E-06","0.0428","0.04244","0.02347","C"
"4","0.0001976","0.02298","0.001803","0.0174","3.919E-05","0.04242","0.04222","0.02475","C"
"5","0.0001266","0.01985","0.001321","0.02179","7.795E-05","0.04317","0.04304","0.02626","C"
"6","8.795E-05","0.01755","0.001035","0.02558","0.0001195","0.04438","0.04429","0.02772","C"
"7","6.464E-05","0.01578","0.0008472","0.02893","0.0001608","0.04578","0.04572","0.02902","I"
"8","4.948E-05","0.01436","0.0007155","0.03193","0.0002007","0.04725","0.0472","0.0302","C"
"9","3.91E-05","0.0132","0.0006184","0.03467","0.0002388","0.04876","0.04872","0.0312","I"
"10","3.167E-05","0.01223","0.0005441","0.03717","0.0002749","0.05025","0.05022","0.03213","C"
"11","2.619E-05","0.01141","0.000485","0.03951","0.0003089","0.05174","0.05171","0.03281","I"
"12","2.2E-05","0.0107","0.0004374","0.04167","0.0003412","0.05317","0.05315","0.03345","I"
"13","1.875E-05","0.01008","0.0003982","0.04372","0.0003712","0.05458","0.05456","0.03405","I"
"14","1.617E-05","0.009535","0.0003654","0.04562","0.0004","0.05593","0.05592","0.03461","I"
"15","1.409E-05","0.009054","0.0003374","0.04737","0.0004271","0.05721","0.05719","0.03514","C"
"16","1.238E-05","0.008622","0.0003135","0.04905","0.0004527","0.05845","0.05843","0.0354","I"
"18","9.78E-06","0.007881","0.0002744","0.05204","0.0005","0.06071","0.0607","0.03588","I"
"20","7.925E-06","0.007268","0.0002438","0.05469","0.0005432","0.06276","0.06275","0.03632","C"
"22","6.547E-06","0.006752","0.0002194","0.05711","0.0005824","0.06467","0.06467","",""
"24","5.501E-06","0.006308","0.0001993","0.05933","0.0006181","0.06646","0.06646","",""
"26","4.688E-06","0.005925","0.0001826","0.06135","0.0006513","0.06811","0.06811","",""
"28","4.043E-06","0.005588","0.0001685","0.0632","0.0006818","0.06964","0.06963","",""
"30","3.521E-06","0.005291","0.0001564","0.0649","0.0007103","0.07106","0.07105","",""
"40","1.981E-06","0.004204","0.000115","0.07184","0.000827","0.07699","0.07699","",""
"50","1.268E-06","0.00351","9.089E-05","0.077","0.0009146","0.08152","0.08151","",""
"60","8.804E-07","0.003023","7.513E-05","0.081","0.0009835","0.08509","0.08509","",""
"80","4.954E-07","0.002385","5.576E-05","0.08688","0.001086","0.09041","0.09041","",""
"100","3.17E-07","0.001979","4.435E-05","0.09103","0.00116","0.09422","0.09422","",""
"150","1.409E-07","0.00141","2.931E-05","0.09757","0.001281","0.1003","0.1003","",""
"200","7.925E-08","0.001105","2.189E-05","0.1015","0.001356","0.1039","0.1039","",""
"300","3.521E-08","0.0007835","1.453E-05","0.106","0.001446","0.1082","0.1082","",""
"400","1.981E-08","0.0006135","1.088E-05","0.1086","0.0015","0.1107","0.1107","",""
"500","1.268E-08","0.0005078","8.691E-06","0.1102","0.001536","0.1123","0.1123","",""
"600","8.804E-09","0.0004348","7.236E-06","0.1114","0.001563","0.1134","0.1134","",""
"800","4.954E-09","0.0003397","5.42E-06","0.113","0.001599","0.115","0.115","",""
"1000","3.17E-09","0.0002794","4.334E-06","0.1141","0.001623","0.116","0.116","",""
"1500","1.409E-09","0.0001951","2.887E-06","0.1156","0.001659","0.1174","0.1174","",""
"2000","7.925E-10","0.000151","2.164E-06","0.1164","0.001679","0.1182","0.1182","",""
"3000","3.521E-10","0.000105","1.442E-06","0.1173","0.001701","0.1191","0.1191","",""
"4000","1.981E-10","8.106E-05","1.081E-06","0.1177","0.001714","0.1195","0.1195","",""
"5000","1.268E-10","6.628E-05","8.651E-07","0.1181","0.001722","0.1199","0.1199","",""
"6000","8.804E-11","5.619E-05","7.21E-07","0.1183","0.001727","0.12","0.12","",""
"8000","4.954E-11","4.331E-05","5.406E-07","0.1186","0.001734","0.1203","0.1203","",""
