"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.61","0.004219","7827","0","0","7841","7827"
"0.001111","14.48","0.004857","6497","0","0","6512","6497"
"0.001235","14.33","0.005565","5394","0","0","5408","5394"
"0.001235","14.33","0.005565","5738","0","0","5752","5738"
"0.0015","14.01","0.007039","3939","0","0","3953","3939"
"0.001554","13.93","0.007346","3666","0","0","3680","3666"
"0.001554","13.93","0.007346","3712","0","0","3726","3712"
"0.001651","13.81","0.007897","3276","0","0","3290","3276"
"0.001755","13.68","0.008477","2891","0","0","2904","2891"
"0.001755","13.68","0.008477","2944","0","0","2958","2944"
"0.002","13.34","0.009854","2236","0","0","2249","2236"
"0.003","12","0.01531","917","0","0","929","917"
"0.004","10.74","0.02036","473.6","0","0","484.4","473.6"
"0.004132","10.58","0.021","439","0","0","449.6","439"
"0.004132","10.58","0.021","982.3","0","0","992.9","982.3"
"0.004247","10.45","0.02155","933.1","0","0","943.6","933.1"
"0.004366","10.31","0.0221","886.5","0","0","896.8","886.5"
"0.004366","10.31","0.0221","1233","0","0","1243","1233"
"0.004661","9.983","0.02338","1057","0","0","1067","1057"
"0.004977","9.642","0.02486","906","0","0","915.7","906"
"0.004977","9.642","0.02486","1062","0","0","1072","1062"
"0.005","9.618","0.02498","1046","0","0","1056","1046"
"0.006","8.65","0.02915","659.8","0","0","668.5","659.8"
"0.006147","8.519","0.02976","619.1","0","0","627.7","619.1"
"0.006147","8.519","0.02976","656.6","0","0","665.2","656.7"
"0.006348","8.345","0.03056","606","0","0","614.4","606"
"0.006556","8.173","0.03135","559.4","0","0","567.6","559.4"
"0.006556","8.173","0.03135","583","0","0","591.2","583.1"
"0.008","7.105","0.03661","357.1","0","0","364.2","357.1"
"0.01","5.947","0.04317","204.4","0","0","210.3","204.4"
"0.015","4.061","0.05657","73","0","0","77.12","73.06"
"0.01945","3.047","0.06525","37.39","0","0","40.5","37.46"
"0.01945","3.047","0.06525","87.75","0","0","90.86","87.81"
"0.02","2.947","0.06618","80.9","0","0","83.91","80.96"
"0.02438","2.305","0.07246","47.58","0","0","49.96","47.65"
"0.02438","2.305","0.07246","68.32","0","0","70.7","68.39"
"0.02483","2.246","0.07297","65.13","0","0","67.45","65.2"
"0.02527","2.188","0.07346","62.08","0","0","64.34","62.15"
"0.02527","2.188","0.07346","71.56","0","0","73.82","71.64"
"0.03","1.743","0.07848","46.43","0","0","48.25","46.51"
"0.04","1.169","0.08597","22.22","0","0","23.48","22.31"
"0.05","0.8482","0.09067","12.43","0","0","13.36","12.52"
"0.06","0.6408","0.0935","7.69","0","0","8.424","7.784"
"0.08","0.4029","0.09581","3.583","0","0","4.082","3.679"
"0.1","0.2796","0.09589","1.974","0","0","2.35","2.07"
"0.1316","0.1764","0.09404","0.9474","0","0","1.218","1.041"
"0.1316","0.1764","0.09404","3.788","0","0","4.058","3.882"
"0.15","0.1408","0.0925","2.737","0","0","2.97","2.83"
"0.2","0.08448","0.08782","1.323","0","0","1.496","1.411"
"0.3","0.04063","0.07907","0.4802","0","0","0.5999","0.5592"
"0.4","0.02399","0.07205","0.2396","0","0","0.3357","0.3117"
"0.5","0.01583","0.06647","0.1427","0","0","0.225","0.2092"
"0.6","0.01122","0.06189","0.09489","0","0","0.168","0.1568"
"0.8","0.006479","0.05477","0.05128","0","0","0.1125","0.1061"
"1","0.004214","0.04943","0.03256","0","0","0.08621","0.08199"
"1.022","0.004039","0.04892","0.0312","0","0","0.08416","0.08012"
"1.25","0.002732","0.04434","0.02111","0.0004882","0","0.06867","0.06594"
"1.5","0.001913","0.04036","0.015","0.002459","0","0.05974","0.05783"
"2","0.001087","0.03451","0.009057","0.007115","0","0.05177","0.05069"
"2.044","0.001041","0.0341","0.008731","0.0075","0","0.05137","0.05033"
"3","0.0004872","0.0272","0.004712","0.01447","9.501E-06","0.04688","0.04639"
"4","0.0002749","0.02271","0.003071","0.02002","3.871E-05","0.04612","0.04584"
"5","0.0001764","0.01962","0.002242","0.02464","7.692E-05","0.04676","0.04658"
"6","0.0001226","0.01735","0.001752","0.02854","0.0001179","0.04788","0.04776"
"7","9.014E-05","0.01559","0.001431","0.03208","0.0001586","0.04935","0.04926"
"8","6.905E-05","0.01419","0.001207","0.03527","0.0001978","0.05094","0.05087"
"9","5.457E-05","0.01305","0.001041","0.03822","0.0002353","0.0526","0.05254"
"10","4.421E-05","0.01209","0.0009145","0.04092","0.0002708","0.05424","0.0542"
"11","3.654E-05","0.01128","0.0008148","0.04343","0.0003042","0.05587","0.05583"
"12","3.071E-05","0.01058","0.0007342","0.0458","0.0003356","0.05748","0.05744"
"13","2.618E-05","0.009964","0.0006679","0.04799","0.0003654","0.05902","0.05899"
"14","2.257E-05","0.009425","0.0006123","0.05004","0.0003934","0.06049","0.06047"
"15","1.966E-05","0.00895","0.0005652","0.05197","0.00042","0.06192","0.0619"
"16","1.728E-05","0.008524","0.0005248","0.05379","0.0004451","0.0633","0.06329"
"18","1.365E-05","0.00779","0.0004587","0.05706","0.0004914","0.06581","0.0658"
"20","1.106E-05","0.007183","0.0004073","0.05998","0.0005336","0.06812","0.06811"
"22","9.143E-06","0.006674","0.0003663","0.06267","0.0005718","0.07029","0.07028"
"24","7.683E-06","0.006235","0.0003325","0.0651","0.0006069","0.07229","0.07228"
"26","6.547E-06","0.005855","0.0003047","0.06735","0.0006391","0.07415","0.07414"
"28","5.645E-06","0.005523","0.0002808","0.06939","0.0006691","0.07587","0.07587"
"30","4.916E-06","0.005231","0.0002606","0.07127","0.0006966","0.07746","0.07746"
"40","2.766E-06","0.004156","0.0001913","0.07895","0.0008102","0.08411","0.08411"
"50","1.77E-06","0.003468","0.0001511","0.08468","0.0008953","0.08919","0.08919"
"60","1.229E-06","0.002988","0.0001248","0.08911","0.000962","0.09319","0.09319"
"80","6.915E-07","0.002357","9.26E-05","0.09564","0.001061","0.09916","0.09916"
"100","4.426E-07","0.001957","7.359E-05","0.1003","0.001133","0.1034","0.1034"
"150","1.967E-07","0.001393","4.863E-05","0.1075","0.00125","0.1102","0.1102"
"200","1.106E-07","0.001093","3.629E-05","0.1118","0.001322","0.1142","0.1142"
"300","4.916E-08","0.0007744","2.409E-05","0.1168","0.00141","0.119","0.119"
"400","2.766E-08","0.0006064","1.803E-05","0.1197","0.001462","0.1217","0.1217"
"500","1.77E-08","0.0005021","1.441E-05","0.1216","0.001497","0.1236","0.1236"
"600","1.229E-08","0.00043","1.199E-05","0.1229","0.001523","0.1249","0.1249"
"800","6.915E-09","0.0003356","8.984E-06","0.1247","0.001558","0.1266","0.1266"
"1000","4.426E-09","0.0002762","7.183E-06","0.1258","0.001582","0.1277","0.1277"
"1500","1.967E-09","0.0001929","4.785E-06","0.1275","0.001617","0.1293","0.1293"
"2000","1.106E-09","0.0001493","3.585E-06","0.1284","0.001636","0.1302","0.1302"
