"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","1.079","0.01263","2210","0","0","2211","2210","2209","C"
"0.0015","0.9586","0.02507","699.4","0","0","700.4","699.5","699","C"
"0.002","0.8318","0.03862","301.7","0","0","302.6","301.7","301.6","C"
"0.003","0.6127","0.06408","89.65","0","0","90.32","89.71","89.63","C"
"0.004","0.4602","0.08448","37.24","0","0","37.78","37.32","37.23","C"
"0.005","0.3595","0.09947","18.66","0","0","19.12","18.76","18.66","C"
"0.006","0.2918","0.1104","10.54","0","0","10.95","10.65","10.54","C"
"0.008","0.2096","0.1252","4.241","0","0","4.576","4.366","4.242","C"
"0.01","0.162","0.1352","2.076","0","0","2.373","2.211","2.078","C"
"0.015","0.09787","0.151","0.5585","0","0","0.8074","0.7096","0.5627","C"
"0.02","0.06478","0.1595","0.2177","0","0","0.442","0.3772","0.2238","C"
"0.03","0.03365","0.1655","0.05706","0","0","0.2562","0.2225","0.06614","C"
"0.04","0.02045","0.1653","0.02193","0","0","0.2076","0.1872","0.03343","C"
"0.05","0.01371","0.163","0.01042","0","0","0.1871","0.1734","0.02397","C"
"0.06","0.009807","0.1598","0.005671","0","0","0.1753","0.1655","0.02098","C"
"0.08","0.005711","0.1531","0.002169","0","0","0.161","0.1553","0.02037","C"
"0.1","0.003719","0.1466","0.001031","0","0","0.1514","0.1476","0.02147","C"
"0.15","0.001685","0.1327","0.0002706","0","0","0.1347","0.133","0.02449","C"
"0.2","0.0009541","0.1219","0.0001063","0","0","0.1229","0.122","0.02655","C"
"0.3","0.0004264","0.1062","2.98E-05","0","0","0.1066","0.1062","0.0287","C"
"0.4","0.0002403","0.09521","1.272E-05","0","0","0.09547","0.09523","0.0295","C"
"0.5","0.0001539","0.08699","6.839E-06","0","0","0.08715","0.087","0.02969","C"
"0.6","0.0001069","0.08047","4.253E-06","0","0","0.08058","0.08048","0.02956","C"
"0.8","6.017E-05","0.0707","2.144E-06","0","0","0.07076","0.0707","0.02885","C"
"1","3.852E-05","0.06358","1.333E-06","0","0","0.06362","0.06358","0.02792","C"
"1.022","3.688E-05","0.06292","1.229E-06","0","0","0.06296","0.06293","0.0278","I"
"1.25","2.465E-05","0.05686","8.348E-07","1.439E-05","0","0.0569","0.05687","0.02669","C"
"1.5","1.712E-05","0.05169","6.062E-07","7.992E-05","0","0.05179","0.05177","0.02551","C"
"2","9.632E-06","0.0441","3.826E-07","0.0003187","0","0.04443","0.04442","0.02345","C"
