"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.7","0.00408","7879","0","0","7894","7879"
"0.001131","14.55","0.004781","6393","0","0","6408","6393"
"0.001279","14.38","0.005588","5188","0","0","5202","5188"
"0.001279","14.38","0.005588","5521","0","0","5536","5521"
"0.0015","14.09","0.0068","4049","0","0","4063","4049"
"0.001616","13.94","0.00744","3483","0","0","3497","3483"
"0.001616","13.94","0.00744","3523","0","0","3537","3523"
"0.001705","13.83","0.007931","3154","0","0","3167","3154"
"0.001799","13.71","0.008448","2823","0","0","2837","2823"
"0.001799","13.71","0.008448","2873","0","0","2887","2873"
"0.002","13.43","0.009553","2298","0","0","2311","2298"
"0.003","12.1","0.01492","942.1","0","0","954.2","942.1"
"0.004","10.83","0.01991","486.2","0","0","497","486.2"
"0.004253","10.53","0.0211","421.2","0","0","431.7","421.2"
"0.004253","10.53","0.0211","944.3","0","0","954.8","944.3"
"0.004373","10.39","0.02166","892.9","0","0","903.3","892.9"
"0.004497","10.25","0.02223","844.3","0","0","854.5","844.3"
"0.004497","10.25","0.02223","1174","0","0","1184","1174"
"0.005","9.7","0.02446","917.7","0","0","927.4","917.7"
"0.005109","9.587","0.02494","869.2","0","0","878.8","869.2"
"0.005109","9.587","0.02494","1014","0","0","1024","1014"
"0.006","8.721","0.02864","676.6","0","0","685.4","676.6"
"0.006359","8.404","0.03005","581.6","0","0","590.1","581.7"
"0.006359","8.404","0.03005","616.7","0","0","625.1","616.7"
"0.006554","8.239","0.0308","572.1","0","0","580.4","572.2"
"0.006754","8.073","0.03156","530.8","0","0","538.9","530.8"
"0.006754","8.073","0.03156","552.9","0","0","561","552.9"
"0.008","7.157","0.03605","364.3","0","0","371.5","364.4"
"0.01","5.989","0.04257","208.7","0","0","214.7","208.7"
"0.015","4.092","0.05593","74.71","0","0","78.86","74.77"
"0.01993","2.986","0.06541","36","0","0","39.05","36.07"
"0.01993","2.986","0.06541","83.01","0","0","86.06","83.08"
"0.02","2.974","0.0655","82.72","0","0","85.76","82.79"
"0.02525","2.212","0.07277","44.35","0","0","46.63","44.42"
"0.02525","2.212","0.07277","63.73","0","0","66.01","63.8"
"0.02568","2.164","0.07328","61.02","0","0","63.26","61.09"
"0.02611","2.117","0.07378","58.43","0","0","60.62","58.5"
"0.02611","2.117","0.07378","67.35","0","0","69.54","67.42"
"0.03","1.76","0.07781","47.39","0","0","49.23","47.47"
"0.04","1.18","0.08527","22.78","0","0","24.04","22.86"
"0.05","0.8567","0.08992","12.76","0","0","13.7","12.85"
"0.06","0.6478","0.09275","7.903","0","0","8.644","7.996"
"0.08","0.4073","0.0951","3.689","0","0","4.191","3.784"
"0.1","0.2828","0.0952","2.036","0","0","2.414","2.131"
"0.136","0.1689","0.09285","0.897","0","0","1.159","0.9899"
"0.136","0.1689","0.09285","3.547","0","0","3.809","3.64"
"0.15","0.1425","0.09169","2.792","0","0","3.026","2.884"
"0.2","0.08555","0.08721","1.35","0","0","1.523","1.438"
"0.3","0.04118","0.07853","0.4917","0","0","0.6114","0.5702"
"0.4","0.02432","0.07157","0.2458","0","0","0.3417","0.3174"
"0.5","0.01606","0.06603","0.1467","0","0","0.2288","0.2128"
"0.6","0.01139","0.0615","0.09767","0","0","0.1706","0.1592"
"0.8","0.006579","0.05442","0.05286","0","0","0.1139","0.1073"
"1","0.004281","0.04915","0.0336","0","0","0.08703","0.08275"
"1.022","0.004104","0.04864","0.03219","0","0","0.08493","0.08083"
"1.25","0.002775","0.04408","0.02178","0.0004924","0","0.06913","0.06636"
"1.5","0.001944","0.04013","0.01548","0.00249","0","0.06004","0.05809"
"2","0.001105","0.03432","0.009345","0.007188","0","0.05196","0.05086"
"2.044","0.001059","0.03389","0.009006","0.007574","0","0.05153","0.05047"
