"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","4.659","0.008041","9790","0","0","9795","9790","9750","C"
"0.0015","4.374","0.01417","3692","0","0","3696","3692","3682","C"
"0.002","4.07","0.01983","1775","0","0","1779","1775","1771","C"
"0.003","3.492","0.0302","609.3","0","0","612.9","609.4","608.4","C"
"0.004","2.981","0.03988","280","0","0","283","280","279.6","C"
"0.005","2.541","0.04881","151.7","0","0","154.3","151.8","151.5","C"
"0.006","2.173","0.05693","91.49","0","0","93.72","91.54","91.38","C"
"0.007709","1.691","0.06907","45.35","0","0","47.11","45.42","45.3","C"
"0.007709","1.691","0.06907","353.8","0","0","355.5","353.8","250.7","C"
"0.008","1.626","0.07093","323.1","0","0","324.8","323.2","232.2","C"
"0.01","1.263","0.08228","182.8","0","0","184.2","182.9","141.3","C"
"0.015","0.7783","0.1016","61.13","0","0","62.01","61.23","51.78","C"
"0.02","0.5391","0.1132","27.38","0","0","28.03","27.49","24.21","C"
"0.03","0.2983","0.1257","8.538","0","0","8.962","8.663","7.873","C"
"0.04","0.188","0.131","3.661","0","0","3.98","3.792","3.45","C"
"0.05","0.1302","0.1328","1.881","0","0","2.144","2.014","1.799","C"
"0.06","0.09597","0.1328","1.085","0","0","1.314","1.218","1.052","C"
"0.08","0.05862","0.1307","0.4521","0","0","0.6414","0.5828","0.4528","C"
"0.1","0.03945","0.1273","0.2282","0","0","0.395","0.3555","0.2397","C"
"0.15","0.01869","0.1179","0.06567","0","0","0.2023","0.1836","0.08597","C"
"0.2","0.01084","0.1094","0.02731","0","0","0.1476","0.1368","0.05071","C"
"0.3","0.004966","0.09626","0.008184","0","0","0.1094","0.1044","0.03406","C"
"0.4","0.002831","0.08666","0.003621","0","0","0.09312","0.09029","0.03034","C"
"0.5","0.001824","0.07934","0.001991","0","0","0.08315","0.08133","0.0289","C"
"0.6","0.001272","0.07351","0.001254","0","0","0.07604","0.07477","0.02805","C"
"0.8","0.0007186","0.06468","0.0006389","0","0","0.06604","0.06532","0.02677","C"
"1","0.0004609","0.05821","0.0003975","0","0","0.05906","0.0586","0.02564","C"
"1.022","0.0004412","0.05759","0.0003774","0","0","0.05841","0.05797","0.02551","I"
"1.25","0.0002953","0.05207","0.0002552","7.286E-05","0","0.0527","0.0524","0.02434","C"
"1.5","0.0002052","0.04734","0.0001839","0.0003692","0","0.0481","0.0479","0.02323","C"
"2","0.0001156","0.04041","0.0001133","0.001399","0","0.04204","0.04193","0.02165","C"
"2.044","0.0001106","0.03992","0.0001095","0.001505","0","0.04165","0.04154","0.02157","I"
"3","5.137E-05","0.03181","6.147E-05","0.003871","1.113E-05","0.03581","0.03575","0.02016","C"
"4","2.89E-05","0.02654","4.138E-05","0.006175","4.544E-05","0.03283","0.0328","0.01971","C"
"5","1.85E-05","0.02292","3.095E-05","0.00821","9.052E-05","0.03127","0.03125","0.01969","C"
"6","1.284E-05","0.02025","2.465E-05","0.01002","0.000139","0.03045","0.03044","0.01988","C"
"7","9.439E-06","0.01821","2.044E-05","0.01163","0.0001873","0.03006","0.03005","0.0202","I"
"8","7.227E-06","0.01657","1.743E-05","0.01308","0.0002341","0.02991","0.02991","0.02048","C"
"9","5.71E-06","0.01524","1.52E-05","0.01439","0.000279","0.02992","0.02992","0.0208","I"
"10","4.625E-06","0.01411","1.346E-05","0.01557","0.0003217","0.03002","0.03002","0.0211","C"
"11","3.823E-06","0.01316","1.207E-05","0.01666","0.000362","0.0302","0.03019","0.02138","I"
"12","3.212E-06","0.01234","1.094E-05","0.01764","0.0004003","0.0304","0.03039","0.02163","I"
"13","2.737E-06","0.01163","1.001E-05","0.01855","0.0004363","0.03062","0.03062","0.02187","I"
"14","2.359E-06","0.01101","9.214E-06","0.01941","0.0004707","0.03089","0.03089","0.02209","I"
"15","2.056E-06","0.01044","8.54E-06","0.02019","0.0005032","0.03115","0.03115","0.0223","C"
"16","1.807E-06","0.009948","7.955E-06","0.02094","0.0005341","0.03143","0.03143","0.02246","I"
"18","1.428E-06","0.009091","6.998E-06","0.02231","0.0005916","0.032","0.032","0.02276","I"
"20","1.157E-06","0.008384","6.246E-06","0.02352","0.000644","0.03256","0.03256","0.02303","C"
"22","9.556E-07","0.007788","5.639E-06","0.02463","0.0006921","0.03311","0.03311","",""
"24","8.03E-07","0.007277","5.139E-06","0.02563","0.0007364","0.03365","0.03365","",""
"26","6.842E-07","0.006833","4.72E-06","0.02655","0.0007774","0.03416","0.03416","",""
"28","5.899E-07","0.006446","4.364E-06","0.02739","0.0008155","0.03465","0.03465","",""
"30","5.139E-07","0.006104","4.058E-06","0.02816","0.000851","0.03512","0.03512","",""
"40","2.891E-07","0.004851","3.004E-06","0.03132","0.0009992","0.03717","0.03717","",""
"50","1.851E-07","0.004049","2.385E-06","0.03368","0.001113","0.03884","0.03884","",""
"60","1.284E-07","0.003489","1.977E-06","0.03554","0.001204","0.04023","0.04023","",""
