"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","4.141","0.008544","7401","0","0","7405","7401","7388","C"
"0.0015","3.864","0.01491","2690","0","0","2694","2690","2687","C"
"0.002","3.573","0.02106","1274","0","0","1278","1274","1272","C"
"0.003","3.018","0.0328","430.8","0","0","433.9","430.9","430.5","C"
"0.004","2.532","0.04357","196.2","0","0","198.8","196.2","196.1","C"
"0.005","2.129","0.05328","105.8","0","0","108","105.8","105.7","C"
"0.005989","1.808","0.06188","63.86","0","0","65.73","63.92","63.83","C"
"0.005989","1.808","0.06188","514","0","0","515.9","514.1","402.7","C"
"0.006","1.804","0.06197","514.2","0","0","516.1","514.3","402.7","C"
"0.008","1.346","0.07658","249.9","0","0","251.4","250","208.7","C"
"0.01","1.055","0.08785","137.6","0","0","138.7","137.7","119.3","C"
"0.015","0.6628","0.1063","44.95","0","0","45.72","45.06","40.93","C"
"0.02","0.4573","0.1174","19.81","0","0","20.38","19.92","18.46","C"
"0.03","0.2494","0.1294","6.055","0","0","6.434","6.184","5.78","C"
"0.04","0.1573","0.1341","2.564","0","0","2.856","2.698","2.482","C"
"0.05","0.1092","0.1355","1.306","0","0","1.551","1.442","1.278","C"
"0.06","0.08053","0.1353","0.7482","0","0","0.964","0.8835","0.742","C"
"0.08","0.04905","0.1328","0.3085","0","0","0.4904","0.4414","0.3182","C"
"0.1","0.03288","0.1291","0.1546","0","0","0.3166","0.2838","0.1701","C"
"0.15","0.0155","0.1193","0.04399","0","0","0.1788","0.1633","0.06536","C"
"0.2","0.008976","0.1106","0.01817","0","0","0.1378","0.1288","0.04211","C"
"0.3","0.004101","0.09716","0.005396","0","0","0.1067","0.1026","0.0316","C"
"0.4","0.002334","0.08742","0.002375","0","0","0.09213","0.0898","0.02938","C"
"0.5","0.001503","0.08001","0.001301","0","0","0.08281","0.08131","0.02849","C"
"0.6","0.001047","0.07411","0.0008184","0","0","0.07598","0.07493","0.02788","C"
"0.8","0.0005911","0.06519","0.0004164","0","0","0.0662","0.06561","0.0268","C"
"1","0.000379","0.05866","0.000259","0","0","0.0593","0.05892","0.02576","C"
"1.022","0.0003629","0.05804","0.0002457","0","0","0.05865","0.05828","0.02563","I"
"1.25","0.0002429","0.05248","0.0001662","6.265E-05","0","0.05295","0.05271","0.0245","C"
"1.5","0.0001687","0.04771","0.00012","0.0003222","0","0.04832","0.04815","0.0234","C"
"2","9.497E-05","0.04072","7.409E-05","0.001242","0","0.04213","0.04204","0.02178","C"
"2.044","9.093E-05","0.04022","7.158E-05","0.001337","0","0.04172","0.04163","0.02169","I"
"3","4.223E-05","0.03205","4.032E-05","0.003447","1.121E-05","0.03559","0.03555","0.02011","C"
"4","2.375E-05","0.02673","2.721E-05","0.005519","4.578E-05","0.03235","0.03232","0.01947","C"
"5","1.521E-05","0.02309","2.04E-05","0.00735","9.121E-05","0.03057","0.03056","0.01929","C"
"6","1.056E-05","0.02041","1.625E-05","0.008983","0.00014","0.02956","0.02955","0.01933","C"
"7","7.758E-06","0.01835","1.349E-05","0.01044","0.0001888","0.02899","0.02898","0.01953","I"
"8","5.94E-06","0.01669","1.152E-05","0.01174","0.000236","0.02869","0.02868","0.0197","C"
"9","4.693E-06","0.01535","1.004E-05","0.01293","0.0002812","0.02857","0.02856","0.01994","I"
"10","3.801E-06","0.01422","8.9E-06","0.01399","0.0003243","0.02855","0.02855","0.02016","C"
"11","3.142E-06","0.01326","7.988E-06","0.01496","0.0003651","0.0286","0.0286","0.02038","I"
"12","2.64E-06","0.01244","7.243E-06","0.01586","0.0004036","0.02871","0.02871","0.02059","I"
"13","2.249E-06","0.01172","6.626E-06","0.01668","0.00044","0.02885","0.02885","0.02078","I"
"14","1.94E-06","0.01109","6.104E-06","0.01745","0.0004746","0.02902","0.02902","0.02095","I"
"15","1.69E-06","0.01052","5.658E-06","0.01816","0.0005075","0.0292","0.0292","0.02112","C"
"16","1.485E-06","0.01002","5.273E-06","0.01883","0.0005388","0.0294","0.0294","0.02126","I"
"18","1.173E-06","0.00916","4.64E-06","0.02007","0.0005968","0.02983","0.02983","0.02151","I"
"20","9.504E-07","0.008447","4.142E-06","0.02116","0.0006497","0.03026","0.03026","0.02174","C"
"22","7.855E-07","0.007846","3.74E-06","0.02216","0.0006984","0.0307","0.0307","",""
"24","6.601E-07","0.007331","3.41E-06","0.02306","0.0007432","0.03114","0.03114","",""
"26","5.624E-07","0.006884","3.133E-06","0.02388","0.0007848","0.03155","0.03155","",""
"28","4.849E-07","0.006494","2.897E-06","0.02465","0.0008234","0.03197","0.03197","",""
"30","4.224E-07","0.00615","2.694E-06","0.02535","0.0008594","0.03237","0.03236","",""
"40","2.377E-07","0.004886","1.996E-06","0.02821","0.00101","0.03411","0.03411","",""
"50","1.521E-07","0.004079","1.584E-06","0.03036","0.001125","0.03556","0.03556","",""
"60","1.056E-07","0.003514","1.313E-06","0.03204","0.001217","0.03677","0.03677","",""
"80","5.94E-08","0.002772","9.789E-07","0.03454","0.001359","0.03867","0.03867","",""
"100","3.801E-08","0.0023","7.802E-07","0.03632","0.001462","0.04008","0.04008","",""
"150","1.69E-08","0.001639","5.175E-07","0.03922","0.001637","0.04249","0.04249","",""
"200","9.503E-09","0.001284","3.871E-07","0.04097","0.001748","0.044","0.044","",""
"300","4.224E-09","0.0009105","2.573E-07","0.04303","0.001886","0.04582","0.04582","",""
"400","2.375E-09","0.0007131","1.928E-07","0.04422","0.00197","0.0469","0.0469","",""
"500","1.521E-09","0.0005902","1.542E-07","0.04501","0.002028","0.04763","0.04763","",""
"600","1.056E-09","0.0005054","1.283E-07","0.04557","0.002071","0.04815","0.04815","",""
"800","5.939E-10","0.0003947","9.621E-08","0.04634","0.00213","0.04886","0.04886","",""
"1000","3.801E-10","0.0003248","7.694E-08","0.04683","0.002169","0.04932","0.04932","",""
"1500","1.69E-10","0.0002268","5.126E-08","0.04754","0.002228","0.05","0.05","",""
"2000","9.503E-11","0.0001755","3.844E-08","0.04794","0.002263","0.05038","0.05038","",""
