"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.054","0.005914","10570","0","0","10570","10570","10490","C"
"0.001047","5.032","0.006362","9328","0","0","9333","9328","9241","C"
"0.001096","5.008","0.006838","8240","0","0","8245","8240","8186","C"
"0.001096","5.008","0.006838","9340","0","0","9345","9340","9282","C"
"0.0015","4.806","0.01086","4413","0","0","4418","4413","4393","C"
"0.002","4.525","0.01591","2149","0","0","2154","2149","2142","C"
"0.003","3.946","0.02587","744.9","0","0","748.8","744.9","743","C"
"0.004","3.399","0.03527","343.9","0","0","347.3","343.9","343.2","C"
"0.005","2.914","0.04391","187","0","0","189.9","187","186.6","C"
"0.006","2.5","0.05181","113.1","0","0","115.6","113.1","112.8","C"
"0.008","1.872","0.06569","50.62","0","0","52.55","50.68","50.54","C"
"0.008979","1.646","0.07162","36.57","0","0","38.29","36.64","36.52","C"
"0.008979","1.646","0.07162","276.6","0","0","278.3","276.7","182.4","C"
"0.01","1.45","0.07725","214.5","0","0","216","214.5","148.4","C"
"0.015","0.8797","0.09761","73.08","0","0","74.05","73.17","57.88","C"
"0.02","0.6059","0.1098","33.08","0","0","33.8","33.19","27.88","C"
"0.03","0.3369","0.1231","10.45","0","0","10.91","10.58","9.349","C"
"0.04","0.2124","0.1289","4.52","0","0","4.862","4.649","4.163","C"
"0.05","0.1467","0.1311","2.335","0","0","2.613","2.466","2.192","C"
"0.06","0.1079","0.1313","1.353","0","0","1.593","1.485","1.29","C"
"0.08","0.06595","0.1295","0.5676","0","0","0.763","0.697","0.5581","C"
"0.1","0.04446","0.1262","0.2878","0","0","0.4585","0.414","0.2949","C"
"0.15","0.02111","0.1171","0.08345","0","0","0.2217","0.2006","0.1027","C"
"0.2","0.01226","0.1088","0.03487","0","0","0.1559","0.1437","0.05781","C"
"0.3","0.005621","0.09581","0.01051","0","0","0.1119","0.1063","0.03617","C"
"0.4","0.003207","0.08626","0.004664","0","0","0.09413","0.09092","0.03121","C"
"0.5","0.002068","0.07899","0.002568","0","0","0.08363","0.08156","0.02933","C"
"0.6","0.001442","0.07319","0.001621","0","0","0.07625","0.07481","0.02826","C"
"0.8","0.0008152","0.06441","0.0008265","0","0","0.06606","0.06524","0.02681","C"
"1","0.0005228","0.05797","0.0005143","0","0","0.05901","0.05848","0.02562","C"
"1.022","0.0005007","0.05735","0.0004885","0","0","0.05834","0.05784","0.02549","I"
"1.25","0.0003351","0.05187","0.0003303","8.02E-05","0","0.05261","0.05228","0.02428","C"
"1.5","0.0002329","0.04716","0.000238","0.0004024","0","0.04803","0.0478","0.02316","C"
"2","0.0001312","0.04026","0.0001464","0.001511","0","0.04205","0.04191","0.0216","C"
"2.044","0.0001256","0.03976","0.0001414","0.001623","0","0.04166","0.04153","0.02152","I"
"3","5.83E-05","0.03168","7.922E-05","0.004158","1.109E-05","0.03599","0.03593","0.02023","C"
"4","3.28E-05","0.02643","5.324E-05","0.006618","4.526E-05","0.03318","0.03315","0.01989","C"
"5","2.1E-05","0.02283","3.978E-05","0.008787","9.014E-05","0.03177","0.03175","0.01998","C"
"6","1.458E-05","0.02018","3.165E-05","0.01072","0.0001384","0.03108","0.03106","0.02027","C"
"7","1.071E-05","0.01814","2.622E-05","0.01243","0.0001865","0.0308","0.03078","0.02066","I"
"8","8.202E-06","0.01651","2.237E-05","0.01397","0.0002331","0.03074","0.03073","0.021","C"
