"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.827","0.005379","7345","0","0","7353","7345","7340","C"
"0.0015","7.436","0.009686","2923","0","0","2931","2923","2922","C"
"0.002","6.997","0.01385","1466","0","0","1473","1466","1466","C"
"0.003","6.107","0.02166","535.2","0","0","541.3","535.2","535","C"
"0.003538","5.657","0.02563","351.9","0","0","357.5","351.9","351.7","C"
"0.003538","5.657","0.02563","1146","0","0","1152","1146","1103","C"
"0.003631","5.583","0.0263","1075","0","0","1081","1075","1036","C"
"0.003727","5.507","0.02698","1008","0","0","1013","1008","971.5","C"
"0.003727","5.507","0.02698","1384","0","0","1389","1384","1324","C"
"0.004","5.293","0.0289","1164","0","0","1169","1164","1118","C"
"0.004018","5.279","0.02903","1151","0","0","1157","1151","1106","C"
"0.004018","5.279","0.02903","1321","0","0","1326","1321","1264","C"
"0.005","4.595","0.03555","763.9","0","0","768.6","764","738.3","C"
"0.006","4.015","0.0417","475.2","0","0","479.3","475.3","461.9","C"
"0.008","3.154","0.05276","222.2","0","0","225.4","222.2","217.4","C"
"0.01","2.569","0.06214","121.8","0","0","124.4","121.8","119.7","C"
"0.015","1.687","0.07902","40.01","0","0","41.78","40.09","39.52","C"
"0.02","1.176","0.08995","17.94","0","0","19.2","18.03","17.76","C"
"0.02671","0.7822","0.0997","7.929","0","0","8.811","8.028","7.863","C"
"0.02671","0.7822","0.0997","49.76","0","0","50.65","49.86","18.21","C"
"0.03","0.6611","0.1031","36.88","0","0","37.65","36.99","15.94","C"
"0.04","0.4318","0.1099","17.23","0","0","17.78","17.34","9.812","C"
"0.05","0.3052","0.1135","9.359","0","0","9.778","9.473","6.115","C"
"0.06","0.2263","0.1152","5.636","0","0","5.977","5.751","4.001","C"
"0.08","0.1383","0.1153","2.498","0","0","2.751","2.613","1.957","C"
"0.1","0.09364","0.1135","1.317","0","0","1.524","1.43","1.096","C"
"0.15","0.04545","0.1066","0.4073","0","0","0.5593","0.5139","0.3753","C"
"0.2","0.02678","0.09975","0.1773","0","0","0.3039","0.2771","0.1813","C"
"0.3","0.01244","0.0885","0.05614","0","0","0.1571","0.1446","0.0758","C"
"0.4","0.007152","0.08004","0.02569","0","0","0.1129","0.1057","0.04868","C"
"0.5","0.004634","0.07345","0.01442","0","0","0.0925","0.08786","0.03838","C"
"0.6","0.003244","0.0682","0.009204","0","0","0.08065","0.0774","0.03339","C"
"0.8","0.001841","0.06011","0.004752","0","0","0.0667","0.06486","0.02854","C"
"1","0.001184","0.05411","0.002965","0","0","0.05826","0.05707","0.02597","C"
"1.022","0.001134","0.05356","0.002822","0","0","0.05751","0.05638","0.02576","I"
"1.25","0.0007602","0.04846","0.001903","0.0001628","0","0.05128","0.05052","0.02387","C"
"1.5","0.0005289","0.04407","0.001364","0.0007597","0","0.04673","0.0462","0.02247","C"
"2","0.0002981","0.03764","0.0008314","0.002622","0","0.04139","0.04109","0.02099","C"
"2.044","0.0002854","0.03718","0.0008025","0.002805","0","0.04107","0.04079","0.02096","I"
"3","0.0001326","0.02963","0.0004425","0.006766","1.037E-05","0.03698","0.03685","0.02051","C"
"4","7.468E-05","0.02472","0.0002938","0.01046","4.228E-05","0.03559","0.03552","0.02114","C"
"5","4.779E-05","0.02135","0.0002176","0.01366","8.416E-05","0.03536","0.03532","0.02206","C"
"6","3.319E-05","0.01887","0.000172","0.01643","0.0001292","0.03563","0.0356","0.023","C"
"7","2.439E-05","0.01697","0.0001418","0.01889","0.0001739","0.0362","0.03617","0.02393","I"
"8","1.867E-05","0.01544","0.0001204","0.02111","0.0002173","0.03691","0.03689","0.02477","C"
"9","1.475E-05","0.0142","0.0001045","0.02313","0.0002588","0.0377","0.03769","0.02554","I"
"10","1.195E-05","0.01315","9.231E-05","0.02498","0.0002982","0.03853","0.03852","0.02625","C"
"11","9.879E-06","0.01227","8.256E-05","0.02667","0.0003355","0.03937","0.03936","0.0268","I"
"12","8.298E-06","0.01151","7.468E-05","0.02824","0.0003706","0.0402","0.0402","0.02732","I"
"13","7.072E-06","0.01084","6.814E-05","0.0297","0.0004038","0.04101","0.041","0.0278","I"
"14","6.097E-06","0.01025","6.268E-05","0.03103","0.0004353","0.04179","0.04178","0.02826","I"
"15","5.312E-06","0.009734","5.797E-05","0.03227","0.0004651","0.04253","0.04252","0.02869","C"
"16","4.668E-06","0.009273","5.395E-05","0.03342","0.0004934","0.04324","0.04324","0.02895","I"
"18","3.688E-06","0.008475","4.735E-05","0.03553","0.0005459","0.0446","0.0446","0.02942","I"
"20","2.988E-06","0.007816","4.218E-05","0.03742","0.0005936","0.04588","0.04587","0.02985","C"
"22","2.469E-06","0.007259","3.802E-05","0.03913","0.0006375","0.04707","0.04707","",""
"24","2.075E-06","0.006782","3.46E-05","0.04069","0.0006772","0.04819","0.04819","",""
"26","1.768E-06","0.00637","3.175E-05","0.04211","0.0007147","0.04923","0.04923","",""
"28","1.525E-06","0.006005","2.933E-05","0.04341","0.0007489","0.0502","0.05019","",""
"30","1.328E-06","0.005689","2.725E-05","0.04461","0.0007806","0.05111","0.05111","",""
"40","7.468E-07","0.00452","2.012E-05","0.04948","0.0009129","0.05493","0.05493","",""
"50","4.781E-07","0.003774","1.594E-05","0.05308","0.001014","0.05789","0.05789","",""
"60","3.32E-07","0.003251","1.319E-05","0.05588","0.001093","0.06023","0.06023","",""
"80","1.868E-07","0.002564","9.814E-06","0.06005","0.001213","0.06384","0.06384","",""
"100","1.195E-07","0.002128","7.811E-06","0.063","0.0013","0.06644","0.06644","",""
"150","5.312E-08","0.001516","5.175E-06","0.06766","0.001444","0.07063","0.07063","",""
"200","2.988E-08","0.001188","3.868E-06","0.0705","0.001535","0.07323","0.07323","",""
"300","1.328E-08","0.0008422","2.57E-06","0.07372","0.001645","0.07621","0.07621","",""
"400","7.468E-09","0.0006595","1.924E-06","0.07559","0.001711","0.07796","0.07796","",""
"500","4.781E-09","0.0005459","1.538E-06","0.07682","0.001757","0.07913","0.07913","",""
"600","3.32E-09","0.0004675","1.281E-06","0.07773","0.00179","0.07999","0.07999","",""
"800","1.868E-09","0.0003652","9.595E-07","0.07891","0.001835","0.08111","0.08111","",""
"1000","1.195E-09","0.0003004","7.672E-07","0.07966","0.001865","0.08183","0.08183","",""
"1500","5.312E-10","0.0002098","5.112E-07","0.08073","0.001911","0.08285","0.08285","",""
"2000","2.988E-10","0.0001624","3.833E-07","0.08138","0.001937","0.08348","0.08348","",""
"3000","1.328E-10","0.0001129","2.554E-07","0.08202","0.001965","0.0841","0.0841","",""
"4000","7.468E-11","8.716E-05","1.916E-07","0.08234","0.001981","0.08441","0.08441","",""
"5000","4.781E-11","7.125E-05","1.532E-07","0.08256","0.001991","0.08462","0.08462","",""
"6000","3.32E-11","6.043E-05","1.277E-07","0.08272","0.001998","0.08477","0.08477","",""
"8000","1.868E-11","4.655E-05","9.573E-08","0.08293","0.002007","0.08498","0.08498","",""
"10000","1.195E-11","3.801E-05","7.661E-08","0.08304","0.002013","0.08509","0.08509","",""
"15000","5.312E-12","2.627E-05","5.107E-08","0.0832","0.002021","0.08525","0.08525","",""
"20000","2.988E-12","2.019E-05","3.829E-08","0.08331","0.002026","0.08535","0.08535","",""
"30000","1.328E-12","1.393E-05","2.553E-08","0.08341","0.00203","0.08546","0.08546","",""
"40000","7.468E-13","1.069E-05","1.915E-08","0.08347","0.002034","0.08551","0.08551","",""
"50000","4.781E-13","8.706E-06","1.532E-08","0.08347","0.002035","0.08551","0.08551","",""
"60000","3.32E-13","7.361E-06","1.277E-08","0.08352","0.002036","0.08556","0.08556","",""
"80000","1.868E-13","5.641E-06","9.573E-09","0.08352","0.002037","0.08556","0.08556","",""
"100000","1.195E-13","4.591E-06","7.661E-09","0.08357","0.002038","0.08562","0.08562","",""
