"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.034","0.008556","2828","0","0","2831","2828","2829","C"
"0.0015","2.796","0.01691","974.3","0","0","977.2","974.4","974.2","C"
"0.002","2.531","0.02585","449.5","0","0","452","449.5","449.4","C"
"0.002822","2.117","0.03973","175.3","0","0","177.5","175.3","175.2","C"
"0.002822","2.117","0.03973","1634","0","0","1637","1634","1506","C"
"0.003","2.038","0.04248","1471","0","0","1473","1471","1361","C"
"0.004","1.662","0.05621","702","0","0","703.8","702.1","662.6","C"
"0.005","1.392","0.0671","388.6","0","0","390.1","388.7","371.1","C"
"0.006","1.196","0.07581","237.1","0","0","238.4","237.2","228.2","C"
"0.008","0.9275","0.08935","106.5","0","0","107.5","106.6","103.4","C"
"0.01","0.7415","0.1","56.41","0","0","57.25","56.51","55.1","C"
"0.015","0.4486","0.1191","17.28","0","0","17.84","17.39","17","C"
"0.02","0.2956","0.1305","7.314","0","0","7.74","7.445","7.227","C"
"0.03","0.1583","0.1411","2.127","0","0","2.426","2.268","2.114","C"
"0.04","0.1","0.1446","0.8719","0","0","1.117","1.017","0.8756","C"
"0.05","0.06912","0.1454","0.4338","0","0","0.6483","0.5792","0.4433","C"
"0.06","0.05052","0.1447","0.2443","0","0","0.4394","0.3889","0.257","C"
"0.08","0.03022","0.1411","0.09825","0","0","0.2696","0.2394","0.1148","C"
"0.1","0.02004","0.1366","0.04834","0","0","0.205","0.185","0.06745","C"
"0.15","0.009344","0.1253","0.01336","0","0","0.148","0.1387","0.03639","C"
"0.2","0.005378","0.1158","0.005419","0","0","0.1266","0.1212","0.03067","C"
"0.3","0.002438","0.1013","0.001575","0","0","0.1054","0.1029","0.02898","C"
"0.4","0.001382","0.09105","0.0006852","0","0","0.09311","0.09173","0.02887","C"
"0.5","0.0008875","0.08327","0.0003727","0","0","0.08453","0.08364","0.02874","C"
"0.6","0.0006176","0.0771","0.0002334","0","0","0.07795","0.07733","0.02847","C"
"0.8","0.0003482","0.06779","0.0001183","0","0","0.06826","0.06791","0.02767","C"
"1","0.000223","0.06098","7.357E-05","0","0","0.06128","0.06105","0.02671","C"
"1.022","0.0002135","0.06034","6.956E-05","0","0","0.06062","0.06041","0.02659","I"
"1.25","0.0001429","0.05454","4.712E-05","4.242E-05","0","0.05478","0.05463","0.02549","C"
"1.5","9.923E-05","0.04958","3.407E-05","0.0002271","0","0.04994","0.04984","0.02436","C"
"2","5.583E-05","0.04231","2.118E-05","0.0008879","0","0.04328","0.04322","0.02258","C"
"2.044","5.346E-05","0.0418","2.047E-05","0.0009567","0","0.04283","0.04278","0.02246","I"
"3","2.482E-05","0.03329","1.164E-05","0.002509","1.165E-05","0.03585","0.03583","0.02043","C"
"4","1.396E-05","0.02777","7.907E-06","0.004043","4.758E-05","0.03188","0.03187","0.01931","C"
"5","8.938E-06","0.02398","5.954E-06","0.005407","9.478E-05","0.0295","0.02949","0.01871","C"
"6","6.207E-06","0.0212","4.761E-06","0.006625","0.0001456","0.02798","0.02797","0.01839","C"
"7","4.561E-06","0.01906","3.963E-06","0.00771","0.0001962","0.02697","0.02697","0.01828","I"
"8","3.491E-06","0.01734","3.39E-06","0.008685","0.0002455","0.02628","0.02628","0.01819","C"
"9","2.759E-06","0.01594","2.961E-06","0.00957","0.0002925","0.02581","0.02581","0.01822","I"
"10","2.234E-06","0.01477","2.628E-06","0.01037","0.0003373","0.02549","0.02548","0.01824","C"
"11","1.846E-06","0.01378","2.361E-06","0.0111","0.00038","0.02526","0.02526","0.01833","I"
"12","1.552E-06","0.01292","2.142E-06","0.01177","0.0004201","0.02511","0.02511","0.01841","I"
"13","1.322E-06","0.01217","1.962E-06","0.01238","0.0004581","0.02502","0.02502","0.01848","I"
"14","1.14E-06","0.01152","1.809E-06","0.01296","0.0004943","0.02497","0.02497","0.01855","I"
"15","9.932E-07","0.01093","1.677E-06","0.0135","0.0005286","0.02496","0.02496","0.01861","C"
"16","8.729E-07","0.01041","1.564E-06","0.014","0.0005612","0.02498","0.02498","0.01869","I"
"18","6.896E-07","0.009516","1.377E-06","0.01492","0.000622","0.02506","0.02506","0.01885","I"
"20","5.587E-07","0.008775","1.231E-06","0.01575","0.0006776","0.0252","0.0252","0.01899","C"
"22","4.617E-07","0.00815","1.112E-06","0.0165","0.0007285","0.02538","0.02538","",""
"24","3.88E-07","0.007617","1.014E-06","0.01717","0.0007756","0.02557","0.02557","",""
"26","3.306E-07","0.007153","9.322E-07","0.0178","0.0008193","0.02578","0.02577","",""
"28","2.85E-07","0.006747","8.624E-07","0.01836","0.0008599","0.02597","0.02597","",""
"30","2.483E-07","0.006389","8.023E-07","0.01889","0.0008977","0.02618","0.02618","",""
