"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.95","0.004028","7771","0","0","7786","7771"
"0.001016","14.93","0.004114","7581","0","0","7596","7581"
"0.001032","14.91","0.004202","7396","0","0","7411","7396"
"0.001032","14.91","0.004202","7621","0","0","7636","7621"
"0.001168","14.76","0.00493","6214","0","0","6229","6214"
"0.001321","14.58","0.005748","5067","0","0","5082","5067"
"0.001321","14.58","0.005748","5392","0","0","5406","5392"
"0.0015","14.35","0.006723","4209","0","0","4224","4209"
"0.00168","14.11","0.007709","3345","0","0","3359","3345"
"0.00168","14.11","0.007709","3383","0","0","3397","3383"
"0.001772","13.99","0.008211","3029","0","0","3043","3029"
"0.001868","13.87","0.008739","2711","0","0","2725","2711"
"0.001868","13.87","0.008739","2759","0","0","2773","2759"
"0.002","13.69","0.00946","2388","0","0","2402","2388"
"0.003","12.34","0.01481","979.7","0","0","992.1","979.7"
"0.004","11.06","0.0198","505.7","0","0","516.8","505.8"
"0.004374","10.61","0.02157","410.2","0","0","420.8","410.2"
"0.004374","10.61","0.02157","905.4","0","0","916","905.4"
"0.0045","10.46","0.02215","858.5","0","0","869","858.5"
"0.00463","10.31","0.02274","813.9","0","0","824.2","813.9"
"0.00463","10.31","0.02274","1126","0","0","1136","1126"
"0.005","9.902","0.02439","949.1","0","0","959.1","949.2"
"0.005252","9.635","0.02549","839.7","0","0","849.4","839.7"
"0.005252","9.635","0.02549","980.2","0","0","989.8","980.2"
"0.006","8.899","0.02857","702.1","0","0","711","702.1"
"0.006574","8.39","0.03082","554.2","0","0","562.7","554.3"
"0.006574","8.39","0.03082","587.7","0","0","596.1","587.7"
"0.006773","8.223","0.03158","545.5","0","0","553.7","545.5"
"0.006977","8.056","0.03235","506.5","0","0","514.5","506.5"
"0.006977","8.056","0.03235","527.5","0","0","535.6","527.5"
"0.008","7.298","0.036","376","0","0","383.4","376.1"
"0.01","6.104","0.04259","215.6","0","0","221.8","215.7"
"0.015","4.173","0.05602","77.4","0","0","81.63","77.46"
"0.02","3.036","0.06567","36.98","0","0","40.08","37.05"
"0.02041","2.965","0.06634","35.09","0","0","38.12","35.16"
"0.02041","2.965","0.06634","81.58","0","0","84.61","81.65"
"0.02304","2.548","0.07023","58.81","0","0","61.43","58.88"
"0.02602","2.174","0.07391","42.38","0","0","44.63","42.45"
"0.02602","2.174","0.07391","61.06","0","0","63.31","61.14"
"0.02646","2.127","0.0744","58.47","0","0","60.67","58.54"
"0.0269","2.081","0.07489","55.97","0","0","58.13","56.05"
"0.0269","2.081","0.07489","64.5","0","0","66.66","64.58"
"0.03","1.799","0.07807","48.95","0","0","50.83","49.03"
"0.04","1.205","0.08557","23.61","0","0","24.9","23.7"
"0.05","0.876","0.09025","13.24","0","0","14.21","13.33"
"0.06","0.6627","0.09312","8.216","0","0","8.971","8.309"
"0.08","0.4169","0.09551","3.844","0","0","4.356","3.939"
"0.1","0.2893","0.09563","2.124","0","0","2.509","2.22"
"0.1395","0.1655","0.09322","0.876","0","0","1.135","0.9692"
"0.1395","0.1655","0.09322","3.421","0","0","3.68","3.514"
"0.15","0.146","0.09233","2.879","0","0","3.117","2.971"
"0.2","0.0877","0.0877","1.394","0","0","1.57","1.482"
"0.3","0.04221","0.079","0.5093","0","0","0.6305","0.5883"
"0.4","0.02496","0.072","0.2554","0","0","0.3523","0.3274"
"0.5","0.01649","0.06644","0.1526","0","0","0.2356","0.2191"
"0.6","0.01169","0.06187","0.1017","0","0","0.1753","0.1636"
"0.8","0.006761","0.05475","0.05514","0","0","0.1167","0.1099"
"1","0.0044","0.04945","0.03505","0","0","0.0889","0.0845"
"1.022","0.004219","0.04893","0.03359","0","0","0.08673","0.08251"
"1.25","0.002855","0.04434","0.02273","0.0005024","0","0.07043","0.06757"
"1.5","0.002","0.04037","0.01616","0.002551","0","0.06108","0.05908"
"2","0.001137","0.03452","0.009752","0.007348","0","0.05276","0.05162"
"2.044","0.001089","0.03411","0.009401","0.007743","0","0.05235","0.05126"
"3","0.0005103","0.02721","0.005069","0.01482","9.503E-06","0.04762","0.04711"
"4","0.0002881","0.02272","0.003302","0.0204","3.87E-05","0.04675","0.04646"
"5","0.0001848","0.01963","0.00241","0.02506","7.695E-05","0.04736","0.04717"
"6","0.0001285","0.01735","0.001882","0.02893","0.0001179","0.04841","0.04828"
"7","9.446E-05","0.0156","0.001538","0.03249","0.0001586","0.04988","0.04978"
"8","7.234E-05","0.0142","0.001296","0.03571","0.0001978","0.05148","0.05141"
"9","5.719E-05","0.01305","0.001118","0.03868","0.0002353","0.05314","0.05308"
"10","4.632E-05","0.01209","0.0009819","0.04142","0.0002707","0.05482","0.05477"
"11","3.829E-05","0.01128","0.0008746","0.04396","0.0003041","0.05645","0.05642"
"12","3.218E-05","0.01058","0.0007881","0.04635","0.0003356","0.05808","0.05805"
"13","2.743E-05","0.009967","0.0007167","0.04857","0.0003653","0.05964","0.05962"
"14","2.365E-05","0.009429","0.000657","0.05065","0.0003932","0.06115","0.06113"
"15","2.06E-05","0.008951","0.0006063","0.0526","0.0004197","0.0626","0.06258"
"16","1.811E-05","0.008526","0.0005628","0.05444","0.0004448","0.064","0.06398"
"18","1.431E-05","0.007793","0.0004921","0.05776","0.0004912","0.06656","0.06654"
"20","1.159E-05","0.007186","0.0004369","0.06073","0.0005332","0.06889","0.06888"
"22","9.58E-06","0.006675","0.0003927","0.06345","0.0005714","0.0711","0.07109"
"24","8.051E-06","0.006238","0.0003567","0.06594","0.0006066","0.07314","0.07314"
"26","6.861E-06","0.005858","0.0003266","0.0682","0.0006388","0.07503","0.07503"
"28","5.915E-06","0.005526","0.0003012","0.07028","0.0006684","0.07678","0.07678"
"30","5.153E-06","0.005232","0.0002795","0.07219","0.0006961","0.07841","0.0784"
"40","2.898E-06","0.004157","0.0002051","0.08001","0.0008094","0.08518","0.08518"
"50","1.855E-06","0.003471","0.000162","0.08583","0.0008944","0.09036","0.09036"
"60","1.288E-06","0.002991","0.0001338","0.09035","0.0009611","0.09444","0.09444"
"80","7.248E-07","0.002358","9.924E-05","0.09699","0.00106","0.1005","0.1005"
"100","4.639E-07","0.001957","7.886E-05","0.1017","0.001131","0.1048","0.1048"
"150","2.061E-07","0.001394","5.21E-05","0.109","0.001248","0.1117","0.1117"
"200","1.16E-07","0.001093","3.889E-05","0.1134","0.00132","0.1158","0.1158"
"300","5.153E-08","0.0007747","2.582E-05","0.1185","0.001407","0.1207","0.1207"
"400","2.898E-08","0.0006068","1.932E-05","0.1214","0.001458","0.1235","0.1235"
"500","1.855E-08","0.0005022","1.544E-05","0.1233","0.001493","0.1253","0.1253"
"600","1.288E-08","0.00043","1.285E-05","0.1247","0.001519","0.1266","0.1266"
"800","7.248E-09","0.0003359","9.627E-06","0.1264","0.001554","0.1283","0.1283"
"1000","4.637E-09","0.0002764","7.695E-06","0.1276","0.001577","0.1295","0.1295"
"1500","2.061E-09","0.000193","5.127E-06","0.1293","0.001611","0.1311","0.1311"
"2000","1.16E-09","0.0001493","3.841E-06","0.1302","0.001631","0.132","0.132"
"3000","5.153E-10","0.0001038","2.561E-06","0.1312","0.001652","0.1329","0.1329"
