"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","1.62","0.006432","5649","0","0","5650","5649","5615","C"
"0.0015","1.522","0.01354","1977","0","0","1979","1977","1969","C"
"0.002","1.403","0.02215","903.4","0","0","904.8","903.4","900.5","C"
"0.003","1.149","0.04099","287.6","0","0","288.8","287.6","287","C"
"0.004","0.9199","0.05899","124.6","0","0","125.6","124.7","124.4","C"
"0.005","0.737","0.07462","64.32","0","0","65.13","64.39","64.24","C"
"0.006","0.5978","0.08755","37.21","0","0","37.9","37.3","37.16","C"
"0.008","0.4143","0.1063","15.49","0","0","16.01","15.6","15.48","C"
"0.01","0.3058","0.1184","7.782","0","0","8.206","7.9","7.776","C"
"0.015","0.1734","0.1349","2.184","0","0","2.492","2.319","2.186","C"
"0.02","0.1145","0.1434","0.8749","0","0","1.133","1.018","0.8796","C"
"0.03","0.06089","0.1509","0.237","0","0","0.4488","0.3879","0.2451","C"
"0.04","0.03744","0.1524","0.09297","0","0","0.2828","0.2454","0.1036","C"
"0.05","0.02525","0.1514","0.04482","0","0","0.2214","0.1962","0.05747","C"
"0.06","0.01817","0.1492","0.02463","0","0","0.192","0.1738","0.03903","C"
"0.08","0.01068","0.1437","0.009563","0","0","0.1639","0.1533","0.02676","C"
"0.1","0.007012","0.138","0.004593","0","0","0.1496","0.1426","0.02394","C"
"0.15","0.003211","0.1254","0.001222","0","0","0.1298","0.1266","0.02417","C"
"0.2","0.001827","0.1153","0.000484","0","0","0.1176","0.1158","0.02554","C"
"0.3","0.0008194","0.1005","0.0001373","0","0","0.1015","0.1007","0.02729","C"
"0.4","0.0004625","0.09021","5.89E-05","0","0","0.09073","0.09027","0.028","C"
"0.5","0.0002963","0.08242","3.176E-05","0","0","0.08274","0.08245","0.02815","C"
"0.6","0.000206","0.07627","1.98E-05","0","0","0.07649","0.07629","0.02801","C"
"0.8","0.000116","0.06704","9.994E-06","0","0","0.06717","0.06705","0.02734","C"
"1","7.424E-05","0.06029","6.213E-06","0","0","0.06037","0.0603","0.02645","C"
"1.022","7.107E-05","0.05966","5.813E-06","0","0","0.05973","0.05966","0.02633","I"
"1.25","4.752E-05","0.05392","3.943E-06","2.062E-05","0","0.05399","0.05394","0.02527","C"
"1.5","3.3E-05","0.04901","2.862E-06","0.0001141","0","0.04916","0.04912","0.02416","C"
"2","1.857E-05","0.04181","1.797E-06","0.0004546","0","0.04228","0.04227","0.02226","C"
"2.044","1.778E-05","0.0413","1.738E-06","0.0004901","0","0.04181","0.04179","0.02211","I"
"3","8.254E-06","0.0329","1.002E-06","0.0013","1.151E-05","0.03422","0.03422","0.01964","C"
"4","4.644E-06","0.02744","6.866E-07","0.002108","4.701E-05","0.0296","0.0296","0.01797","C"
"5","2.971E-06","0.0237","5.202E-07","0.002829","9.364E-05","0.02663","0.02662","0.01685","C"
"6","2.064E-06","0.02095","4.181E-07","0.003474","0.0001438","0.02457","0.02457","0.01607","C"
"7","1.516E-06","0.01883","3.49E-07","0.004051","0.0001939","0.02308","0.02307","0.01553","I"
"8","1.161E-06","0.01714","2.994E-07","0.004568","0.0002426","0.02195","0.02195","0.01508","C"
"9","9.17E-07","0.01575","2.62E-07","0.005037","0.0002892","0.02108","0.02108","0.01478","I"
"10","7.43E-07","0.01459","2.329E-07","0.005465","0.0003338","0.02039","0.02039","0.01451","C"
"11","6.14E-07","0.01361","2.096E-07","0.005855","0.0003759","0.01984","0.01984","0.01434","I"
