"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","4.537","0.008777","9081","0","0","9085","9081","9052","C"
"0.0015","4.241","0.0153","3396","0","0","3400","3396","3388","C"
"0.002","3.933","0.02124","1623","0","0","1627","1623","1620","C"
"0.003","3.354","0.03206","554.3","0","0","557.6","554.3","553.5","C"
"0.004","2.849","0.04212","253.8","0","0","256.7","253.9","253.6","C"
"0.005","2.421","0.05133","137.4","0","0","139.9","137.4","137.2","C"
"0.006","2.065","0.05966","82.72","0","0","84.84","82.78","82.65","C"
"0.007112","1.745","0.068","51.38","0","0","53.2","51.45","51.33","C"
"0.007112","1.745","0.068","405.9","0","0","407.7","406","297.8","C"
"0.008","1.542","0.07395","304","0","0","305.6","304.1","231.6","C"
"0.01","1.201","0.08541","169.4","0","0","170.7","169.5","136.9","C"
"0.015","0.7458","0.1047","56.23","0","0","57.09","56.34","48.96","C"
"0.02","0.517","0.1162","25.05","0","0","25.68","25.17","22.6","C"
"0.03","0.2849","0.1286","7.763","0","0","8.176","7.892","7.251","C"
"0.04","0.1795","0.1338","3.316","0","0","3.629","3.45","3.155","C"
"0.05","0.1244","0.1355","1.697","0","0","1.957","1.833","1.638","C"
"0.06","0.09178","0.1355","0.9776","0","0","1.205","1.113","0.9555","C"
"0.08","0.05604","0.1332","0.406","0","0","0.5952","0.5392","0.4104","C"
"0.1","0.03768","0.1296","0.2045","0","0","0.3717","0.3341","0.2177","C"
"0.15","0.01781","0.12","0.05861","0","0","0.1964","0.1786","0.07961","C"
"0.2","0.01033","0.1114","0.02433","0","0","0.146","0.1357","0.04825","C"
"0.3","0.004728","0.09788","0.007266","0","0","0.1099","0.1051","0.03361","C"
"0.4","0.002694","0.0881","0.003209","0","0","0.094","0.09131","0.03039","C"
"0.5","0.001736","0.08065","0.001762","0","0","0.08415","0.08241","0.02914","C"
"0.6","0.00121","0.07472","0.00111","0","0","0.07704","0.07583","0.02836","C"
"0.8","0.0006833","0.06575","0.000565","0","0","0.06699","0.06631","0.02714","C"
"1","0.0004381","0.05916","0.0003514","0","0","0.05995","0.05951","0.02603","C"
"1.022","0.0004196","0.05853","0.0003335","0","0","0.05928","0.05887","0.0259","I"
"1.25","0.0002808","0.05292","0.0002256","7.031E-05","0","0.0535","0.05322","0.02472","C"
"1.5","0.0001951","0.04811","0.0001627","0.000358","0","0.04883","0.04864","0.0236","C"
"2","0.0001099","0.04107","0.0001003","0.001364","0","0.04265","0.04254","0.02199","C"
"2.044","0.0001052","0.04057","9.692E-05","0.001468","0","0.04224","0.04213","0.0219","I"
"3","4.884E-05","0.03232","5.448E-05","0.003781","1.131E-05","0.03621","0.03616","0.02042","C"
"4","2.748E-05","0.02697","3.67E-05","0.006039","4.617E-05","0.03312","0.03309","0.0199","C"
"5","1.759E-05","0.02329","2.747E-05","0.008032","9.198E-05","0.03146","0.03144","0.01983","C"
"6","1.222E-05","0.02059","2.188E-05","0.00981","0.0001413","0.03057","0.03056","0.01997","C"
"7","8.973E-06","0.0185","1.815E-05","0.01139","0.0001903","0.03011","0.0301","0.02025","I"
"8","6.87E-06","0.01684","1.548E-05","0.01281","0.000238","0.02991","0.02991","0.0205","C"
"9","5.428E-06","0.01547","1.35E-05","0.01409","0.0002836","0.02987","0.02986","0.0208","I"
"10","4.396E-06","0.01434","1.196E-05","0.01526","0.0003269","0.02994","0.02994","0.02108","C"
"11","3.634E-06","0.01337","1.073E-05","0.01632","0.000368","0.03007","0.03007","0.02134","I"
"12","3.054E-06","0.01254","9.725E-06","0.01729","0.0004069","0.03025","0.03024","0.02158","I"
"13","2.602E-06","0.01182","8.894E-06","0.01817","0.0004435","0.03044","0.03044","0.0218","I"
"14","2.243E-06","0.01118","8.192E-06","0.01901","0.0004785","0.03068","0.03068","0.02201","I"
"15","1.954E-06","0.01062","7.593E-06","0.01979","0.0005115","0.03092","0.03092","0.02221","C"
"16","1.718E-06","0.01011","7.074E-06","0.02052","0.0005429","0.03118","0.03118","0.02237","I"
"18","1.358E-06","0.009239","6.223E-06","0.02186","0.0006014","0.03171","0.0317","0.02266","I"
"20","1.099E-06","0.00852","5.554E-06","0.02305","0.0006548","0.03224","0.03223","0.02292","C"
"22","9.085E-07","0.007914","5.015E-06","0.02414","0.0007036","0.03277","0.03277","",""
"24","7.633E-07","0.007395","4.571E-06","0.02513","0.0007487","0.03327","0.03327","",""
"26","6.504E-07","0.006944","4.199E-06","0.02603","0.0007904","0.03377","0.03377","",""
"28","5.608E-07","0.006551","3.882E-06","0.02685","0.0008292","0.03423","0.03423","",""
"30","4.886E-07","0.006203","3.61E-06","0.02762","0.0008655","0.03469","0.03469","",""
"40","2.749E-07","0.004929","2.673E-06","0.03071","0.001016","0.03666","0.03666","",""
"50","1.759E-07","0.004114","2.122E-06","0.03303","0.001132","0.03828","0.03828","",""
"60","1.222E-07","0.003544","1.759E-06","0.03484","0.001225","0.03961","0.03961","",""
"80","6.87E-08","0.002796","1.311E-06","0.03756","0.001365","0.04172","0.04172","",""
"100","4.396E-08","0.002321","1.045E-06","0.0395","0.001469","0.04329","0.04329","",""
"150","1.954E-08","0.001652","6.927E-07","0.04263","0.001643","0.04592","0.04592","",""
"200","1.099E-08","0.001296","5.181E-07","0.04451","0.001753","0.04756","0.04756","",""
"300","4.885E-09","0.0009183","3.445E-07","0.04671","0.00189","0.04952","0.04952","",""
"400","2.748E-09","0.0007192","2.58E-07","0.048","0.001973","0.05069","0.05069","",""
"500","1.759E-09","0.0005953","2.063E-07","0.04884","0.00203","0.05146","0.05146","",""
"600","1.222E-09","0.0005097","1.718E-07","0.04944","0.002073","0.05202","0.05202","",""
"800","6.87E-10","0.0003981","1.288E-07","0.05025","0.002131","0.05278","0.05278","",""
"1000","4.396E-10","0.0003275","1.03E-07","0.05077","0.002171","0.05327","0.05327","",""
"1500","1.954E-10","0.0002287","6.861E-08","0.05153","0.002229","0.05399","0.05399","",""
"2000","1.099E-10","0.0001771","5.145E-08","0.05194","0.002263","0.05438","0.05438","",""
"3000","4.885E-11","0.0001231","3.429E-08","0.0524","0.0023","0.05482","0.05482","",""
"4000","2.748E-11","9.501E-05","2.571E-08","0.05263","0.002322","0.05505","0.05505","",""
"5000","1.759E-11","7.768E-05","2.056E-08","0.05279","0.002335","0.05521","0.05521","",""
"6000","1.222E-11","6.588E-05","1.713E-08","0.05289","0.002344","0.0553","0.0553","",""
"8000","6.87E-12","5.076E-05","1.285E-08","0.05303","0.002357","0.05544","0.05544","",""
"10000","4.396E-12","4.144E-05","1.028E-08","0.05312","0.002365","0.05552","0.05552","",""
"15000","1.954E-12","2.864E-05","6.855E-09","0.05325","0.002376","0.05565","0.05565","",""
"20000","1.099E-12","2.202E-05","5.14E-09","0.05331","0.002382","0.05572","0.05572","",""
"30000","4.885E-13","1.518E-05","3.427E-09","0.05338","0.002388","0.05578","0.05578","",""
"40000","2.748E-13","1.166E-05","2.571E-09","0.05341","0.002392","0.05581","0.05581","",""
"50000","1.759E-13","9.493E-06","2.056E-09","0.05344","0.002394","0.05585","0.05585","",""
"60000","1.222E-13","8.025E-06","1.713E-09","0.05345","0.002396","0.05586","0.05586","",""
"80000","6.87E-14","6.153E-06","1.285E-09","0.05347","0.002397","0.05588","0.05588","",""
"100000","4.396E-14","5.006E-06","1.028E-09","0.05349","0.002398","0.05589","0.05589","",""
