"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.418","0.004688","9087","0","0","9096","9087","9078","C"
"0.001035","8.388","0.004972","8450","0","0","8458","8450","8448","C"
"0.001072","8.357","0.005272","7858","0","0","7867","7858","7847","C"
"0.001072","8.357","0.005272","8195","0","0","8204","8195","8181","C"
"0.0015","7.958","0.008969","3911","0","0","3919","3911","3908","C"
"0.002","7.446","0.01342","1989","0","0","1997","1989","1988","C"
"0.003","6.463","0.0219","735.5","0","0","742","735.6","735.1","C"
"0.004","5.628","0.02932","355.1","0","0","360.8","355.1","354.8","C"
"0.004557","5.229","0.03296","253.9","0","0","259.1","253.9","253.7","C"
"0.004557","5.229","0.03296","749.8","0","0","755","749.8","712.1","C"
"0.004702","5.133","0.03387","702.7","0","0","707.9","702.7","672.4","C"
"0.004852","5.035","0.03479","658.7","0","0","663.7","658.7","627","C"
"0.004852","5.035","0.03479","888.3","0","0","893.4","888.4","837.5","C"
"0.005","4.94","0.03568","838","0","0","843","838.1","790.3","C"
"0.005188","4.821","0.03679","761.6","0","0","766.5","761.7","719.8","C"
"0.005188","4.821","0.03679","878.8","0","0","883.7","878.9","828.3","C"
"0.006","4.356","0.04129","613.1","0","0","617.5","613.1","582.2","C"
"0.008","3.446","0.05106","288.6","0","0","292.1","288.7","277.7","C"
"0.01","2.798","0.05955","159.7","0","0","162.6","159.8","154.8","C"
"0.015","1.843","0.07578","53.2","0","0","55.11","53.27","52.08","C"
"0.02","1.312","0.08646","24.04","0","0","25.43","24.12","23.63","C"
"0.03","0.7455","0.09908","7.716","0","0","8.561","7.815","7.622","C"
"0.03317","0.643","0.1016","5.808","0","0","6.553","5.91","5.744","C"
"0.03317","0.643","0.1016","35.08","0","0","35.83","35.18","11.88","C"
"0.04","0.4859","0.1057","21.51","0","0","22.1","21.61","9.616","C"
"0.05","0.3452","0.1093","11.87","0","0","12.32","11.98","6.573","C"
"0.06","0.2577","0.111","7.208","0","0","7.577","7.319","4.518","C"
"0.08","0.1584","0.1115","3.24","0","0","3.51","3.352","2.331","C"
"0.1","0.1073","0.11","1.725","0","0","1.942","1.835","1.342","C"
"0.15","0.0522","0.1036","0.5419","0","0","0.6978","0.6456","0.4742","C"
"0.2","0.03087","0.09709","0.2383","0","0","0.3663","0.3354","0.2295","C"
"0.3","0.0144","0.08627","0.0765","0","0","0.1772","0.1628","0.09257","C"
"0.4","0.008295","0.07811","0.03525","0","0","0.1217","0.1134","0.0565","C"
"0.5","0.005381","0.07175","0.01988","0","0","0.09701","0.09163","0.04267","C"
