"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.898","0.004757","2848","0","0","2854","2848","2848","C"
"0.0015","5.581","0.009371","1087","0","0","1093","1087","1087","C"
"0.001675","5.454","0.01109","830.7","0","0","836.2","830.7","830.5","C"
"0.001675","5.454","0.01109","3911","0","0","3916","3911","3842","C"
"0.001701","5.434","0.01135","3514","0","0","3519","3514","3352","C"
"0.001727","5.415","0.01161","3160","0","0","3165","3160","3114","C"
"0.001727","5.415","0.01161","4559","0","0","4564","4559","4484","C"
"0.001822","5.348","0.01256","3981","0","0","3987","3981","3945","C"
"0.001921","5.277","0.01355","3478","0","0","3483","3478","3425","C"
"0.001921","5.277","0.01355","3942","0","0","3948","3942","3882","C"
"0.002","5.217","0.01434","3595","0","0","3600","3595","3541","C"
"0.003","4.494","0.02396","1301","0","0","1305","1301","1288","C"
"0.004","3.88","0.03268","614.8","0","0","618.7","614.8","610.1","C"
"0.005","3.386","0.04032","339.1","0","0","342.5","339.2","337.1","C"
"0.006","2.982","0.04694","207.1","0","0","210.1","207.2","206","C"
"0.008","2.352","0.05805","94.07","0","0","96.48","94.13","93.71","C"
"0.01","1.879","0.06729","50.62","0","0","52.57","50.69","50.44","C"
"0.01433","1.217","0.08293","18.41","0","0","19.71","18.49","18.36","C"
"0.01433","1.217","0.08293","130","0","0","131.3","130.1","66.04","C"
"0.015","1.148","0.08487","115.6","0","0","116.8","115.6","61.12","C"
"0.02","0.7812","0.09673","54.6","0","0","55.48","54.7","35.09","C"
"0.03","0.4422","0.1102","17.98","0","0","18.53","18.09","13.65","C"
"0.04","0.2836","0.1166","7.991","0","0","8.391","8.108","6.538","C"
"0.05","0.1963","0.1196","4.207","0","0","4.523","4.326","3.596","C"
"0.06","0.1442","0.1205","2.474","0","0","2.739","2.595","2.178","C"
"0.08","0.08796","0.1195","1.06","0","0","1.267","1.179","0.9729","C"
"0.1","0.05951","0.1169","0.5457","0","0","0.7221","0.6626","0.5192","C"
"0.15","0.02857","0.109","0.1623","0","0","0.2998","0.2713","0.1731","C"
"0.2","0.01667","0.1016","0.06888","0","0","0.1872","0.1705","0.08787","C"
"0.3","0.007675","0.08976","0.02116","0","0","0.1186","0.1109","0.04459","C"
"0.4","0.004392","0.08092","0.009493","0","0","0.0948","0.09041","0.03414","C"
"0.5","0.002838","0.07416","0.005265","0","0","0.08227","0.07943","0.03023","C"
"0.6","0.001982","0.06879","0.003335","0","0","0.0741","0.07212","0.02825","C"
"0.8","0.001122","0.06057","0.001709","0","0","0.0634","0.06228","0.02603","C"
"1","0.0007201","0.05453","0.001064","0","0","0.05631","0.05559","0.02456","C"
"1.022","0.0006896","0.05395","0.001012","0","0","0.05566","0.05497","0.02441","I"
"1.25","0.0004618","0.0488","0.0006833","0.0001033","0","0.05004","0.04958","0.0231","C"
"1.5","0.000321","0.04438","0.0004913","0.0005036","0","0.04569","0.04537","0.02197","C"
"2","0.0001808","0.03789","0.000301","0.001834","0","0.0402","0.04002","0.02055","C"
"2.044","0.0001731","0.03742","0.0002906","0.001967","0","0.03985","0.03968","0.0205","I"
