"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","4.24","0.009236","8089","0","0","8093","8089","8069","C"
"0.0015","3.948","0.01591","2979","0","0","2983","2979","2975","C"
"0.002","3.646","0.0219","1417","0","0","1421","1417","1415","C"
"0.003","3.091","0.03276","482","0","0","485.1","482","481.5","C"
"0.004","2.613","0.04279","220.2","0","0","222.9","220.3","220.1","C"
"0.005","2.213","0.05191","118.9","0","0","121.2","119","118.8","C"
"0.006","1.884","0.06014","71.56","0","0","73.5","71.62","71.5","C"
"0.006539","1.735","0.0642","56.23","0","0","58.03","56.3","56.19","C"
"0.006539","1.735","0.0642","450.2","0","0","452","450.3","341.5","C"
"0.008","1.407","0.07414","272","0","0","273.4","272","217.7","C"
"0.01","1.099","0.08523","150.2","0","0","151.4","150.3","126.2","C"
"0.015","0.6878","0.1036","49.48","0","0","50.27","49.58","44.14","C"
"0.02","0.4764","0.1148","21.93","0","0","22.53","22.05","20.15","C"
"0.03","0.2613","0.1267","6.753","0","0","7.142","6.88","6.382","C"
"0.04","0.1648","0.1315","2.873","0","0","3.169","3.005","2.757","C"
"0.05","0.1143","0.133","1.467","0","0","1.714","1.6","1.425","C"
"0.06","0.08435","0.133","0.8424","0","0","1.06","0.9754","0.8294","C"
"0.08","0.05145","0.1306","0.3486","0","0","0.5306","0.4791","0.3558","C"
"0.1","0.03454","0.127","0.1751","0","0","0.3366","0.3021","0.1894","C"
"0.15","0.01631","0.1175","0.05002","0","0","0.1838","0.1675","0.07085","C"
"0.2","0.009452","0.109","0.02071","0","0","0.1391","0.1297","0.04421","C"
"0.3","0.004322","0.09573","0.006167","0","0","0.1062","0.1019","0.03196","C"
"0.4","0.002462","0.08615","0.00272","0","0","0.09133","0.08887","0.02932","C"
"0.5","0.001585","0.07885","0.001492","0","0","0.08192","0.08034","0.02827","C"
"0.6","0.001105","0.07305","0.0009385","0","0","0.07509","0.07399","0.0276","C"
"0.8","0.0006239","0.06427","0.0004778","0","0","0.06537","0.06475","0.02647","C"
"1","0.0004001","0.05782","0.0002973","0","0","0.05852","0.05812","0.02541","C"
"1.022","0.0003831","0.05722","0.000282","0","0","0.05789","0.0575","0.02529","I"
"1.25","0.0002564","0.05173","0.0001907","6.519E-05","0","0.05224","0.05198","0.02416","C"
"1.5","0.0001781","0.04704","0.0001376","0.0003336","0","0.04769","0.04751","0.02307","C"
"2","0.0001003","0.04015","8.493E-05","0.001278","0","0.04162","0.04152","0.02149","C"
"2.044","9.599E-05","0.03965","8.204E-05","0.001376","0","0.0412","0.04111","0.0214","I"
"3","4.458E-05","0.03159","4.616E-05","0.003546","1.106E-05","0.03524","0.03519","0.01989","C"
"4","2.508E-05","0.02636","3.112E-05","0.00567","4.514E-05","0.03213","0.03211","0.01933","C"
"5","1.605E-05","0.02277","2.332E-05","0.007549","8.992E-05","0.03045","0.03043","0.0192","C"
"6","1.115E-05","0.02013","1.858E-05","0.009223","0.000138","0.02952","0.02951","0.0193","C"
"7","8.191E-06","0.01809","1.541E-05","0.01071","0.000186","0.02901","0.029","0.01953","I"
"8","6.271E-06","0.01645","1.315E-05","0.01205","0.0002326","0.02875","0.02875","0.01973","C"
"9","4.955E-06","0.01513","1.147E-05","0.01326","0.0002772","0.02868","0.02868","0.02","I"
"10","4.013E-06","0.01402","1.016E-05","0.01436","0.0003196","0.02871","0.02871","0.02025","C"
"11","3.317E-06","0.01308","9.118E-06","0.01536","0.0003599","0.02881","0.0288","0.02049","I"
"12","2.788E-06","0.01227","8.267E-06","0.01627","0.0003978","0.02894","0.02894","0.0207","I"
"13","2.375E-06","0.01155","7.561E-06","0.01711","0.0004336","0.02911","0.02911","0.0209","I"
"14","2.048E-06","0.01093","6.965E-06","0.0179","0.0004677","0.02931","0.0293","0.02109","I"
"15","1.783E-06","0.01038","6.455E-06","0.01862","0.0005002","0.02951","0.02951","0.02127","C"
"16","1.568E-06","0.009881","6.016E-06","0.01931","0.000531","0.02973","0.02973","0.02142","I"
"18","1.239E-06","0.00903","5.292E-06","0.02058","0.0005881","0.0302","0.0302","0.02169","I"
"20","1.003E-06","0.008328","4.724E-06","0.0217","0.0006403","0.03068","0.03068","0.02193","C"
"22","8.293E-07","0.007736","4.266E-06","0.02271","0.0006882","0.03114","0.03114","",""
"24","6.968E-07","0.007228","3.888E-06","0.02364","0.0007324","0.03161","0.03161","",""
"26","5.937E-07","0.006787","3.572E-06","0.02449","0.0007731","0.03205","0.03205","",""
"28","5.119E-07","0.006403","3.303E-06","0.02527","0.0008112","0.03248","0.03248","",""
"30","4.459E-07","0.006063","3.071E-06","0.02599","0.0008466","0.0329","0.0329","",""
"40","2.508E-07","0.004818","2.275E-06","0.02892","0.0009943","0.03473","0.03473","",""
"50","1.606E-07","0.004022","1.806E-06","0.03112","0.001108","0.03625","0.03625","",""
"60","1.115E-07","0.003465","1.497E-06","0.03283","0.001198","0.03749","0.03749","",""
"80","6.271E-08","0.002733","1.116E-06","0.03538","0.001336","0.03945","0.03945","",""
"100","4.013E-08","0.002268","8.891E-07","0.03721","0.001438","0.04092","0.04092","",""
"150","1.783E-08","0.001615","5.897E-07","0.04016","0.001609","0.04339","0.04339","",""
"200","1.003E-08","0.001266","4.411E-07","0.04195","0.001719","0.04494","0.04494","",""
"300","4.459E-09","0.0008977","2.933E-07","0.04404","0.001854","0.0468","0.0468","",""
