"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.052","0.007812","9850","0","0","9856","9850","9797","C"
"0.001004","5.05","0.007861","9748","0","0","9753","9748","9697","C"
"0.001008","5.047","0.00791","9651","0","0","9656","9651","9598","C"
"0.001008","5.047","0.00791","10990","0","0","10990","10990","10930","C"
"0.0015","4.761","0.0139","4230","0","0","4234","4230","4214","C"
"0.002","4.447","0.0196","2044","0","0","2048","2044","2039","C"
"0.003","3.838","0.03003","705.6","0","0","709.5","705.7","704.2","C"
"0.004","3.293","0.03984","324.9","0","0","328.2","324.9","324.4","C"
"0.005","2.819","0.04895","176.4","0","0","179.3","176.4","176.1","C"
"0.006","2.417","0.05727","106.5","0","0","109","106.6","106.4","C"
"0.008","1.811","0.07172","47.64","0","0","49.52","47.71","47.58","C"
"0.008333","1.733","0.07386","42.47","0","0","44.28","42.54","42.42","C"
"0.008333","1.733","0.07386","327.5","0","0","329.3","327.6","224","C"
"0.01","1.406","0.08359","207.5","0","0","209","207.6","152.4","C"
"0.015","0.8601","0.1041","69.85","0","0","70.81","69.95","57.34","C"
"0.02","0.5947","0.1165","31.49","0","0","32.2","31.61","27.22","C"
"0.03","0.3303","0.1299","9.883","0","0","10.34","10.01","8.982","C"
"0.04","0.2082","0.1356","4.256","0","0","4.6","4.392","3.967","C"
"0.05","0.144","0.1377","2.193","0","0","2.474","2.33","2.078","C"
"0.06","0.1061","0.1378","1.267","0","0","1.511","1.405","1.219","C"
"0.08","0.06483","0.1358","0.53","0","0","0.7306","0.6657","0.5259","C"
"0.1","0.04367","0.1323","0.268","0","0","0.4439","0.4003","0.2781","C"
"0.15","0.02072","0.1226","0.07746","0","0","0.2208","0.2001","0.09812","C"
"0.2","0.01203","0.1139","0.03229","0","0","0.1582","0.1462","0.05649","C"
"0.3","0.00551","0.1002","0.009702","0","0","0.1154","0.1099","0.03659","C"
"0.4","0.003143","0.0902","0.004299","0","0","0.09765","0.0945","0.03209","C"
"0.5","0.002027","0.08259","0.002365","0","0","0.08698","0.08496","0.03036","C"
"0.6","0.001413","0.07654","0.001491","0","0","0.07944","0.07803","0.02937","C"
"0.8","0.0007983","0.06735","0.0007603","0","0","0.06891","0.06811","0.02795","C"
"1","0.000512","0.06061","0.000473","0","0","0.0616","0.06108","0.02674","C"
"1.022","0.0004903","0.05996","0.0004492","0","0","0.0609","0.06041","0.0266","I"
"1.25","0.0003281","0.05423","0.0003037","7.98E-05","0","0.05494","0.05461","0.02536","C"
"1.5","0.000228","0.0493","0.0002189","0.0004023","0","0.05015","0.04992","0.0242","C"
"2","0.0001284","0.04209","0.0001348","0.001518","0","0.04387","0.04374","0.02257","C"
"2.044","0.0001229","0.04157","0.0001302","0.001631","0","0.04345","0.04333","0.02249","I"
"3","5.708E-05","0.03312","7.301E-05","0.004189","1.159E-05","0.03745","0.0374","0.02107","C"
"4","3.212E-05","0.02763","4.91E-05","0.006675","4.731E-05","0.03444","0.0344","0.02066","C"
"5","2.055E-05","0.02387","3.671E-05","0.008867","9.425E-05","0.03289","0.03287","0.0207","C"
"6","1.427E-05","0.0211","2.921E-05","0.01082","0.0001447","0.0321","0.03209","0.02094","C"
"7","1.049E-05","0.01896","2.422E-05","0.01255","0.000195","0.03174","0.03173","0.02131","I"
"8","8.03E-06","0.01726","2.066E-05","0.01411","0.0002438","0.03164","0.03163","0.02163","C"
"9","6.345E-06","0.01586","1.8E-05","0.01552","0.0002905","0.0317","0.0317","0.022","I"
"10","5.14E-06","0.01469","1.594E-05","0.0168","0.0003349","0.03185","0.03184","0.02234","C"
"11","4.248E-06","0.01371","1.429E-05","0.01797","0.000377","0.03207","0.03207","0.02265","I"
"12","3.569E-06","0.01286","1.296E-05","0.01902","0.0004167","0.03231","0.03231","0.02293","I"
"13","3.041E-06","0.01211","1.184E-05","0.02001","0.0004541","0.03259","0.03258","0.0232","I"
"14","2.623E-06","0.01146","1.091E-05","0.02092","0.00049","0.03289","0.03288","0.02345","I"
"15","2.284E-06","0.01088","1.011E-05","0.02178","0.0005237","0.0332","0.03319","0.02368","C"
"16","2.008E-06","0.01036","9.416E-06","0.02258","0.0005559","0.03352","0.03351","0.02385","I"
"18","1.586E-06","0.009468","8.283E-06","0.02405","0.0006158","0.03414","0.03414","0.02417","I"
"20","1.285E-06","0.008731","7.391E-06","0.02535","0.0006702","0.03476","0.03476","0.02446","C"
"22","1.062E-06","0.008109","6.672E-06","0.02655","0.0007203","0.03538","0.03538","",""
"24","8.924E-07","0.007578","6.08E-06","0.02762","0.0007664","0.03597","0.03597","",""
"26","7.603E-07","0.007116","5.584E-06","0.02861","0.000809","0.03654","0.03654","",""
"28","6.556E-07","0.006713","5.163E-06","0.02951","0.0008487","0.03708","0.03708","",""
"30","5.711E-07","0.006357","4.801E-06","0.03034","0.0008856","0.03759","0.03759","",""
"40","3.213E-07","0.00505","3.553E-06","0.03375","0.001039","0.03984","0.03984","",""
"50","2.056E-07","0.004216","2.821E-06","0.03629","0.001157","0.04167","0.04167","",""
"60","1.427E-07","0.003632","2.337E-06","0.03829","0.001252","0.04318","0.04318","",""
"80","8.03E-08","0.002865","1.741E-06","0.04126","0.001394","0.04552","0.04552","",""
"100","5.14E-08","0.002377","1.387E-06","0.04338","0.001499","0.04726","0.04726","",""
"150","2.284E-08","0.001693","9.202E-07","0.04678","0.001675","0.05015","0.05015","",""
"200","1.285E-08","0.001328","6.883E-07","0.04881","0.001785","0.05193","0.05193","",""
"300","5.71E-09","0.000941","4.576E-07","0.05119","0.001923","0.05406","0.05406","",""
"400","3.212E-09","0.000737","3.427E-07","0.05256","0.002005","0.0553","0.0553","",""
"500","2.055E-09","0.0006101","2.74E-07","0.05346","0.002062","0.05613","0.05613","",""
"600","1.427E-09","0.0005224","2.282E-07","0.05411","0.002105","0.05673","0.05673","",""
"800","8.03E-10","0.000408","1.71E-07","0.05496","0.002162","0.05753","0.05753","",""
"1000","5.14E-10","0.0003356","1.368E-07","0.05552","0.002201","0.05806","0.05806","",""
"1500","2.284E-10","0.0002344","9.112E-08","0.05632","0.002258","0.05882","0.05882","",""
"2000","1.285E-10","0.0001814","6.832E-08","0.05676","0.002291","0.05924","0.05924","",""
"3000","5.71E-11","0.0001261","4.554E-08","0.05724","0.002327","0.05969","0.05969","",""
"4000","3.212E-11","9.737E-05","3.415E-08","0.05749","0.002349","0.05994","0.05994","",""
"5000","2.055E-11","7.96E-05","2.731E-08","0.05766","0.002361","0.0601","0.0601","",""
