"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","1.501","0.008514","4588","0","0","4590","4588","4576","C"
"0.0015","1.392","0.01768","1547","0","0","1549","1547","1545","C"
"0.002","1.263","0.02846","693.7","0","0","695","693.7","692.6","C"
"0.003","1.002","0.05089","216","0","0","217.1","216.1","215.8","C"
"0.004","0.7833","0.07099","92.29","0","0","93.15","92.36","92.21","C"
"0.005","0.618","0.08744","47.2","0","0","47.91","47.29","47.15","C"
"0.006","0.498","0.1003","27.1","0","0","27.7","27.2","27.08","C"
"0.008","0.3447","0.1182","11.17","0","0","11.63","11.29","11.16","C"
"0.01","0.2565","0.1294","5.567","0","0","5.953","5.696","5.565","C"
"0.015","0.1486","0.1454","1.542","0","0","1.836","1.687","1.545","C"
"0.02","0.09888","0.154","0.6124","0","0","0.8653","0.7664","0.6179","C"
"0.03","0.05247","0.1613","0.1641","0","0","0.3779","0.3254","0.1729","C"
"0.04","0.03215","0.1624","0.06395","0","0","0.2585","0.2264","0.0753","C"
"0.05","0.02166","0.1609","0.03068","0","0","0.2133","0.1916","0.04414","C"
"0.06","0.01558","0.1584","0.01681","0","0","0.1907","0.1752","0.03207","C"
"0.08","0.009139","0.1522","0.006497","0","0","0.1679","0.1587","0.02468","C"
"0.1","0.005988","0.146","0.003111","0","0","0.1551","0.1492","0.02355","C"
"0.15","0.002734","0.1325","0.0008228","0","0","0.1361","0.1334","0.02506","C"
"0.2","0.001554","0.1218","0.0003251","0","0","0.1237","0.1221","0.02679","C"
"0.3","0.000696","0.1062","9.188E-05","0","0","0.107","0.1063","0.02877","C"
"0.4","0.0003926","0.09523","3.933E-05","0","0","0.09566","0.09527","0.02953","C"
"0.5","0.0002516","0.08702","2.121E-05","0","0","0.0873","0.08704","0.02971","C"
"0.6","0.0001748","0.08051","1.321E-05","0","0","0.0807","0.08052","0.02957","C"
"0.8","9.843E-05","0.07076","6.666E-06","0","0","0.07087","0.07077","0.02887","C"
"1","6.301E-05","0.06365","4.144E-06","0","0","0.06372","0.06365","0.02794","C"
"1.022","6.034E-05","0.06297","3.862E-06","0","0","0.06304","0.06298","0.02782","I"
"1.25","4.035E-05","0.05691","2.622E-06","1.942E-05","0","0.05697","0.05693","0.02669","C"
"1.5","2.801E-05","0.05172","1.902E-06","0.0001073","0","0.05185","0.05183","0.02551","C"
"2","1.576E-05","0.04415","1.197E-06","0.0004268","0","0.0446","0.04458","0.0235","C"
"2.044","1.509E-05","0.04359","1.157E-06","0.00046","0","0.04406","0.04405","0.02334","I"
"3","7.005E-06","0.03473","6.685E-07","0.00122","1.215E-05","0.03597","0.03596","0.02066","C"
"4","3.941E-06","0.02897","4.588E-07","0.001978","4.961E-05","0.031","0.031","0.01882","C"
"5","2.521E-06","0.02502","3.479E-07","0.002654","9.884E-05","0.02777","0.02777","0.01757","C"
"6","1.751E-06","0.02211","2.797E-07","0.003261","0.0001518","0.02552","0.02552","0.01668","C"
"7","1.287E-06","0.01987","2.336E-07","0.003802","0.0002047","0.02388","0.02388","0.01605","I"
"8","9.85E-07","0.01809","2.005E-07","0.004287","0.0002561","0.02263","0.02263","0.01553","C"
"9","7.784E-07","0.01663","1.755E-07","0.004731","0.0003053","0.02166","0.02166","0.01516","I"
