"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","2.656","0.01113","1910","0","0","1913","1910","1910","C"
"0.0015","2.413","0.0208","652.3","0","0","654.7","652.3","652.2","C"
"0.002","2.164","0.03025","299.6","0","0","301.8","299.6","299.6","C"
"0.002145","2.096","0.03286","247.3","0","0","249.4","247.3","247.3","C"
"0.002145","2.096","0.03286","2471","0","0","2473","2471","2343","C"
"0.003","1.745","0.04637","1116","0","0","1118","1116","1074","C"
"0.004","1.448","0.05885","522.6","0","0","524.1","522.7","507.9","C"
"0.005","1.237","0.06879","284.8","0","0","286.1","284.9","278.2","C"
"0.006","1.076","0.07719","171.5","0","0","172.6","171.5","168.2","C"
"0.008","0.8329","0.09134","75.67","0","0","76.6","75.76","74.57","C"
"0.01","0.6539","0.103","39.6","0","0","40.36","39.71","39.12","C"
"0.015","0.3824","0.1233","11.88","0","0","12.39","12.01","11.79","C"
"0.02","0.2502","0.1346","4.97","0","0","5.354","5.104","4.939","C"
"0.03","0.1341","0.1446","1.421","0","0","1.7","1.566","1.422","C"
"0.04","0.0845","0.148","0.5771","0","0","0.8095","0.725","0.585","C"
"0.05","0.05806","0.1485","0.2852","0","0","0.4918","0.4337","0.2965","C"
"0.06","0.04223","0.1475","0.1597","0","0","0.3494","0.3072","0.1735","C"
"0.08","0.02512","0.1436","0.06369","0","0","0.2324","0.2073","0.08083","C"
"0.1","0.01663","0.1387","0.03117","0","0","0.1865","0.1699","0.05068","C"
"0.15","0.007725","0.127","0.008533","0","0","0.1432","0.1355","0.03188","C"
"0.2","0.004435","0.1172","0.003441","0","0","0.125","0.1206","0.02899","C"
"0.3","0.002005","0.1025","0.0009941","0","0","0.1055","0.1035","0.0287","C"
"0.4","0.001135","0.09202","0.0004309","0","0","0.09359","0.09245","0.02892","C"
"0.5","0.0007287","0.08415","0.0002339","0","0","0.08511","0.08438","0.02891","C"
"0.6","0.0005069","0.07789","0.0001463","0","0","0.07854","0.07803","0.02869","C"
"0.8","0.0002856","0.06848","7.414E-05","0","0","0.06884","0.06855","0.02793","C"
"1","0.0001829","0.06159","4.608E-05","0","0","0.06182","0.06164","0.02698","C"
"1.022","0.0001752","0.06095","4.349E-05","0","0","0.06117","0.061","0.02686","I"
"1.25","0.0001171","0.05508","2.948E-05","3.7E-05","0","0.05526","0.05515","0.02575","C"
"1.5","8.137E-05","0.05008","2.133E-05","0.0002001","0","0.05039","0.05031","0.02462","C"
"2","4.579E-05","0.04274","1.329E-05","0.0007863","0","0.04358","0.04353","0.02279","C"
"2.044","4.384E-05","0.04221","1.285E-05","0.0008473","0","0.04311","0.04307","0.02266","I"
"3","2.036E-05","0.03364","7.328E-06","0.00223","1.177E-05","0.03591","0.03589","0.02049","C"
"4","1.145E-05","0.02806","4.989E-06","0.003601","4.804E-05","0.03172","0.03171","0.01921","C"
"5","7.328E-06","0.02423","3.76E-06","0.004818","9.574E-05","0.02915","0.02914","0.01846","C"
"6","5.088E-06","0.02141","3.012E-06","0.005909","0.000147","0.02747","0.02747","0.01801","C"
"7","3.739E-06","0.01925","2.508E-06","0.006877","0.0001981","0.02633","0.02632","0.01779","I"
"8","2.862E-06","0.01752","2.146E-06","0.007752","0.0002479","0.02552","0.02552","0.0176","C"
"9","2.261E-06","0.0161","1.876E-06","0.008543","0.0002955","0.02495","0.02494","0.01753","I"
"10","1.832E-06","0.01492","1.665E-06","0.009261","0.0003408","0.02452","0.02452","0.01747","C"
"11","1.514E-06","0.01392","1.497E-06","0.009912","0.0003838","0.02421","0.02421","0.01749","I"
"12","1.272E-06","0.01305","1.359E-06","0.01051","0.0004244","0.02399","0.02398","0.0175","I"
"13","1.084E-06","0.01229","1.245E-06","0.01106","0.0004629","0.02382","0.02382","0.01752","I"
"14","9.348E-07","0.01163","1.148E-06","0.01158","0.0004995","0.02371","0.02371","0.01753","I"
"15","8.143E-07","0.01104","1.065E-06","0.01206","0.0005343","0.02364","0.02364","0.01754","C"
"16","7.157E-07","0.01051","9.927E-07","0.01251","0.0005673","0.0236","0.02359","0.01758","I"
"18","5.654E-07","0.009611","8.747E-07","0.01334","0.0006288","0.02358","0.02358","0.01765","I"
"20","4.581E-07","0.008862","7.816E-07","0.01408","0.000685","0.02363","0.02363","0.01771","C"
"22","3.785E-07","0.008232","7.065E-07","0.01475","0.0007367","0.02372","0.02372","",""
"24","3.181E-07","0.007692","6.443E-07","0.01536","0.0007843","0.02383","0.02383","",""
"26","2.71E-07","0.007223","5.924E-07","0.01592","0.0008286","0.02397","0.02397","",""
"28","2.337E-07","0.006815","5.481E-07","0.01643","0.0008699","0.02411","0.02411","",""
"30","2.036E-07","0.006451","5.1E-07","0.0169","0.0009084","0.02426","0.02426","",""
"40","1.145E-07","0.005127","3.784E-07","0.01887","0.001069","0.02507","0.02507","",""
"50","7.328E-08","0.004279","3.008E-07","0.02034","0.001194","0.02581","0.02581","",""
"60","5.088E-08","0.003688","2.494E-07","0.02148","0.001294","0.02647","0.02647","",""
"80","2.862E-08","0.002909","1.861E-07","0.0232","0.001447","0.02755","0.02755","",""
"100","1.832E-08","0.002415","1.484E-07","0.02442","0.001561","0.0284","0.0284","",""
"150","8.143E-09","0.001719","9.848E-08","0.0264","0.001754","0.02988","0.02988","",""
"200","4.579E-09","0.001348","7.369E-08","0.02761","0.001879","0.03084","0.03084","",""
"300","2.036E-09","0.0009552","4.902E-08","0.02905","0.002036","0.03204","0.03204","",""
"400","1.145E-09","0.0007482","3.673E-08","0.0299","0.002133","0.03278","0.03278","",""
"500","7.328E-10","0.0006193","2.936E-08","0.03045","0.002199","0.03327","0.03327","",""
"600","5.088E-10","0.0005302","2.446E-08","0.03086","0.00225","0.03364","0.03364","",""
