"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13.66","0.004702","6516","0","0","6530","6516","6515","C"
"0.001003","13.65","0.004723","6476","0","0","6490","6476","6476","C"
"0.001007","13.65","0.004744","6438","0","0","6452","6438","6437","C"
"0.001007","13.65","0.004744","6855","0","0","6869","6855","6853","C"
"0.00111","13.52","0.005389","5725","0","0","5738","5725","5740","C"
"0.001224","13.38","0.006084","4783","0","0","4796","4783","4780","C"
"0.001224","13.38","0.006084","4851","0","0","4864","4851","4848","C"
"0.001303","13.28","0.006545","4294","0","0","4308","4294","4296","C"
"0.001387","13.18","0.007035","3803","0","0","3816","3803","3801","C"
"0.001387","13.18","0.007035","3879","0","0","3892","3879","3877","C"
"0.0015","13.03","0.007715","3313","0","0","3326","3313","3313","C"
"0.002","12.36","0.01068","1821","0","0","1834","1821","1821","C"
"0.003","11.07","0.01644","744.7","0","0","755.8","744.7","744.4","C"
"0.003442","10.54","0.01886","544.3","0","0","554.8","544.3","544","C"
"0.003442","10.54","0.01886","1352","0","0","1363","1352","1314","C"
"0.003525","10.45","0.01932","1260","0","0","1271","1260","1222","C"
"0.003611","10.35","0.01977","1175","0","0","1185","1175","1144","C"
"0.003611","10.35","0.01977","1684","0","0","1694","1684","1628","C"
"0.004","9.908","0.02178","1305","0","0","1315","1305","1265","C"
"0.004174","9.72","0.02265","1172","0","0","1182","1172","1139","C"
"0.004174","9.72","0.02265","1365","0","0","1375","1365","1324","C"
"0.005","8.894","0.02659","866.9","0","0","875.9","867","845.4","C"
"0.005001","8.894","0.02661","866.7","0","0","875.6","866.7","845","C"
"0.005001","8.894","0.02661","919.9","0","0","928.8","919.9","896.4","C"
"0.005181","8.78","0.02893","843","0","0","851.8","843","821.9","C"
"0.005367","8.557","0.02823","772.6","0","0","781.2","772.6","754.1","C"
"0.005367","8.557","0.02823","805.7","0","0","814.3","805.7","786.4","C"
"0.006","8.023","0.03089","613.6","0","0","621.6","613.6","600.4","C"
"0.008","6.613","0.03842","300.8","0","0","307.5","300.8","295.8","C"
"0.01","5.534","0.04507","171.4","0","0","176.9","171.4","169","C"
"0.015","3.751","0.05839","60.6","0","0","64.41","60.66","60","C"
"0.01673","3.326","0.06198","45.64","0","0","49.03","45.7","45.22","C"
"0.01673","3.326","0.06198","109.6","0","0","113","109.7","84.83","C"
"0.02","2.698","0.06772","67.48","0","0","70.25","67.55","54.86","C"
"0.02031","2.646","0.06821","64.75","0","0","67.46","64.82","52.84","C"
"0.02031","2.646","0.06821","91.8","0","0","94.52","91.87","67.04","C"
"0.02071","2.584","0.06882","87.36","0","0","90.02","87.43","64.18","C"
"0.0211","2.525","0.06941","83.18","0","0","85.77","83.25","61.53","C"
"0.0211","2.525","0.06941","96","0","0","98.6","96.07","69.9","C"
"0.03","1.589","0.08002","39.1","0","0","40.77","39.18","31.46","C"
"0.04","1.068","0.08766","18.41","0","0","19.57","18.5","15.67","C"
"0.05","0.7692","0.0923","10.19","0","0","11.05","10.28","8.95","C"
"0.06","0.5784","0.09504","6.256","0","0","6.929","6.351","5.612","C"
"0.08","0.3634","0.09715","2.883","0","0","3.343","2.98","2.655","C"
"0.1","0.252","0.09707","1.575","0","0","1.924","1.672","1.477","C"
"0.1126","0.2065","0.09647","1.142","0","0","1.445","1.238","1.081","C"
"0.1126","0.2065","0.09647","4.895","0","0","5.198","4.992","1.466","C"
"0.15","0.1258","0.09342","2.356","0","0","2.575","2.449","1.106","C"
"0.2","0.07533","0.08857","1.124","0","0","1.288","1.213","0.6792","C"
