"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.634","0.00427","6530","0","0","6538","6530","6529","C"
"0.0015","7.272","0.008466","2571","0","0","2579","2571","2571","C"
"0.002","6.842","0.01298","1285","0","0","1292","1285","1285","C"
"0.003","5.942","0.02155","467","0","0","472.9","467","466.8","C"
"0.003173","5.789","0.02291","404.9","0","0","410.7","404.9","404.7","C"
"0.003173","5.789","0.02291","1350","0","0","1355","1350","1305","C"
"0.003251","5.723","0.02352","1278","0","0","1283","1278","1238","C"
"0.00333","5.656","0.02413","1210","0","0","1216","1210","1171","C"
"0.00333","5.656","0.02413","1659","0","0","1664","1659","1597","C"
"0.003465","5.543","0.02517","1510","0","0","1515","1510","1456","C"
"0.003604","5.428","0.02623","1374","0","0","1379","1374","1326","C"
"0.003604","5.428","0.02623","1577","0","0","1582","1577","1520","C"
"0.004","5.116","0.02918","1222","0","0","1227","1222","1182","C"
"0.005","4.423","0.03619","687","0","0","691.4","687","668.8","C"
"0.006","3.86","0.04274","426.8","0","0","430.7","426.9","417.5","C"
"0.008","3.04","0.05439","198.6","0","0","201.7","198.7","195.3","C"
"0.01","2.48","0.06394","108.5","0","0","111","108.5","107","C"
"0.015","1.618","0.08081","35.45","0","0","37.15","35.53","35.11","C"
"0.02","1.118","0.0919","15.83","0","0","17.04","15.93","15.71","C"
"0.02435","0.8522","0.0988","9.077","0","0","10.03","9.176","9.016","C"
"0.02435","0.8522","0.0988","58.06","0","0","59.01","58.16","22.08","C"
"0.03","0.6281","0.1053","33.91","0","0","34.65","34.02","16.69","C"
"0.04","0.4104","0.1122","15.61","0","0","16.14","15.72","9.611","C"
"0.05","0.2892","0.1157","8.443","0","0","8.848","8.559","5.833","C"
"0.06","0.2138","0.1173","5.067","0","0","5.399","5.185","3.759","C"
"0.08","0.1305","0.1173","2.232","0","0","2.48","2.35","1.804","C"
"0.1","0.08833","0.1153","1.173","0","0","1.377","1.288","1","C"
"0.15","0.04285","0.1082","0.3605","0","0","0.5115","0.4687","0.3397","C"
"0.2","0.02522","0.1012","0.1564","0","0","0.2827","0.2575","0.1644","C"
"0.3","0.01169","0.08969","0.04927","0","0","0.1506","0.139","0.07007","C"
"0.4","0.006717","0.08109","0.02246","0","0","0.1103","0.1036","0.04611","C"
"0.5","0.004351","0.07441","0.01259","0","0","0.09135","0.087","0.03704","C"
"0.6","0.003044","0.06904","0.008024","0","0","0.08011","0.07706","0.03262","C"
"0.8","0.001727","0.06083","0.004135","0","0","0.0667","0.06497","0.02828","C"
"1","0.00111","0.05481","0.002579","0","0","0.0585","0.05739","0.02594","C"
"1.022","0.001063","0.05423","0.002455","0","0","0.05775","0.05668","0.02574","I"
"1.25","0.000713","0.04906","0.001656","0.0001535","0","0.05159","0.05087","0.02395","C"
"1.5","0.0004958","0.04462","0.001188","0.0007198","0","0.04702","0.04653","0.02259","C"
"2","0.0002794","0.03811","0.0007243","0.002509","0","0.04162","0.04134","0.02112","C"
"2.044","0.0002675","0.03764","0.0006989","0.002685","0","0.04129","0.04102","0.02109","I"
"3","0.0001243","0.03","0.000386","0.006525","1.049E-05","0.03704","0.03692","0.02056","C"
"4","6.994E-05","0.02503","0.0002566","0.01012","4.281E-05","0.03552","0.03545","0.02111","C"
"5","4.478E-05","0.02162","0.0001903","0.01325","8.522E-05","0.03518","0.03514","0.02196","C"
"6","3.111E-05","0.01911","0.0001504","0.01595","0.0001308","0.03537","0.03534","0.02284","C"
"7","2.286E-05","0.01717","0.000124","0.01836","0.0001762","0.03586","0.03584","0.02373","I"
"8","1.75E-05","0.01563","0.0001054","0.02054","0.0002201","0.03651","0.03649","0.02453","C"
"9","1.382E-05","0.01437","9.15E-05","0.02251","0.0002621","0.03724","0.03723","0.02527","I"
"10","1.12E-05","0.01332","8.081E-05","0.02431","0.000302","0.03802","0.03801","0.02595","C"
"11","9.258E-06","0.01242","7.232E-05","0.02597","0.0003398","0.03882","0.03881","0.02649","I"
"12","7.775E-06","0.01165","6.542E-05","0.0275","0.0003754","0.0396","0.03959","0.02699","I"
"13","6.627E-06","0.01097","5.976E-05","0.02892","0.000409","0.04037","0.04036","0.02746","I"
"14","5.715E-06","0.01038","5.493E-05","0.03022","0.0004409","0.0411","0.0411","0.0279","I"
"15","4.978E-06","0.009858","5.083E-05","0.03143","0.0004712","0.04181","0.04181","0.02832","C"
"16","4.375E-06","0.009382","4.73E-05","0.03256","0.0004999","0.04249","0.04248","0.02857","I"
"18","3.457E-06","0.008579","4.152E-05","0.03462","0.0005531","0.04379","0.04379","0.02902","I"
"20","2.8E-06","0.007911","3.699E-05","0.03646","0.0006015","0.04501","0.04501","0.02944","C"
"22","2.314E-06","0.007345","3.335E-05","0.03813","0.0006457","0.04616","0.04616","",""
"24","1.944E-06","0.006864","3.036E-05","0.03966","0.0006864","0.04724","0.04724","",""
"26","1.657E-06","0.006445","2.786E-05","0.04104","0.0007243","0.04824","0.04824","",""
"28","1.429E-06","0.006083","2.574E-05","0.04231","0.0007589","0.04918","0.04918","",""
"30","1.244E-06","0.005761","2.391E-05","0.04348","0.0007917","0.05006","0.05006","",""
"40","7E-07","0.004576","1.766E-05","0.04824","0.0009258","0.05376","0.05376","",""
"50","4.48E-07","0.00382","1.399E-05","0.05177","0.001028","0.05663","0.05663","",""
