"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13","0.003487","5711","0","0","5724","5711","5710","C"
"0.0015","12.45","0.006556","2591","0","0","2604","2591","2591","C"
"0.002","11.84","0.009723","1411","0","0","1423","1411","1411","C"
"0.002683","10.99","0.01391","737.1","0","0","748.1","737.1","736.9","C"
"0.002683","10.99","0.01391","2195","0","0","2206","2195","2142","C"
"0.00274","10.92","0.01424","1967","0","0","1978","1967","1884","C"
"0.002798","10.85","0.01459","1764","0","0","1775","1764","1726","C"
"0.002798","10.85","0.01459","2701","0","0","2712","2701","2625","C"
"0.003","10.61","0.01576","2144","0","0","2155","2144","2090","C"
"0.003302","10.26","0.01744","1683","0","0","1693","1683","1645","C"
"0.003302","10.26","0.01744","1946","0","0","1956","1946","1900","C"
"0.003567","9.965","0.01888","1608","0","0","1618","1608","1576","C"
"0.003854","9.648","0.02039","1330","0","0","1339","1330","1303","C"
"0.003854","9.648","0.02039","1409","0","0","1419","1409","1381","C"
"0.004","9.489","0.02114","1290","0","0","1299","1290","1264","C"
"0.004149","9.334","0.02189","1181","0","0","1190","1181","1158","C"
"0.004149","9.334","0.02189","1232","0","0","1242","1232","1209","C"
"0.005","8.507","0.02598","784.7","0","0","793.2","784.7","772.1","C"
"0.006","7.645","0.03046","500.8","0","0","508.5","500.9","494.2","C"
"0.008","6.247","0.03873","243.1","0","0","249.4","243.1","240.6","C"
"0.01","5.193","0.04605","137.5","0","0","142.7","137.5","136.3","C"
"0.01381","3.792","0.05711","59.51","0","0","63.36","59.56","59.1","C"
"0.01381","3.792","0.05711","147.5","0","0","151.3","147.5","118.9","C"
"0.015","3.467","0.06","118.4","0","0","121.9","118.5","97.28","C"
"0.01624","3.167","0.06273","95.27","0","0","98.5","95.33","79.65","C"
"0.01624","3.167","0.06273","132.8","0","0","136.1","132.9","101.9","C"
"0.01659","3.091","0.06345","126.3","0","0","129.5","126.4","97.55","C"
"0.01694","3.017","0.06417","120.1","0","0","123.2","120.2","93.08","C"
"0.01694","3.017","0.06417","138.9","0","0","141.9","138.9","106.3","C"
"0.02","2.459","0.06976","91","0","0","93.53","91.07","72.78","C"
"0.03","1.447","0.08305","31.5","0","0","33.03","31.58","27.21","C"
"0.04","0.9694","0.09106","14.63","0","0","15.69","14.72","13.11","C"
"0.05","0.6913","0.09576","8.014","0","0","8.801","8.11","7.334","C"
"0.06","0.5178","0.09841","4.882","0","0","5.498","4.98","4.532","C"
"0.08","0.3253","0.1004","2.223","0","0","2.649","2.324","2.103","C"
"0.09311","0.2534","0.1004","1.466","0","0","1.82","1.567","1.4","C"
"0.09311","0.2534","0.1004","6.786","0","0","7.14","6.887","2.005","C"
"0.1","0.225","0.1001","5.665","0","0","5.99","5.765","1.936","C"
"0.15","0.1113","0.0961","1.962","0","0","2.17","2.059","1.095","C"
"0.2","0.06639","0.09092","0.9201","0","0","1.077","1.011","0.6207","C"
"0.3","0.03173","0.08152","0.3202","0","0","0.4334","0.4017","0.263","C"
"0.4","0.01857","0.07417","0.1555","0","0","0.2483","0.2297","0.1471","C"
"0.5","0.01217","0.06832","0.09086","0","0","0.1714","0.1592","0.09781","C"
"0.6","0.008587","0.0636","0.05962","0","0","0.1318","0.1232","0.07281","C"
"0.8","0.004925","0.05622","0.0317","0","0","0.09284","0.08792","0.04916","C"
"1","0.00319","0.05072","0.02001","0","0","0.07391","0.07072","0.03839","C"
"1.022","0.003057","0.0502","0.01915","0","0","0.07241","0.06935","0.03762","I"
"1.25","0.00206","0.04547","0.01292","0.0004","0","0.06085","0.05879","0.03117","C"
"1.5","0.001439","0.04138","0.009201","0.001921","0","0.05394","0.0525","0.0274","C"
"2","0.0008144","0.03536","0.005564","0.005758","0","0.04749","0.04668","0.02438","C"
"2.044","0.0007801","0.03493","0.005363","0.006092","0","0.04716","0.04638","0.02436","I"
"3","0.000364","0.02787","0.002908","0.01247","9.734E-06","0.04362","0.04326","0.02392","C"
"4","0.0002051","0.02326","0.001902","0.01782","3.968E-05","0.04323","0.04302","0.02521","C"
"5","0.0001314","0.02009","0.001393","0.0223","7.89E-05","0.04399","0.04386","0.02674","C"
"6","9.129E-05","0.01776","0.001091","0.02616","0.0001209","0.04523","0.04513","0.02822","C"
"7","6.708E-05","0.01597","0.0008933","0.02957","0.0001627","0.04666","0.04659","0.02954","I"
"8","5.138E-05","0.01453","0.0007544","0.03262","0.0002031","0.04816","0.04811","0.03074","C"
"9","4.06E-05","0.01336","0.0006518","0.03542","0.0002416","0.04971","0.04967","0.03176","I"
"10","3.288E-05","0.01238","0.0005732","0.03798","0.0002781","0.05124","0.05121","0.03271","C"
"11","2.718E-05","0.01155","0.0005112","0.04034","0.0003127","0.05274","0.05271","0.0334","I"
"12","2.284E-05","0.01083","0.0004611","0.04256","0.0003449","0.05422","0.0542","0.03405","I"
"13","1.947E-05","0.0102","0.0004196","0.04464","0.0003755","0.05565","0.05563","0.03466","I"
"14","1.679E-05","0.009651","0.000385","0.04657","0.0004046","0.05702","0.05701","0.03523","I"
"15","1.462E-05","0.009164","0.0003556","0.04838","0.000432","0.05835","0.05833","0.03577","C"
"16","1.285E-05","0.008726","0.0003302","0.05005","0.0004579","0.05958","0.05957","0.03603","I"
"18","1.015E-05","0.007976","0.000289","0.05311","0.000506","0.06189","0.06188","0.03651","I"
"20","8.224E-06","0.007354","0.0002568","0.05582","0.0005492","0.06399","0.06398","0.03694","C"
"22","6.798E-06","0.006832","0.0002311","0.0583","0.000589","0.06595","0.06595","",""
"24","5.711E-06","0.006383","0.0002099","0.06054","0.0006253","0.06777","0.06776","",""
"26","4.867E-06","0.005994","0.0001923","0.06262","0.0006587","0.06947","0.06946","",""
"28","4.196E-06","0.005654","0.0001775","0.06449","0.0006896","0.07102","0.07101","",""
"30","3.657E-06","0.005354","0.0001647","0.06625","0.0007184","0.07249","0.07249","",""
"40","2.057E-06","0.004256","0.0001211","0.07334","0.0008363","0.07855","0.07855","",""
