"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.62","0.004208","3862","0","0","3873","3862","3860","C"
"0.0015","11.14","0.007345","1718","0","0","1729","1718","1717","C"
"0.001823","10.8","0.009279","1136","0","0","1147","1136","1135","C"
"0.001823","10.8","0.009279","1137","0","0","1148","1137","1141","C"
"0.001885","10.73","0.00965","1738","0","0","1749","1738","1235","C"
"0.001949","10.65","0.01003","2645","0","0","2656","2645","2642","C"
"0.001949","10.65","0.01003","2730","0","0","2741","2730","3730","C"
"0.002","10.59","0.01033","3761","0","0","3772","3761","3702","C"
"0.002367","10.18","0.01248","2685","0","0","2695","2685","2648","C"
"0.002367","10.18","0.01248","3113","0","0","3123","3113","3069","C"
"0.00252","10.02","0.01334","2675","0","0","2686","2675","2639","C"
"0.002682","9.851","0.01425","2299","0","0","2309","2299","2270","C"
"0.002682","9.851","0.01425","2444","0","0","2454","2444","2412","C"
"0.002804","9.719","0.01494","2201","0","0","2211","2201","2174","C"
"0.002932","9.579","0.01566","1983","0","0","1992","1983","1959","C"
"0.002932","9.579","0.01566","2068","0","0","2078","2068","2043","C"
"0.003","9.505","0.01604","1962","0","0","1972","1962","1939","C"
"0.004","8.493","0.02151","985.8","0","0","994.3","985.8","977.1","C"
"0.005","7.59","0.02672","568.2","0","0","575.9","568.3","564.2","C"
"0.006","6.798","0.03164","359","0","0","365.8","359","356.9","C"
"0.008","5.511","0.04036","172.2","0","0","177.8","172.3","171.4","C"
"0.01","4.534","0.04767","96.54","0","0","101.1","96.59","96.1","C"
"0.01054","4.314","0.04942","84.22","0","0","88.58","84.27","83.86","C"
"0.01054","4.314","0.04942","219","0","0","223.4","219.1","186.9","C"
"0.01122","4.05","0.05158","184.9","0","0","189","185","159.4","C"
"0.01196","3.794","0.05378","156.1","0","0","160","156.2","136","C"
"0.01196","3.794","0.05378","215.4","0","0","219.2","215.4","177.6","C"
"0.01224","3.702","0.05459","203.6","0","0","207.3","203.6","169","C"
"0.01253","3.612","0.0554","192.5","0","0","196.1","192.5","160","C"
"0.01253","3.612","0.0554","222.5","0","0","226.2","222.6","183.4","C"
"0.015","2.948","0.06171","141","0","0","144","141.1","120.1","C"
"0.02","2.079","0.07212","66.2","0","0","68.35","66.27","58.76","C"
"0.03","1.229","0.08612","22.36","0","0","23.68","22.45","20.64","C"
"0.04","0.8118","0.09402","10.22","0","0","11.13","10.31","9.614","C"
"0.05","0.5744","0.09838","5.534","0","0","6.206","5.632","5.265","C"
"0.06","0.4301","0.1008","3.341","0","0","3.872","3.442","3.205","C"
"0.07168","0.3237","0.1021","2.038","0","0","2.464","2.141","1.97","C"
"0.07168","0.3237","0.1021","10.31","0","0","10.73","10.41","3.058","C"
"0.08","0.2703","0.1024","7.697","0","0","8.07","7.8","2.832","C"
"0.1","0.1858","0.1019","4.298","0","0","4.586","4.4","2.107","C"
"0.15","0.09098","0.09735","1.449","0","0","1.637","1.546","0.958","C"
"0.2","0.0542","0.09182","0.6659","0","0","0.8119","0.7577","0.5054","C"
"0.3","0.02576","0.08211","0.2261","0","0","0.3339","0.3082","0.2038","C"
"0.4","0.01499","0.07461","0.108","0","0","0.1976","0.1826","0.1135","C"
"0.5","0.00979","0.06869","0.06239","0","0","0.1409","0.1311","0.07658","C"
"0.6","0.006889","0.06387","0.04062","0","0","0.1114","0.1045","0.05822","C"
"0.8","0.003939","0.05644","0.02142","0","0","0.08179","0.07785","0.04109","C"
"1","0.002545","0.05087","0.01346","0","0","0.06688","0.06433","0.03327","C"
"1.022","0.002439","0.05036","0.01288","0","0","0.06568","0.06324","0.03271","I"
"1.25","0.001641","0.0456","0.008687","0.0003305","0","0.05626","0.05462","0.02794","C"
"1.5","0.001144","0.04149","0.006193","0.00155","0","0.05038","0.04924","0.02508","C"
"2","0.0006468","0.03545","0.003748","0.00479","0","0.04463","0.04398","0.02273","C"
"2.044","0.0006193","0.03503","0.003616","0.005081","0","0.04434","0.04372","0.02272","I"
"3","0.0002885","0.02793","0.001966","0.01086","9.761E-06","0.04105","0.04076","0.02251","C"
"4","0.0001625","0.02331","0.00129","0.01588","3.978E-05","0.04068","0.04052","0.0238","C"
"5","0.0001041","0.02014","0.0009473","0.0201","7.914E-05","0.04137","0.04126","0.02527","C"
"6","7.228E-05","0.0178","0.0007435","0.02372","0.0001213","0.04246","0.04239","0.02667","C"
"7","5.314E-05","0.016","0.0006096","0.02692","0.0001633","0.04374","0.04369","0.02793","I"
"8","4.069E-05","0.01456","0.0005152","0.02979","0.0002038","0.04511","0.04507","0.02906","C"
"9","3.215E-05","0.01339","0.0004457","0.03241","0.0002426","0.04652","0.04648","0.03003","I"
"10","2.604E-05","0.01241","0.0003923","0.0348","0.0002793","0.0479","0.04788","0.03092","C"
"11","2.152E-05","0.01157","0.0003503","0.03703","0.0003141","0.04929","0.04927","0.03158","I"
"12","1.809E-05","0.01085","0.000316","0.0391","0.0003467","0.05063","0.05061","0.03219","I"
"13","1.541E-05","0.01022","0.0002878","0.04101","0.0003774","0.05191","0.0519","0.03277","I"
"14","1.329E-05","0.009673","0.0002642","0.04282","0.0004069","0.05318","0.05316","0.03331","I"
"15","1.157E-05","0.009182","0.0002441","0.0445","0.0004343","0.05437","0.05436","0.03382","C"
