"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.559","0.005391","2312","0","0","2317","2312","2312","C"
"0.001198","5.443","0.007276","1502","0","0","1507","1502","1506","C"
"0.001436","5.29","0.009678","976.2","0","0","981.5","976.2","976","C"
"0.001436","5.29","0.009678","4343","0","0","4349","4343","4287","C"
"0.001456","5.276","0.009883","4117","0","0","4122","4117","4002","C"
"0.001476","5.262","0.01009","3902","0","0","3907","3902","3855","C"
"0.001476","5.262","0.01009","5589","0","0","5594","5589","5112","C"
"0.0015","5.246","0.01033","5330","0","0","5336","5330","5260","C"
"0.001654","5.138","0.01191","4337","0","0","4343","4337","4284","C"
"0.001654","5.138","0.01191","4910","0","0","4915","4910","4849","C"
"0.002","4.898","0.01544","3093","0","0","3098","3093","3062","C"
"0.003","4.234","0.02501","1112","0","0","1116","1112","1104","C"
"0.004","3.677","0.03341","521.4","0","0","525.2","521.5","518.7","C"
"0.005","3.218","0.04074","286.4","0","0","289.6","286.4","285.1","C"
"0.006","2.83","0.04727","174.4","0","0","177.3","174.5","173.7","C"
"0.008","2.207","0.05864","78.86","0","0","81.13","78.92","78.65","C"
"0.01","1.743","0.06829","42.32","0","0","44.13","42.39","42.21","C"
"0.01266","1.31","0.07901","21.79","0","0","23.18","21.87","21.73","C"
"0.01266","1.31","0.07901","157.5","0","0","158.9","157.6","85.99","C"
"0.015","1.056","0.08656","102.1","0","0","103.3","102.2","62.7","C"
"0.02","0.7213","0.09854","47.36","0","0","48.18","47.46","33.52","C"
"0.03","0.4073","0.1119","15.44","0","0","15.96","15.56","12.4","C"
"0.04","0.2596","0.1182","6.806","0","0","7.184","6.924","5.796","C"
"0.05","0.1794","0.1209","3.564","0","0","3.864","3.685","3.143","C"
"0.06","0.1318","0.1216","2.087","0","0","2.341","2.209","1.886","C"
"0.08","0.08039","0.1204","0.8893","0","0","1.09","1.01","0.8332","C"
"0.1","0.05438","0.1177","0.4558","0","0","0.6278","0.5735","0.4426","C"
"0.15","0.02603","0.1097","0.1345","0","0","0.2702","0.2442","0.1483","C"
"0.2","0.01516","0.1021","0.05688","0","0","0.1742","0.159","0.07695","C"
