"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","2.528","0.01317","1567","0","0","1570","1567","1567","C"
"0.0015","2.286","0.02393","533.3","0","0","535.6","533.3","533.1","C"
"0.001839","2.121","0.03081","307.1","0","0","309.2","307.1","307","C"
"0.001839","2.121","0.03081","3191","0","0","3193","3191","3059","C"
"0.002","2.048","0.03388","2775","0","0","2777","2775","2669","C"
"0.003","1.669","0.04962","976.7","0","0","978.4","976.7","951.6","C"
"0.004","1.404","0.06135","451.4","0","0","452.8","451.4","442.7","C"
"0.005","1.208","0.0711","243.8","0","0","245.1","243.9","240","C"
"0.006","1.051","0.07983","145.8","0","0","147","145.9","143.9","C"
"0.008","0.8039","0.09507","63.79","0","0","64.69","63.89","63.13","C"
"0.01","0.6223","0.1076","33.15","0","0","33.88","33.26","32.89","C"
"0.015","0.3585","0.1289","9.848","0","0","10.34","9.977","9.794","C"
"0.02","0.2341","0.1402","4.089","0","0","4.463","4.229","4.076","C"
"0.03","0.1255","0.1501","1.161","0","0","1.436","1.311","1.164","C"
"0.04","0.07886","0.1534","0.4687","0","0","0.701","0.6221","0.4782","C"
"0.05","0.05399","0.1538","0.2307","0","0","0.4385","0.3845","0.243","C"
"0.06","0.03917","0.1526","0.1288","0","0","0.3206","0.2815","0.1434","C"
"0.08","0.02324","0.1483","0.0512","0","0","0.2228","0.1995","0.06896","C"
"0.1","0.01537","0.1432","0.02498","0","0","0.1835","0.1682","0.04513","C"
"0.15","0.007125","0.1309","0.006806","0","0","0.1448","0.1377","0.03086","C"
"0.2","0.004085","0.1207","0.002736","0","0","0.1275","0.1235","0.02905","C"
"0.3","0.001844","0.1055","0.0007882","0","0","0.1082","0.1063","0.02932","C"
"0.4","0.001043","0.09475","0.0003409","0","0","0.09614","0.09509","0.02968","C"
"0.5","0.0006696","0.08663","0.0001849","0","0","0.08748","0.08681","0.02971","C"
"0.6","0.0004657","0.08019","0.0001156","0","0","0.08078","0.08031","0.02951","C"
"0.8","0.0002625","0.0705","5.854E-05","0","0","0.07082","0.07056","0.02875","C"
"1","0.000168","0.0634","3.639E-05","0","0","0.06361","0.06344","0.02778","C"
"1.022","0.0001609","0.06274","3.433E-05","0","0","0.06293","0.06277","0.02765","I"
"1.25","0.0001076","0.05671","2.326E-05","3.521E-05","0","0.05688","0.05677","0.02652","C"
"1.5","7.475E-05","0.05155","1.684E-05","0.0001912","0","0.05183","0.05175","0.02535","C"
"2","4.205E-05","0.044","1.05E-05","0.0007533","0","0.04481","0.04476","0.02345","C"
"2.044","4.027E-05","0.04346","1.016E-05","0.0008118","0","0.04433","0.04429","0.02331","I"
"3","1.869E-05","0.03461","5.8E-06","0.002139","1.211E-05","0.03678","0.03677","0.02101","C"
"4","1.052E-05","0.02888","3.952E-06","0.003456","4.945E-05","0.0324","0.03239","0.01963","C"
"5","6.731E-06","0.02494","2.983E-06","0.004629","9.853E-05","0.02967","0.02967","0.01878","C"
"6","4.674E-06","0.02204","2.389E-06","0.005678","0.0001513","0.02788","0.02787","0.01827","C"
"7","3.435E-06","0.01981","1.99E-06","0.006611","0.000204","0.02663","0.02663","0.01798","I"
"8","2.629E-06","0.01803","1.705E-06","0.007451","0.0002552","0.02574","0.02574","0.01773","C"
"9","2.077E-06","0.01657","1.49E-06","0.008212","0.0003043","0.02509","0.02509","0.01762","I"
"10","1.683E-06","0.01536","1.323E-06","0.008905","0.000351","0.02462","0.02461","0.01753","C"
"11","1.391E-06","0.01432","1.189E-06","0.009531","0.0003952","0.02425","0.02425","0.01751","I"
"12","1.169E-06","0.01343","1.08E-06","0.01011","0.000437","0.02398","0.02398","0.0175","I"
"13","9.958E-07","0.01266","9.889E-07","0.01064","0.0004767","0.02378","0.02377","0.01748","I"
"14","8.585E-07","0.01197","9.121E-07","0.01114","0.0005144","0.02362","0.02362","0.01747","I"
"15","7.479E-07","0.01137","8.463E-07","0.0116","0.0005502","0.02352","0.02352","0.01746","C"
"16","6.572E-07","0.01082","7.893E-07","0.01204","0.0005843","0.02345","0.02345","0.01748","I"
"18","5.193E-07","0.009893","6.954E-07","0.01284","0.0006476","0.02338","0.02338","0.01753","I"
"20","4.207E-07","0.009124","6.216E-07","0.01355","0.0007054","0.02338","0.02338","0.01757","C"
"22","3.476E-07","0.008474","5.618E-07","0.01419","0.0007588","0.02343","0.02343","",""
"24","2.92E-07","0.007919","5.125E-07","0.01478","0.0008079","0.02351","0.02351","",""
"26","2.489E-07","0.007436","4.711E-07","0.01532","0.0008536","0.02361","0.02361","",""
"28","2.146E-07","0.007014","4.359E-07","0.01581","0.0008961","0.02372","0.02372","",""
"30","1.87E-07","0.006641","4.057E-07","0.01627","0.0009357","0.02385","0.02385","",""
