"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","10.11","0.005513","2386","0","0","2396","2386","2386","C"
"0.001114","9.983","0.006402","1942","0","0","1952","1942","1946","C"
"0.001241","9.879","0.007294","1582","0","0","1592","1582","1581","C"
"0.001241","9.879","0.007294","2276","0","0","2286","2276","2321","C"
"0.001258","9.868","0.007398","3360","0","0","3370","3360","3488","C"
"0.001275","9.856","0.007503","4960","0","0","4970","4960","4984","C"
"0.001275","9.856","0.007503","5870","0","0","5879","5870","5881","C"
"0.0015","9.629","0.009117","5305","0","0","5315","5305","5274","C"
"0.001611","9.515","0.009905","4456","0","0","4466","4456","4431","C"
"0.001611","9.515","0.009905","5153","0","0","5163","5153","5125","C"
"0.001688","9.443","0.01043","4629","0","0","4638","4629","4601","C"
"0.001768","9.367","0.01098","4157","0","0","4166","4157","4135","C"
"0.001768","9.367","0.01098","4415","0","0","4424","4415","4391","C"
"0.001865","9.269","0.01165","3915","0","0","3924","3915","3899","C"
"0.001967","9.162","0.01236","3473","0","0","3482","3473","3456","C"
"0.001967","9.162","0.01236","3628","0","0","3637","3628","3611","C"
"0.002","9.128","0.01258","3498","0","0","3507","3498","3481","C"
"0.003","8.128","0.01934","1346","0","0","1354","1346","1342","C"
"0.004","7.184","0.02565","662.4","0","0","669.6","662.4","660.7","C"
"0.005","6.347","0.03146","377.4","0","0","383.8","377.4","376.5","C"
"0.006","5.631","0.03672","236.7","0","0","242.3","236.7","236.2","C"
"0.007514","4.74","0.04365","132.1","0","0","136.8","132.1","131.8","C"
"0.007514","4.74","0.04365","361","0","0","365.8","361","326.6","C"
"0.008","4.494","0.0457","308.8","0","0","313.3","308.8","281","C"
"0.008252","4.377","0.04668","283.7","0","0","288.2","283.8","259","C"
"0.008252","4.377","0.04668","388","0","0","392.4","388.1","344.3","C"
"0.008477","4.274","0.04756","363.2","0","0","367.5","363.2","323.9","C"
"0.008708","4.172","0.04846","339.9","0","0","344.1","339.9","303.3","C"
"0.008708","4.172","0.04846","392.9","0","0","397.2","393","348.3","C"
"0.01","3.659","0.05316","277.8","0","0","281.5","277.8","250.2","C"
